Massachusetts Institute of Technology (MIT),1,100
Harvard University,2,98.7
University of Cambridge,3,98.6
Stanford University,3,98.6
California Institute of Technology (Caltech),5,97.9
University of Oxford,6,97.7
UCL (University College London),7,97.2
Imperial College London,8,96.1
ETH Zurich - Swiss Federal Institute of Technology,9,95.5
University of Chicago,10,94.6
Princeton University,11,94.4
National University of Singapore (NUS),12,94.2
"Nanyang Technological University, Singapore (NTU)",13,93.9
EPFL (Ecole Polytechnique Fédérale de Lausanne),14,93.8
Yale University,15,92.2
Johns Hopkins University,16,91.9
Cornell University,17,91.8
University of Pennsylvania,18,91.5
Kings College London,19,91
The Australian National University,19,91
The University of Edinburgh,21,90.8
Columbia University,22,89.7
"Ecole normale supérieure, Paris",23,89.2
McGill University,24,88.6
Tsinghua University,25,88.5
"University of California, Berkeley (UCB)",26,88.4
"University of California, Los Angeles (UCLA)",27,88.2
The Hong Kong University of Science and Technology,28,88
Duke University,29,87.9
The University of Hong Kong,30,87.8
University of Michigan,30,87.8
Northwestern University,32,87.7
The University of Manchester,33,87.2
University of Toronto,34,87.1
London School of Economics and Political Science (LSE),35,86.2
Seoul National University,36,85.3
University of Bristol,37,85
Kyoto University,38,84.9
The University of Tokyo,39,84.8
Ecole Polytechnique,40,83.8
Peking University,41,83.7
The University of Melbourne,42,83.1
KAIST - Korea Advanced Institute of Science & Technology,43,82.6
"University of California, San Diego (UCSD)",44,82.5
The University of Sydney,45,81.9
The University of New South Wales (UNSW Australia),46,81.8
The University of Queensland,46,81.8
The University of Warwick,48,81.6
Brown University,49,81.5
University of British Columbia,50,81.2
The Chinese University of Hong Kong,51,81.1
Fudan University,51,81.1
New York University (NYU),53,80.5
University of Wisconsin-Madison,54,80.3
University of Amsterdam,55,80.2
Tokyo Institute of Technology,56,79.4
City University of Hong Kong,57,79.2
Osaka University,58,78.3
University of Illinois at Urbana-Champaign,59,77.5
Technische Universität München,60,77.3
Durham University,61,77
Carnegie Mellon University,62,76.8
University of Glasgow,62,76.8
Delft University of Technology,64,76.5
University of Washington,65,76.3
Ruprecht-Karls-Universitaet Heidelberg,66,76.1
Monash University,67,76
University of St Andrews,68,75.9
University of Copenhagen,69,75.7
The University of Nottingham,70,75.4
Lund University,70,75.4
National Taiwan University (NTU),70,75.4
Shanghai Jiao Tong University,70,75.4
Tohoku University,74,75.2
Ludwig-Maximilians-Universität München,75,74.7
University of Birmingham,76,74.6
University of Texas at Austin,77,74.5
Trinity College Dublin,78,74.3
"University of North Carolina, Chapel Hill",79,73.7
The University of Sheffield,80,73.6
University of Southampton,81,72.8
The University of Auckland,82,72.4
KU Leuven,82,72.4
Georgia Institute of Technology,84,72.3
University of Zurich,85,72.2
"University of California, Davis",85,72.2
University of Leeds,87,72
Pohang University of Science And Technology (POSTECH),87,72
University of Geneva,89,71.2
Purdue University,89,71.2
Boston University,91,71.1
KTH Royal Institute of Technology,92,70.9
"KIT, Karlsruhe Institute of Technology",93,70.8
Utrecht University,94,70.7
Leiden University,95,70.3
University of Alberta,96,70.1
University of Helsinki,96,70.1
The University of Western Australia,98,69.4
The Ohio State University,99,69.3
University of Groningen,100,68.8
Pennsylvania State University,101,68.7
Uppsala University,102,68.4
University of York,103,68.3
Korea University,104,68.2
Yonsei University,105,67.9
Rice University,106,67.8
Aarhus University,107,67.4
Lomonosov Moscow State University,108,67.2
Queen Mary University of London,109,67
Washington University in St. Louis,110,66.9
Zhejiang University,110,66.9
Technical University of Denmark,112,66.8
The University of Adelaide,113,66.7
University of Science and Technology of China,113,66.7
Université de Montréal,115,66.6
The Hong Kong Polytechnic University,116,66.3
Eindhoven University of Technology,117,66.2
Sungkyunkwan University (SKKU),118,66.1
Freie Universitaet Berlin,119,65.7
Nagoya University,120,65.6
Lancaster University,121,65.5
Cardiff University,122,65
University of Minnesota,123,64.9
Universidad de Buenos Aires (UBA),124,64.6
Ghent University,124,64.6
Erasmus University Rotterdam,126,64.5
Humboldt-Universität zu Berlin,126,64.5
"University of Maryland, College Park",126,64.5
"University of California, Santa Barbara (UCSB)",129,64.3
University of Southern California,130,64.2
Nanjing University,130,64.2
Chalmers University of Technology,132,64
Albert-Ludwigs-Universitaet Freiburg,133,63.5
University of Pittsburgh,133,63.5
Wageningen University,135,63.4
University of Oslo,135,63.4
University of Aberdeen,137,63.2
Université Pierre et Marie Curie (UPMC),137,63.2
University of Basel,139,63.1
Aalto University,139,63.1
Hokkaido University,139,63.1
Kyushu University,142,62.7
University of Lausanne,143,62.4
Universidade de São Paulo,143,62.4
RWTH Aachen University,145,62.2
Universiti Malaya (UM),146,62.1
Indian Institute of Science (IISc) Bangalore,147,62
The Hebrew University of Jerusalem,148,61.8
Université Catholique de Louvain (UCL),149,61.5
McMaster University,149,61.5
University of Liverpool,151,61.1
University of Waterloo,152,60.9
University of Vienna,153,60.8
University College Dublin,154,60.5
National Tsing Hua University,155,60.2
Ecole Centrale de Paris,156,60.1
University of Reading,156,60.1
Dartmouth College,158,60
University of Bath,159,59.8
Texas A&M University,159,59.7
Universidad Nacional Autónoma de México (UNAM),160,59.6
The University of Exeter,161,59.5
Newcastle University,162,59.4
"University of California, Irvine",163,59.2
Michigan State University,164,58.9
Emory University,165,58.8
University of Bern,166,58.6
University of Barcelona,166,58.6
Georg-August-University Goettingen,168,58.5
Maastricht University,169,58.2
Pontificia Universidad Católica de Chile (UC),170,58.1
University of Cape Town,171,57.8
University of Virginia,172,57.7
University of Otago,173,57
Eberhard Karls Universität Tübingen,173,57
University of Colorado Boulder,175,56.9
Vrije Universiteit Amsterdam,176,56.8
Radboud University,177,56.7
Technische Universität Berlin,178,56.6
Indian Institute of Technology Delhi (IITD),179,56.4
University of Florida,180,56.1
University of Bergen,181,55.9
Queen's University Belfast,182,55.8
National Chiao Tung University,182,55.8
Stockholm University,182,55.8
"University of Illinois, Chicago (UIC)",185,55.7
Universidad Autonoma de Madrid,186,55.5
University of Sussex,187,55.6
Politecnico di Milano,187,55.2
University of Twente,188,55.1
École Normale Supérieure de Lyon,188,55.1
University of Rochester,190,54.8
Universitat Autònoma de Barcelona,190,54.8
The University of Western Ontario,192,54.6
Hanyang University,193,54.4
Vrije Universiteit Brussel (VUB),194,54.2
University of Notre Dame,195,54.1
Universidade estadual de Campinas(Unicamp),195,54.1
Vienna University of Technology,197,53.9
Technion - Israel Institute of Technology,198,53.8
King Fahd University of Petroleum & Minerals,199,53.5
Indian Institute of Technology Bombay (IITB),202,52.8
Tel Aviv University,203,52.7
University of Calgary,204,52.5
Alma Mater Studiorum - University of Bologna,204,52.5
Queen`s University at Kingston,206,52.4
Universite libre de Bruxelles,207,52
