University,Academic Reputation-14,Academic Reputation-15,Academic Reputation-14,Academic Reputation-15,B2-C2,D2/B2,E2^2,,ABS
Massachusetts Institute of Technology (MIT),100,100,,,0,0,0,,0
University of Cambridge,100,100,,,0,0,0,,0
Harvard University,100,100,,,0,0,0,,0
University of Oxford,100,100,,,0,0,0,,0
Stanford University,100,100,,,0,0,0,,0
Princeton University,100,100,,,0,0,0,,0
Yale University,100,100,,,0,0,0,,0
Columbia University,100,100,,,0,0,0,,0
National University of Singapore (NUS),100,100,,,0,0,0,,0
"University of California, Berkeley (UCB)",100,100,,,0,0,0,,0
The University of Tokyo,100,100,,,0,0,0,,0
"University of California, Los Angeles (UCLA)",100,100,,,0,0,0,,0
University of Toronto,100,99.9,,,0.1,0.001,0.000001,,0.001
Imperial College London,99.9,99.9,,,0,0,0,,0
UCL (University College London),99.9,99.9,,,0,0,0,,0
University of Chicago,99.9,99.9,,,0,0,0,,0
ETH Zurich - Swiss Federal Institute of Technology,99.9,99.9,,,0,0,0,,0
Kyoto University,99.9,99.9,,,0,0,0,,0
Peking University,99.9,99.9,,,0,0,0,,0
University of Michigan,99.8,99.9,,,-0.1,-0.001002004,0.000001004,,0.001002004
The University of Melbourne,99.8,99.8,,,0,0,0,,0
The University of Edinburgh,99.8,99.7,,,0.1,0.001002004,0.000001004,,0.001002004
Cornell University,99.7,99.9,,,-0.2,-0.0020060181,4.02410843362597E-006,,0.0020060181
University of British Columbia,99.7,99.6,,,0.1,0.001003009,0.000001006,,0.001003009
California Institute of Technology (Caltech),99.6,99.8,,,-0.2,-0.0020080321,4.03219302914481E-006,,0.0020080321
The Australian National University,99.6,99.6,,,0,0,0,,0
Tsinghua University,99.6,99.6,,,0,0,0,,0
The University of Sydney,99.6,99.5,,,0.1,0.0010040161,0.000001008,,0.0010040161
The University of Manchester,99.4,99.3,,,0.1,0.0010060362,1.01210887052716E-006,,0.0010060362
The University of Hong Kong,99.3,99.5,,,-0.2,-0.0020140987,4.0565935364268E-006,,0.0020140987
McGill University,99.3,99.1,,,0.2,0.0020140987,4.0565935364268E-006,,0.0020140987
Seoul National University,99,99.2,,,-0.2,-0.002020202,4.08121620242844E-006,,0.002020202
University of Pennsylvania,98.5,98.8,,,-0.3,-0.0030456853,9.2761988198612E-006,,0.0030456853
University of Texas at Austin,98.4,98.5,,,-0.1,-0.0010162602,1.03278471809097E-006,,0.0010162602
New York University (NYU),98.3,98.8,,,-0.5,-0.00508647,2.58721769574113E-005,,0.00508647
Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen,98.2,98.1,,,0.1,0.0010183299,0.000001037,,0.0010183299
National Taiwan University (NTU),97.9,98,,,-0.1,-0.0010214505,1.04336104152461E-006,,0.0010214505
"University of California, San Diego (UCSD)",97.8,98,,,-0.2,-0.0020449898,0.000004182,,0.0020449898
University of Illinois at Urbana-Champaign,97.5,97.7,,,-0.2,-0.0020512821,4.20775805391202E-006,,0.0020512821
The University of New South Wales (UNSW Australia),97.5,96.9,,,0.6,0.0061538462,3.78698224852064E-005,,0.0061538462
University of Wisconsin-Madison,97.1,97.4,,,-0.3,-0.0030895984,9.5456179780055E-006,,0.0030895984
Humboldt-UniversitÃ¤t zu Berlin,96.8,96.6,,,0.2,0.0020661157,4.26883409603181E-006,,0.0020661157
Ruprecht-Karls-Universitaet Heidelberg,96.5,95.5,,,1,0.0103626943,0.0001073854,,0.0103626943
The University of Queensland,96.3,95.6,,,0.7,0.0072689512,5.28376514634416E-005,,0.0072689512
Johns Hopkins University,96.1,97.2,,,-1.1,-0.01144641,0.0001310203,,0.01144641
Duke University,95.5,96.4,,,-0.9,-0.0094240838,8.88133548970708E-005,,0.0094240838
King's College London,95.5,95.2,,,0.3,0.0031413613,9.86815054411867E-006,,0.0031413613
University of Amsterdam,95.5,95.1,,,0.4,0.0041884817,1.75433787451007E-005,,0.0041884817
The Chinese University of Hong Kong (CUHK),95.2,95.4,,,-0.2,-0.0021008403,4.41353011792965E-006,,0.0021008403
Fudan University,94.7,94.1,,,0.6,0.0063357973,4.0142326849977E-005,,0.0063357973
The Hong Kong University of Science and Technology,94.3,94.3,,,0,0,0,,0
Universidad de Buenos Aires (UBA),94.2,95.7,,,-1.5,-0.0159235669,0.00025356,,0.0159235669
Osaka University,94.1,92.5,,,1.6,0.0170031881,0.0002891084,,0.0170031881
Universidade de SÃ£o Paulo,94,95.3,,,-1.3,-0.0138297872,0.000191263,,0.0138297872
Universidad Nacional AutÃ³noma de MÃ©xico  (UNAM),93.9,95.9,,,-2,-0.0212992545,0.0004536582,,0.0212992545
University of Washington,93.9,95.5,,,-1.6,-0.0170394036,0.0002903413,,0.0170394036
University of Bristol,93.7,92.1,,,1.6,0.0170757737,0.000291582,,0.0170757737
Monash University,93.1,94.5,,,-1.4,-0.015037594,0.0002261292,,0.015037594
Northwestern University,93.1,94,,,-0.9,-0.0096670247,9.34513666397093E-005,,0.0096670247
London School of Economics and Political Science (LSE),93.1,93.8,,,-0.7,-0.007518797,5.65323082141448E-005,,0.007518797
KU Leuven,93.1,92.4,,,0.7,0.007518797,5.65323082141425E-005,,0.007518797
"Nanyang Technological University, Singapore (NTU)",93,95.3,,,-2.3,-0.0247311828,0.0006116314,,0.0247311828
Freie Universitaet Berlin,92.7,93.3,,,-0.6,-0.0064724919,4.1893151517055E-005,,0.0064724919
The University of Auckland,91.6,92.7,,,-1.1,-0.0120087336,0.0001442097,,0.0120087336
Lund University,91.4,89.3,,,2.1,0.02297593,0.0005278934,,0.02297593
The University of Warwick,91.2,90.4,,,0.8,0.0087719298,7.69467528470293E-005,,0.0087719298
Technical University of Munich,90.8,90.4,,,0.4,0.0044052863,1.94065477692165E-005,,0.0044052863
"Ecole normale supÃ©rieure, Paris",90.3,89.6,,,0.7,0.007751938,6.00925425154743E-005,,0.007751938
Alma Mater Studiorum - University of Bologna,90,87.5,,,2.5,0.0277777778,0.0007716049,,0.0277777778
Ecole Polytechnique FÃ©dÃ©rale de Lausanne (EPFL),89.8,89.1,,,0.7,0.0077951002,6.07635874822054E-005,,0.0077951002
Leiden University,89.6,87.1,,,2.5,0.0279017857,0.0007785096,,0.0279017857
University of Copenhagen,89.2,89.1,,,0.1,0.0011210762,1.25681192060992E-006,,0.0011210762
Sapienza University of Rome,88.5,85.7,,,2.8,0.0316384181,0.0010009895,,0.0316384181
KAIST - Korea Advanced Institute of Science & Technology,88.1,89.4,,,-1.3,-0.0147559591,0.0002177383,,0.0147559591
Uppsala University,88,85.7,,,2.3,0.0261363636,0.0006831095,,0.0261363636
University of Glasgow,87.9,87.5,,,0.4,0.0045506257,2.07081943619358E-005,,0.0045506257
Shanghai Jiao Tong University,87.6,88.8,,,-1.2,-0.0136986301,0.0001876525,,0.0136986301
Pontificia Universidad CatÃ³lica de Chile (UC),87.2,90.7,,,-3.5,-0.0401376147,0.0016110281,,0.0401376147
UniversitÃ© Paris-Sorbonne (Paris IV),87.1,86,,,1.1,0.0126291619,0.0001594957,,0.0126291619
Carnegie Mellon University,86.5,88.1,,,-1.6,-0.0184971098,0.0003421431,,0.0184971098
Utrecht University,86.4,83.7,,,2.7,0.03125,0.0009765625,,0.03125
Tohoku University,86.2,86,,,0.2,0.0023201856,5.38326128735326E-006,,0.0023201856
Lomonosov Moscow State University,86.1,84.2,,,1.9,0.0220673635,0.0004869685,,0.0220673635
University of Barcelona,86,86.9,,,-0.9,-0.0104651163,0.0001095187,,0.0104651163
"University of North Carolina, Chapel Hill",84.7,84.1,,,0.6,0.0070838253,5.01805803941699E-005,,0.0070838253
University of Helsinki,84.5,83.7,,,0.8,0.0094674556,8.9632715941318E-005,,0.0094674556
Tokyo Institute of Technology,84.1,86.2,,,-2.1,-0.0249702735,0.0006235146,,0.0249702735
University of Vienna,83.6,82.5,,,1.1,0.0131578947,0.0001731302,,0.0131578947
UniversitÃ© Paris 1 PanthÃ©on-Sorbonne,83.4,81.1,,,2.3,0.0275779376,0.0007605426,,0.0275779376
"University of California, Santa Barbara (UCSB)",83.3,84.4,,,-1.1,-0.0132052821,0.0001743795,,0.0132052821
Pennsylvania State University,83.1,85.7,,,-2.6,-0.0312876053,0.0009789142,,0.0312876053
UniversitÃ© de MontrÃ©al,83.1,79.5,,,3.6,0.0433212996,0.001876735,,0.0433212996
The University of Sheffield,82.3,79,,,3.3,0.0400972053,0.0016077859,,0.0400972053
"University of California, Davis",82.2,85.8,,,-3.6,-0.0437956204,0.0019180564,,0.0437956204
University of Minnesota,82.2,84.1,,,-1.9,-0.0231143552,0.0005342734,,0.0231143552
Delft University of Technology,82.2,83.9,,,-1.7,-0.0206812652,0.0004277147,,0.0206812652
University of Birmingham,81.8,82.4,,,-0.6,-0.0073349633,5.38016869817867E-005,,0.0073349633
University of Alberta,81.6,79.5,,,2.1,0.0257352941,0.0006623054,,0.0257352941
Yonsei University,81.6,79.4,,,2.2,0.0269607843,0.0007268839,,0.0269607843
The University of Nottingham,81.5,80.6,,,0.9,0.0110429448,0.0001219466,,0.0110429448
University of Zurich,81.3,78.1,,,3.2,0.0393603936,0.0015492406,,0.0393603936
"Trinity College Dublin, The University of Dublin",81.1,82.5,,,-1.4,-0.0172626387,0.0002979987,,0.0172626387
University of Leeds,81.1,81.7,,,-0.6,-0.0073982737,5.47344542746864E-005,,0.0073982737
Stockholm University,81,76.9,,,4.1,0.050617284,0.0025621094,,0.050617284
Universidad de Chile,80.1,84.6,,,-4.5,-0.0561797753,0.0031561672,,0.0561797753
Universitat AutÃ²noma de Barcelona,80,78,,,2,0.025,0.000625,,0.025
University Complutense Madrid,79.7,76.9,,,2.8,0.035131744,0.0012342394,,0.035131744
The University of Western Australia,79.4,79.3,,,0.1,0.0012594458,1.5862038335377E-006,,0.0012594458
Aarhus University,79,74.9,,,4.1,0.0518987342,0.0026934786,,0.0518987342
Purdue University,78.4,81,,,-2.6,-0.0331632653,0.0010998022,,0.0331632653
