University,Citations per Faculty-14,Citations per Faculty-15,,,B2-C2,D2/B2,E2^2,,ABS(E2)
Massachusetts Institute of Technology (MIT),100,100,,,0,0,0,,0
Harvard University,100,100,,,0,0,0,,0
California Institute of Technology (Caltech),100,100,,,0,0,0,,0
"University of California, Santa Barbara (UCSB)",100,100,,,0,0,0,,0
Gwangju Institute of Science and Technology (GIST),100,100,,,0,0,0,,0
Stanford University,100,99.9,,,0.1,0.001,0.000001,,0.001
Weizmann Institute of Science,100,97.2,,,2.8,0.028,0.000784,,0.028
Karolinska Institutet,100,91.8,,,8.2,0.082,0.006724,,0.082
"University of California, Los Angeles (UCLA)",100,89.6,,,10.4,0.104,0.010816,,0.104
The Rockefeller University,100,88.5,,,11.5,0.115,0.013225,,0.115
King Abdullah University of Science & Technology,99.9,100,,,-0.1,-0.001001001,0.000001002,,0.001001001
University of Bern,99.9,99.9,,,0,0,0,,0
Northwestern University,99.9,96.4,,,3.5,0.035035035,0.0012274537,,0.035035035
Johns Hopkins University,99.9,84.9,,,15,0.1501501502,0.0225450676,,0.1501501502
London School of Hygiene and Tropical Medicine,99.9,78.1,,,21.8,0.2182182182,0.0476191908,,0.2182182182
Tel Aviv University,99.8,98.9,,,0.9,0.0090180361,0.000081325,,0.0090180361
University of Minnesota,99.8,97.4,,,2.4,0.0240480962,0.0005783109,,0.0240480962
University of Washington,99.8,94.5,,,5.3,0.0531062124,0.0028202698,,0.0531062124
Emory University,99.8,89.6,,,10.2,0.1022044088,0.0104457412,,0.1022044088
"University of California, San Francisco",99.8,77.4,,,22.4,0.2244488978,0.0503773077,,0.2244488978
Cornell University,99.7,97.1,,,2.6,0.0260782347,0.0006800743,,0.0260782347
University of Basel,99.7,96.6,,,3.1,0.0310932798,0.0009667921,,0.0310932798
University of Geneva,99.7,86.5,,,13.2,0.1323971916,0.0175290163,,0.1323971916
"University of California, Berkeley (UCB)",99.6,99.9,,,-0.3,-0.0030120482,9.07243431557624E-006,,0.0030120482
Princeton University,99.5,100,,,-0.5,-0.0050251256,2.52518875785965E-005,,0.0050251256
"University of California, San Diego (UCSD)",99.5,94.5,,,5,0.0502512563,0.0025251888,,0.0502512563
Duke University,99.5,85.4,,,14.1,0.1417085427,0.0200813111,,0.1417085427
Brown University,99.4,96.6,,,2.8,0.0281690141,0.0007934934,,0.0281690141
University of Chicago,99.2,91.5,,,7.7,0.0776209677,0.0060250146,,0.0776209677
Washington University in St. Louis,99.2,76.7,,,22.5,0.2268145161,0.0514448247,,0.2268145161
"University of California, Irvine",99,95.7,,,3.3,0.0333333333,0.0011111111,,0.0333333333
"University of California, Davis",98.7,93.9,,,4.8,0.0486322188,0.0023650927,,0.0486322188
University of Lausanne,98.7,38.5,,,60.2,0.609929078,0.3720134802,,0.609929078
Columbia University,98.6,67,,,31.6,0.3204868154,0.1027117989,,0.3204868154
Dartmouth College,98.5,83.8,,,14.7,0.1492385787,0.0222721534,,0.1492385787
"Ecole normale sup̩rieure, Paris",98.4,100,,,-1.6,-0.0162601626,0.0002643929,,0.0162601626
Tufts University,98.2,80.4,,,17.8,0.1812627291,0.032856177,,0.1812627291
Leiden University,98.1,83.2,,,14.9,0.1518858308,0.0230693056,,0.1518858308
University of Cambridge,97.9,93.7,,,4.2,0.0429009193,0.0018404889,,0.0429009193
UCL (University College London),97.4,88,,,9.4,0.0965092402,0.0093140335,,0.0965092402
University of Michigan,97.2,84.5,,,12.7,0.1306584362,0.017071627,,0.1306584362
Utrecht University,97.2,84.5,,,12.7,0.1306584362,0.017071627,,0.1306584362
Carnegie Mellon University,97.1,99.9,,,-2.8,-0.0288362513,0.0008315294,,0.0288362513
ETH Zurich - Swiss Federal Institute of Technology,97.1,98.8,,,-1.7,-0.017507724,0.0003065204,,0.017507724
University of Oxford,96.6,88.9,,,7.7,0.0797101449,0.0063537072,,0.0797101449
Yeshiva University,96.5,64.3,,,32.2,0.3336787565,0.1113415125,,0.3336787565
Radboud University,96.3,85.1,,,11.2,0.1163032191,0.0135264388,,0.1163032191
Imperial College London,96.2,79.6,,,16.6,0.1725571726,0.0297759778,,0.1725571726
Erasmus University Rotterdam,96,67.1,,,28.9,0.3010416667,0.0906260851,,0.3010416667
"University of California, Santa Cruz",95.9,93,,,2.9,0.0302398332,0.0009144475,,0.0302398332
University of Pennsylvania,95.9,80.5,,,15.4,0.1605839416,0.0257872023,,0.1605839416
Rice University,95.2,99.7,,,-4.5,-0.0472689076,0.0022343496,,0.0472689076
Universit̩ Pierre et Marie Curie (UPMC),95.2,89.4,,,5.8,0.0609243697,0.0037117788,,0.0609243697
