University,Faculty Student-14,Faculty Student-15,FS-14,FS-15,b2-c2,B2/D2,E2^2,,ABS
Massachusetts Institute of Technology (MIT),100,100,,,0,0,0,,0
University of Oxford,100,100,,,0,0,0,,0
California Institute of Technology (Caltech),100,100,,,0,0,0,,0
Yale University,100,100,,,0,0,0,,0
Johns Hopkins University,100,100,,,0,0,0,,0
Ã‰cole Normale SupÃ©rieure de Lyon,100,100,,,0,0,0,,0
Vanderbilt University,100,100,,,0,0,0,,0
Tokyo Medical and Dental University (TMDU),100,100,,,0,0,0,,0
National Research Saratov State University,100,100,,,0,0,0,,0
Weizmann Institute of Science,100,100,,,0,0,0,,0
Baylor College of Medicine,100,100,,,0,0,0,,0
London School of Hygiene and Tropical Medicine,100,100,,,0,0,0,,0
The Rockefeller University,100,100,,,0,0,0,,0
Wageningen University,100,99.9,,,0.1,0.001,0.000001,,0.001
University of Rochester,100,99.9,,,0.1,0.001,0.000001,,0.001
Bauman Moscow State Technical University,100,99.8,,,0.2,0.002,0.000004,,0.002
University of Cambridge,99.9,100,,,-0.1,-0.001001001,0.000001002,,0.001001001
University of Pennsylvania,99.9,100,,,-0.1,-0.001001001,0.000001002,,0.001001001
University of Copenhagen,99.9,99.9,,,0,0,0,,0
Washington University in St. Louis,99.9,99.9,,,0,0,0,,0
Lomonosov Moscow State University,99.9,99.6,,,0.3,0.003003003,0.000009018,,0.003003003
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),99.9,99.1,,,0.8,0.008008008,6.41281922563222E-005,,0.008008008
Imperial College London,99.8,99.9,,,-0.1,-0.001002004,0.000001004,,0.001002004
L.N. Gumilyov Eurasian National University (ENU),99.8,99.9,,,-0.1,-0.001002004,0.000001004,,0.001002004
Yokohama City University,99.8,99.9,,,-0.1,-0.001002004,0.000001004,,0.001002004
Duke University,99.8,99.8,,,0,0,0,,0
Karolinska Institutet,99.8,99.3,,,0.5,0.00501002,2.51003008020048E-005,,0.00501002
Cranfield University,99.8,99.3,,,0.5,0.00501002,2.51003008020048E-005,,0.00501002
Eindhoven University of Technology,99.7,99.4,,,0.3,0.0030090271,9.054243975658E-006,,0.0030090271
Harvard University,99.7,98.6,,,1.1,0.0110330993,0.0001217293,,0.0110330993
Wake Forest University,99.5,99.9,,,-0.4,-0.0040201005,1.61612080503022E-005,,0.0040201005
Ecole Polytechnique,99.5,99.2,,,0.3,0.0030150754,9.09067952829457E-006,,0.0030150754
Pohang University of Science And Technology (POSTECH),99.4,99.6,,,-0.2,-0.0020120724,4.04843548210748E-006,,0.0020120724
National Yang Ming University,99.1,99.4,,,-0.3,-0.0030272452,9.16421354246817E-006,,0.0030272452
UCL (University College London),99,98.6,,,0.4,0.004040404,1.63248648097138E-005,,0.004040404
Saint-Petersburg State University,98.8,97,,,1.8,0.0182186235,0.0003319182,,0.0182186235
Hanyang University,98.7,94.5,,,4.2,0.0425531915,0.0018107741,,0.0425531915
Stanford University,98.5,99.5,,,-1,-0.0101522843,0.0001030689,,0.0101522843
Ã‰cole des Ponts ParisTech,98.5,93.6,,,4.9,0.0497461929,0.0024746837,,0.0497461929
"University of California, San Francisco",98.4,100,,,-1.6,-0.0162601626,0.0002643929,,0.0162601626
Kyushu University,98.4,98.8,,,-0.4,-0.0040650407,1.65245554894566E-005,,0.0040650407
