University,International Students-14,International Students-15,,,B2-C2,D2/B2,E2^2,,ABS
Ecole Polytechnique FÃ©dÃ©rale de Lausanne (EPFL),100,100,,,0,0,0,,0
London School of Economics and Political Science (LSE),100,100,,,0,0,0,,0
SOAS University of London,100,100,,,0,0,0,,0
"City, University of London",100,100,,,0,0,0,,0
American University of Sharjah,100,100,,,0,0,0,,0
Illinois Institute of Technology,100,100,,,0,0,0,,0
Arabian Gulf University,100,100,,,0,0,0,,0
University of Sharjah,100,100,,,0,0,0,,0
American University in Dubai,100,100,,,0,0,0,,0
Abu Dhabi University,100,100,,,0,0,0,,0
London Business School,100,100,,,0,0,0,,0
King Abdullah University of Science & Technology,100,100,,,0,0,0,,0
Cranfield University,100,100,,,0,0,0,,0
London School of Hygiene and Tropical Medicine,100,100,,,0,0,0,,0
UCL (University College London),100,99.9,,,0.1,0.001,0.000001,,0.001
University of St Andrews,99.9,99.9,,,0,0,0,,0
Maastricht University,99.9,99.9,,,0,0,0,,0
Qatar University,99.8,99.7,,,0.1,0.001002004,0.000001004,,0.001002004
Imperial College London,99.7,100,,,-0.3,-0.0030090271,9.054243975658E-006,,0.0030090271
ESCP Europe - Paris,99.7,99.7,,,0,0,0,,0
Heriot-Watt University,99.6,99.9,,,-0.3,-0.0030120482,9.07243431557624E-006,,0.0030120482
Middlesex University,99.6,99.6,,,0,0,0,,0
HEC Paris School of Management,99.1,99.8,,,-0.7,-0.0070635721,4.989405150899E-005,,0.0070635721
University of Geneva,99,99,,,0,0,0,,0
University of Essex,98.8,99.7,,,-0.9,-0.0091093117,8.297956039273E-005,,0.0091093117
Carnegie Mellon University,98.8,99.3,,,-0.5,-0.0050607287,0.000025611,,0.0050607287
Queen Mary University of London,98.8,99.3,,,-0.5,-0.0050607287,0.000025611,,0.0050607287
London Metropolitan University,98.8,97.3,,,1.5,0.0151821862,0.0002304988,,0.0151821862
UniversitÃ¤t Innsbruck,98.7,98.6,,,0.1,0.0010131712,1.02651593306723E-006,,0.0010131712
The University of Hong Kong,98.4,98.6,,,-0.2,-0.0020325203,4.13113887236386E-006,,0.0020325203
The Rockefeller University,98.4,98.4,,,0,0,0,,0
Curtin University,98.4,72.7,,,25.7,0.2611788618,0.0682143978,,0.2611788618
Royal Holloway University of London,98.3,98,,,0.3,0.003051882,0.000009314,,0.003051882
University of Surrey,98.3,97.7,,,0.6,0.006103764,3.72559348186716E-005,,0.006103764
King's College London,98.1,98.2,,,-0.1,-0.001019368,1.0391111027984E-006,,0.001019368
The University of Warwick,98.1,98.1,,,0,0,0,,0
ETH Zurich - Swiss Federal Institute of Technology,98.1,98,,,0.1,0.001019368,1.0391111027981E-006,,0.001019368
Brunel University London,98,98.9,,,-0.9,-0.0091836735,8.43398583923376E-005,,0.0091836735
"Goldsmiths, University of London",97.9,98.1,,,-0.2,-0.0020429009,4.17344416609843E-006,,0.0020429009
RMIT University,97.6,80.7,,,16.9,0.1731557377,0.0299829095,,0.1731557377
The University of Adelaide,97.5,98.6,,,-1.1,-0.0112820513,0.0001272847,,0.0112820513
The University of Edinburgh,97.5,97.9,,,-0.4,-0.0041025641,0.000016831,,0.0041025641
University of Leicester,97.2,97.1,,,0.1,0.0010288066,1.05844298802707E-006,,0.0010288066
Coventry University,97,99,,,-2,-0.0206185567,0.0004251249,,0.0206185567
The University of Melbourne,97,97.9,,,-0.9,-0.0092783505,8.60877882878106E-005,,0.0092783505
Sciences Po,96.9,97.2,,,-0.3,-0.0030959752,9.58506263838416E-006,,0.0030959752
University of Sussex,96.6,96.9,,,-0.3,-0.0031055901,9.64468963388831E-006,,0.0031055901
University of Cambridge,96.5,96.6,,,-0.1,-0.0010362694,1.07385433165979E-006,,0.0010362694
Swinburne University of Technology,96.4,98.5,,,-2.1,-0.0217842324,0.0004745528,,0.0217842324
"Kingston University, London",96.4,98.4,,,-2,-0.020746888,0.0004304334,,0.020746888
The Hong Kong University of Science and Technology,96.4,97,,,-0.6,-0.0062240664,0.000038739,,0.0062240664
The Australian National University,96.4,96.7,,,-0.3,-0.0031120332,9.68475060691085E-006,,0.0031120332
The University of Manchester,96.3,97.1,,,-0.8,-0.0083073728,6.90124427277594E-005,,0.0083073728
University of East London,96.3,94.3,,,2,0.020768432,0.0004313278,,0.020768432
Ã‰cole des Ponts ParisTech,96.2,96.2,,,0,0,0,,0
University College Dublin,95.9,63.7,,,32.2,0.3357664234,0.1127390911,,0.3357664234
Massachusetts Institute of Technology (MIT),95.6,95.5,,,0.1,0.0010460251,1.09416851945857E-006,,0.0010460251
"Nanyang Technological University, Singapore (NTU)",95.3,94,,,1.3,0.0136411333,0.0001860805,,0.0136411333
University of Oxford,95,96.6,,,-1.6,-0.0168421053,0.0002836565,,0.0168421053
