University,OVERALL SCORE-14,OVERALL SCORE-15,OVERALL SCORE-14,OVERALL SCORE-15,B2-C2,D2/B2,E2^2,,ABS
Massachusetts Institute of Technology (MIT),100,100,,,0,0,0,,0
Imperial College London,99.4,96.1,,,3.3,0.0331991952,0.0011021866,,0.0331991952
University of Cambridge,99.4,98.6,,,0.8,0.0080482897,0.000064775,,0.0080482897
Harvard University,99.3,98.7,,,0.6,0.0060422961,3.65093418278395E-005,,0.0060422961
UCL (University College London),99.2,97.2,,,2,0.0201612903,0.0004064776,,0.0201612903
University of Oxford,99.2,97.7,,,1.5,0.0151209677,0.0002286437,,0.0151209677
Stanford University,98.3,98.6,,,-0.3,-0.003051882,0.000009314,,0.003051882
California Institute of Technology (Caltech),97.1,97.9,,,-0.8,-0.0082389289,0.00006788,,0.0082389289
Princeton University,96.6,94.4,,,2.2,0.0227743271,0.00051867,,0.0227743271
Yale University,96.5,92.2,,,4.3,0.0445595855,0.0019855567,,0.0445595855
University of Chicago,95.5,94.6,,,0.9,0.0094240838,8.88133548970708E-005,,0.0094240838
ETH Zurich - Swiss Federal Institute of Technology,95.3,95.5,,,-0.2,-0.0020986359,4.40427258483467E-006,,0.0020986359
University of Pennsylvania,94.5,91.5,,,3,0.0317460317,0.0010078105,,0.0317460317
Columbia University,94.1,89.7,,,4.4,0.0467587673,0.0021863823,,0.0467587673
Johns Hopkins University,94.1,91.9,,,2.2,0.0233793836,0.0005465956,,0.0233793836
King's College London,92.9,91,,,1.9,0.020452099,0.0004182884,,0.020452099
The University of Edinburgh,92.8,90.8,,,2,0.0215517241,0.0004644768,,0.0215517241
Ecole Polytechnique FÃ©dÃ©rale de Lausanne (EPFL),92.8,93.8,,,-1,-0.0107758621,0.0001161192,,0.0107758621
Cornell University,92.6,91.8,,,0.8,0.0086393089,7.46376574971189E-005,,0.0086393089
University of Toronto,92.4,87.1,,,5.3,0.0573593074,0.0032900901,,0.0573593074
McGill University,91.5,88.6,,,2.9,0.0316939891,0.0010045089,,0.0316939891
National University of Singapore (NUS),91.1,94.2,,,-3.1,-0.0340285401,0.0011579415,,0.0340285401
University of Michigan,90.3,87.8,,,2.5,0.0276854928,0.0007664865,,0.0276854928
"Ecole normale supÃ©rieure, Paris",90.2,89.2,,,1,0.0110864745,0.0001229099,,0.0110864745
Duke University,89.7,87.9,,,1.8,0.0200668896,0.0004026801,,0.0200668896
The Australian National University,89.7,91,,,-1.3,-0.0144927536,0.0002100399,,0.0144927536
"University of California, Berkeley (UCB)",89.5,88.4,,,1.1,0.0122905028,0.0001510565,,0.0122905028
The University of Hong Kong,88.8,87.8,,,1,0.0112612613,0.000126816,,0.0112612613
University of Bristol,88.5,85,,,3.5,0.0395480226,0.0015640461,,0.0395480226
The University of Manchester,86.9,87.2,,,-0.3,-0.003452244,0.000011918,,0.003452244
The University of Tokyo,86.7,84.8,,,1.9,0.0219146482,0.0004802518,,0.0219146482
Seoul National University,86.7,85.3,,,1.4,0.0161476355,0.0002607461,,0.0161476355
The University of Melbourne,86.5,83.1,,,3.4,0.0393063584,0.0015449898,,0.0393063584
Northwestern University,86,87.7,,,-1.7,-0.0197674419,0.0003907518,,0.0197674419
Ecole Polytechnique,85,83.8,,,1.2,0.0141176471,0.000199308,,0.0141176471
Kyoto University,84.7,84.9,,,-0.2,-0.0023612751,5.57562004379665E-006,,0.0023612751
The University of Sydney,84.3,81.9,,,2.4,0.0284697509,0.0008105267,,0.0284697509
"University of California, Los Angeles (UCLA)",84.3,88.2,,,-3.9,-0.0462633452,0.0021402971,,0.0462633452
"Nanyang Technological University, Singapore (NTU)",84,93.9,,,-9.9,-0.1178571429,0.0138903061,,0.1178571429
The Hong Kong University of Science and Technology,83.3,88,,,-4.7,-0.056422569,0.0031835063,,0.056422569
University of Wisconsin-Madison,82.5,80.3,,,2.2,0.0266666667,0.0007111111,,0.0266666667
New York University (NYU),82.5,80.5,,,2,0.0242424242,0.0005876951,,0.0242424242
University of British Columbia,82.4,81.2,,,1.2,0.0145631068,0.0002120841,,0.0145631068
The University of Queensland,82.4,81.8,,,0.6,0.0072815534,0.000053021,,0.0072815534
University of Copenhagen,82,75.7,,,6.3,0.0768292683,0.0059027365,,0.0768292683
The Chinese University of Hong Kong (CUHK),81.9,81.1,,,0.8,0.0097680098,0.000095414,,0.0097680098
Tsinghua University,81.3,88.5,,,-7.2,-0.0885608856,0.0078430305,,0.0885608856
The University of New South Wales (UNSW Australia),81.2,81.8,,,-0.6,-0.0073891626,5.45997233614006E-005,,0.0073891626
Ruprecht-Karls-Universitaet Heidelberg,81.1,76.1,,,5,0.0616522811,0.0038010038,,0.0616522811
University of Amsterdam,80.5,80.2,,,0.3,0.0037267081,1.38883530727979E-005,,0.0037267081
KAIST - Korea Advanced Institute of Science & Technology,79.9,82.6,,,-2.7,-0.0337922403,0.0011419155,,0.0337922403
Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen,79.8,74.7,,,5.1,0.0639097744,0.0040844593,,0.0639097744
Brown University,79.8,81.5,,,-1.7,-0.0213032581,0.0004538288,,0.0213032581
Technical University of Munich,79.7,77.3,,,2.4,0.0301129235,0.0009067882,,0.0301129235
