# RANK     2014,UNIVERSITY,OVERALL SCORE,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty
1,Massachusetts Institute of Technology (MIT),100,100,100,100,99.8,95.6,100
2,University of Cambridge,99.4,100,100,99.9,95.6,96.5,97.9
2,Imperial College London,99.4,99.9,100,99.8,100,99.7,96.2
4,Harvard University,99.3,100,100,99.7,98.1,83.8,100
5,University of Oxford,99.2,100,100,100,98.4,95,96.6
5,UCL (University College London),99.2,99.9,99.4,99,96.8,100,97.4
7,Stanford University,98.3,100,100,98.5,92.6,74.1,100
8,California Institute of Technology (Caltech),97.1,99.6,82.3,100,90.9,86,100
9,Princeton University,96.6,100,97.7,98.4,74.2,66.6,99.5
10,Yale University,96.5,100,100,100,93.2,62.7,92.2
11,University of Chicago,95.5,99.9,96.7,95.3,67.8,66.9,99.2
12,ETH Zurich - Swiss Federal Institute of Technology,95.3,99.9,98.6,79.7,100,98.1,97.1
13,University of Pennsylvania,94.5,98.5,96.8,99.9,54.4,67.3,95.9
14,Columbia University,94.1,100,99.9,95.4,15.6,86,98.6
14,Johns Hopkins University,94.1,96.1,74.9,100,92.3,67.6,99.9
16,King's College London,92.9,95.5,93.5,90.3,94,98.1,87.3
17,The University of Edinburgh,92.8,99.8,98.2,79.4,90.3,97.5,87.9
17,Ecole Polytechnique Fédérale de Lausanne (EPFL),92.8,89.8,90.3,94.4,100,100,94
19,Cornell University,92.6,99.7,96.4,75.2,92.6,65.6,99.7
20,University of Toronto,92.4,100,96.8,78.8,96.9,88.6,87.4
21,McGill University,91.5,99.3,96.4,90.2,80.1,90.7,76.6
22,National University of Singapore (NUS),91.1,100,100,92.1,100,94.9,63.8
23,University of Michigan,90.3,99.8,90.2,85,61.9,33.3,97.2
24,"Ecole normale supérieure, Paris",90.2,90.3,74.6,98.1,79,63.7,98.4
25,The Australian National University,89.7,99.6,95.8,76.9,100,96.4,74.2
25,Duke University,89.7,95.5,85,99.8,15.9,41.8,99.5
27,"University of California, Berkeley (UCB)",89.5,100,100,52.4,96.8,81.9,99.6
28,The University of Hong Kong,88.8,99.3,96.7,89.1,100,98.4,57.2
29,University of Bristol,88.5,93.7,99.1,82.5,84.7,82.2,80.1
30,The University of Manchester,86.9,99.4,100,74.4,84.1,96.3,65.3
31,The University of Tokyo,86.7,100,99.8,91.3,11.9,26.4,81.6
31,Seoul National University,86.7,99,96.8,85.6,44.9,59.9,74.4
33,The University of Melbourne,86.5,99.8,100,48.7,79.6,97,89.1
34,Northwestern University,86,93.1,80,86.9,11.6,53.1,99.9
35,Ecole Polytechnique,85,74.5,98.7,99.5,90.8,91.9,80.3
36,Kyoto University,84.7,99.9,96.1,94.8,17.4,22,69.9
37,"University of California, Los Angeles (UCLA)",84.3,100,99.2,54.1,26.7,40.6,100
37,The University of Sydney,84.3,99.6,99.2,49.9,99.5,87.1,75.1
39,"Nanyang Technological University, Singapore (NTU)",84,93,97.2,92.8,100,95.3,42.6
40,The Hong Kong University of Science and Technology,83.3,94.3,94.3,78,100,96.4,52.9
41,New York University (NYU),82.5,98.3,96.1,95.6,22,68.7,48.5
41,University of Wisconsin-Madison,82.5,97.1,66.6,88,48.8,35.7,74.8
43,University of British Columbia,82.4,99.7,93.3,44.1,91,51.5,85.1
43,The University of Queensland,82.4,96.3,92.4,48.6,99.8,83.2,78
45,University of Copenhagen,82,89.2,78.3,99.9,78.4,46,60.4
46,The Chinese University of Hong Kong (CUHK),81.9,95.2,89.8,78.4,94.9,63.6,55.1
47,Tsinghua University,81.3,99.6,99.6,88.5,50,37.9,46.1
48,The University of New South Wales (UNSW Australia),81.2,97.5,99.4,38.1,100,93.6,73.8
49,Ruprecht-Karls-Universitaet Heidelberg,81.1,96.5,76.2,86.8,51.6,59,59.2
50,University of Amsterdam,80.5,95.5,85.1,48.7,69.2,33.3,93.8
51,KAIST - Korea Advanced Institute of Science & Technology,79.9,88.1,84.1,87.9,32.2,21.1,79.2
52,Ludwig-Maximilians-Universität München,79.8,98.2,87.7,52.1,57.9,37.9,81.7
52,Brown University,79.8,78.2,75.6,85,23.8,55,99.4
54,Technical University of Munich,79.7,90.8,97.7,93.6,50.5,66,44.2
55,Osaka University,79.6,94.1,87,87.1,15.9,17.9,69.8
55,University of Glasgow,79.6,87.9,64.7,59.5,82.5,90.2,86.2
57,Peking University,78.8,99.9,99.6,82,35.8,24.7,46.4
57,University of Zurich,78.8,81.3,74.3,83.1,100,60.8,69.9
59,"University of California, San Diego (UCSD)",78.6,97.8,65.8,58.1,2.1,21.9,99.5
60,Lund University,78.3,91.4,84.9,59,73.1,69.3,70.8
61,The University of Warwick,78.1,91.2,99.9,55.4,86.9,98.1,55.5
62,"University of North Carolina, Chapel Hill",77.5,84.7,48.1,82.2,42.2,22,95
63,University of Illinois at Urbana-Champaign,76.9,97.5,76.3,24.9,63.9,65.4,93.1
64,University of Birmingham,76.7,81.8,94.3,65.8,81.9,79.1,66
65,University of Washington,76.5,93.9,56.7,57.8,8.4,22.5,99.8
65,Carnegie Mellon University,76.5,86.5,86.8,38.9,18.1,98.8,97.1
67,University of Helsinki,76.4,84.5,65.1,95.1,59.3,15,65.8
68,Tokyo Institute of Technology,76.3,84.1,89,80.5,13.7,33.1,75.7
69,The University of Sheffield,75.7,82.3,81.3,66.1,81,93.3,62.5
70,Monash University,75.5,93.1,98.5,30.5,94.2,94.4,63.3
71,Fudan University,75.3,94.7,96.5,51.9,40.9,55.9,62
71,London School of Economics and Political Science (LSE),75.3,93.1,100,66.9,100,100,22.6
71,Tohoku University,75.3,86.2,79.2,97.3,16.4,21.7,56.8
71,"Trinity College Dublin, The University of Dublin",75.3,81.1,70.1,61.8,95.3,81.3,72.4
75,Leiden University,75.2,89.6,50.1,49.8,68.4,22.9,98.1
76,National Taiwan University (NTU),75.1,97.9,83,45.7,18.4,20.6,82
77,The University of Nottingham,74.9,81.5,97.2,61.3,85,87.9,57.5
78,Boston University,74.8,77,83.6,63.8,11.5,66.9,93.7
79,University of Texas at Austin,74.6,98.4,88.5,21,54.4,24.7,90.1
80,Utrecht University,74.5,86.4,66.2,52.3,53,12.8,97.2
