University,Citations per Fac-15,Citations per Fac -16,,,B2-C2,B2-C2/D2,E2^2,,,ABS
Massachusetts Institute of Technology (MIT),100,99.9,,,0.1,0.001,1E-06,,,0.001
KAIST - Korea Advanced Institute of Science & Technology,100,99.9,,,0.1,0.001,1E-06,,,0.001
Harvard University,100,100,,,0,0,0,,,0
California Institute of Technology (Caltech),100,100,,,0,0,0,,,0
Princeton University,100,100,,,0,0,0,,,0
"Ecole normale supérieure, Paris",100,100,,,0,0,0,,,0
Pohang University of Science And Technology (POSTECH),100,100,,,0,0,0,,,0
"University of California, Santa Barbara (UCSB)",100,100,,,0,0,0,,,0
King Abdullah University of Science & Technology,100,100,,,0,0,0,,,0
Gwangju Institute of Science and Technology (GIST),100,100,,,0,0,0,,,0
University of Bern,99.9,93.7,,,6.2,0.062062062,0.0038517,,,0.062062062
Carnegie Mellon University,99.9,94.1,,,5.8,0.058058058,0.003370738,,,0.058058058
Stanford University,99.9,99.7,,,0.2,0.002002002,4.00801E-06,,,0.002002002
"University of California, Berkeley (UCB)",99.9,99.8,,,0.1,0.001001001,1.002E-06,,,0.001001001
National Tsing Hua University,99.8,99.6,,,0.2,0.002004008,4.01605E-06,,,0.002004008
Rice University,99.7,98,,,1.7,0.017051153,0.000290742,,,0.017051153
Ecole Polytechnique Fédérale de Lausanne (EPFL),99.3,99.1,,,0.2,0.002014099,4.05659E-06,,,0.002014099
Indian Institute of Science (IISc) Bangalore,99.3,99.9,99.3,99.9,-0.6,-0.006042296,3.65093E-05,,,0.006042296
London Business School,99,94.1,,,4.9,0.049494949,0.00244975,,,0.049494949
Tel Aviv University,98.9,97,,,1.9,0.019211325,0.000369075,,,0.019211325
ETH Zurich - Swiss Federal Institute of Technology,98.8,98.3,,,0.5,0.005060729,2.5611E-05,,,0.005060729
Friedrich-Alexander-Universität Erlangen-Nürnberg,98.5,97.5,,,1,0.010152284,0.000103069,,,0.010152284
University of Illinois at Urbana-Champaign,98.2,93.8,,,4.4,0.044806517,0.002007624,,,0.044806517
Rensselaer Polytechnic Institute,98.1,95.6,,,2.5,0.0254842,0.000649444,,,0.0254842
University of Science and Technology of China,97.9,97.4,,,0.5,0.005107252,2.6084E-05,,,0.005107252
Sharif University of Technology,97.5,92.2,,,5.3,0.054358974,0.002954898,,,0.054358974
University of Twente,97.5,95.6,,,1.9,0.019487179,0.00037975,,,0.019487179
University of Texas at Austin,97.5,96.1,,,1.4,0.014358974,0.00020618,,,0.014358974
University of Minnesota,97.4,86.9,,,10.5,0.107802875,0.01162146,,,0.107802875
