University,Faculty Student-15,Faculty Student-16,,,B2-C2,B2-C2/D2,E2^2,,,ABS
Massachusetts Institute of Technology (MIT),100,100,,,0,0,0,,,0
University of Cambridge,100,100,,,0,0,0,,,0
California Institute of Technology (Caltech),100,100,,,0,0,0,,,0
University of Oxford,100,100,,,0,0,0,,,0
Yale University,100,100,,,0,0,0,,,0
Johns Hopkins University,100,100,,,0,0,0,,,0
University of Pennsylvania,100,100,,,0,0,0,,,0
Columbia University,100,100,,,0,0,0,,,0
École Normale Supérieure de Lyon,100,100,,,0,0,0,,,0
Vanderbilt University,100,100,,,0,0,0,,,0
Tokyo Medical and Dental University (TMDU),100,100,,,0,0,0,,,0
"University of Colorado, Denver",100,100,,,0,0,0,,,0
National Research Saratov State University,100,100,,,0,0,0,,,0
"University of California, San Francisco",100,100,,,0,0,0,,,0
Weizmann Institute of Science,100,100,,,0,0,0,,,0
Baylor College of Medicine,100,100,,,0,0,0,,,0
Wageningen University,99.9,99.5,,,0.4,0.004004004,1.6032E-05,,,0.004004004
L.N. Gumilyov Eurasian National University (ENU),99.9,99.6,,,0.3,0.003003003,9.01803E-06,,,0.003003003
Yokohama City University,99.9,99.6,,,0.3,0.003003003,9.01803E-06,,,0.003003003
Washington University in St. Louis,99.9,99.9,,,0,0,0,,,0
University of Rochester,99.9,99.9,,,0,0,0,,,0
Imperial College London,99.9,100,,,-0.1,-0.001001001,1.002E-06,,,0.001001001
University of Copenhagen,99.9,100,,,-0.1,-0.001001001,1.002E-06,,,0.001001001
Wake Forest University,99.9,100,,,-0.1,-0.001001001,1.002E-06,,,0.001001001
Duke University,99.8,99.2,,,0.6,0.006012024,3.61444E-05,,,0.006012024
Bauman Moscow State Technical University,99.8,100,,,-0.2,-0.002004008,4.01605E-06,,,0.002004008
Pohang University of Science And Technology (POSTECH),99.6,99.5,,,0.1,0.001004016,1.00805E-06,,,0.001004016
Lomonosov Moscow State University,99.6,99.7,,,-0.1,-0.001004016,1.00805E-06,,,0.001004016
Universidad Externado de Colombia,99.6,99.8,,,-0.2,-0.002008032,4.03219E-06,,,0.002008032
Stanford University,99.5,100,,,-0.5,-0.005025126,2.52519E-05,,,0.005025126
Eindhoven University of Technology,99.4,99,,,0.4,0.004024145,1.61937E-05,,,0.004024145
National Yang Ming University,99.4,99.5,,,-0.1,-0.001006036,1.01211E-06,,,0.001006036
Karolinska Institutet,99.3,99.4,,,-0.1,-0.001007049,1.01415E-06,,,0.001007049
Cranfield University,99.3,99.5,,,-0.2,-0.002014099,4.05659E-06,,,0.002014099
Ecole Polytechnique,99.2,99.4,,,-0.2,-0.002016129,4.06478E-06,,,0.002016129
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),99.1,98.4,,,0.7,0.007063572,4.98941E-05,,,0.007063572
Kyushu University,98.8,96.5,,,2.3,0.023279352,0.000541928,,,0.023279352
Harvard University,98.6,98.5,,,0.1,0.001014199,1.0286E-06,,,0.001014199
UCL (University College London),98.6,98.7,,,-0.1,-0.001014199,1.0286E-06,,,0.001014199
Yeshiva University,97.8,98.8,,,-1,-0.010224949,0.00010455,,,0.010224949
Case Western Reserve University,97.7,96.8,,,0.9,0.009211873,8.48586E-05,,,0.009211873
Moscow State Institute of International Relations (MGIMO University),97.6,99.4,,,-1.8,-0.018442623,0.00034013,,,0.018442623
Tohoku University,97.1,97.9,,,-0.8,-0.008238929,6.788E-05,,,0.008238929
Saint-Petersburg State University,97,97.6,,,-0.6,-0.006185567,3.82612E-05,,,0.006185567
The University of Tokyo,96.3,92.2,,,4.1,0.042575286,0.001812655,,,0.042575286
Technical University of Denmark,95.4,98.9,,,-3.5,-0.036687631,0.001345982,,,0.036687631
University of Antwerp,95.3,93.1,,,2.2,0.023084995,0.000532917,,,0.023084995
University of Lausanne,95.2,89.2,,,6,0.06302521,0.003972177,,,0.06302521
Vrije Universiteit Brussel (VUB),95,96.6,,,-1.6,-0.016842105,0.000283657,,,0.016842105
New York University (NYU),94.8,95,,,-0.2,-0.002109705,4.45085E-06,,,0.002109705
University of Helsinki,94.6,93.7,,,0.9,0.009513742,9.05113E-05,,,0.009513742
Hanyang University,94.5,86.2,,,8.3,0.087830688,0.00771423,,,0.087830688
University of Miami,94.3,95.2,,,-0.9,-0.009544008,9.10881E-05,,,0.009544008
"Nanyang Technological University, Singapore (NTU)",94.2,94,,,0.2,0.002123142,4.50773E-06,,,0.002123142
Universiti Malaya (UM),94.1,92.2,,,1.9,0.020191286,0.000407688,,,0.020191286
Kyoto University,94.1,95.3,,,-1.2,-0.012752391,0.000162623,,,0.012752391
University of Chicago,93.8,95.4,,,-1.6,-0.017057569,0.000290961,,,0.017057569
University of Pittsburgh,93.8,97.4,,,-3.6,-0.038379531,0.001472988,,,0.038379531
Nagoya University,93.7,93.9,,,-0.2,-0.002134472,4.55597E-06,,,0.002134472
Peter the Great Saint-Petersburg Polytechnic University,93.7,94.1,,,-0.4,-0.004268943,1.82239E-05,,,0.004268943
Ecole Polytechnique Fédérale de Lausanne (EPFL),93.6,93.9,,,-0.3,-0.003205128,1.02728E-05,,,0.003205128
École des Ponts ParisTech,93.6,97.9,,,-4.3,-0.045940171,0.002110499,,,0.045940171
Princeton University,92.9,81.8,,,11.1,0.119483315,0.014276263,,,0.119483315
Universidad Austral,92.9,86.7,,,6.2,0.066738428,0.004454018,,,0.066738428
National University of Singapore (NUS),92.9,88.1,,,4.8,0.051668461,0.00266963,,,0.051668461
Aalto University,92.6,79.6,,,13,0.140388769,0.019709006,,,0.140388769
Sciences Po,92.6,84.7,,,7.9,0.085313175,0.007278338,,,0.085313175
University of Turku,92.5,87.9,,,4.6,0.04972973,0.002473046,,,0.04972973
University of Tromsø The Arctic University of Norway,92.5,96.7,,,-4.2,-0.045405405,0.002061651,,,0.045405405
Northwestern University,92.3,94.3,,,-2,-0.021668472,0.000469523,,,0.021668472
Al-Farabi Kazakh National University,92.2,96.9,,,-4.7,-0.050976139,0.002598567,,,0.050976139
"Ecole normale supérieure, Paris",91.9,76.6,,,15.3,0.16648531,0.027717358,,,0.16648531
Ecole Normale Supérieure de Cachan,91.7,87.8,,,3.9,0.042529989,0.0018088,,,0.042529989
National Research Tomsk Polytechnic University,91.4,94.6,,,-3.2,-0.035010941,0.001225766,,,0.035010941
University of Zurich,90.8,95.8,,,-5,-0.055066079,0.003032273,,,0.055066079
Technical University of Munich,90.3,86.4,,,3.9,0.043189369,0.001865322,,,0.043189369
Ghent University,90.3,88.7,,,1.6,0.017718715,0.000313953,,,0.017718715
King Saud University,90.2,88.5,,,1.7,0.018847007,0.00035521,,,0.018847007
Southern Federal University,90.1,81.2,,,8.9,0.098779134,0.009757317,,,0.098779134
"National Research University Higher School of Economics (HSE, Moscow)",90.1,92.7,,,-2.6,-0.028856826,0.000832716,,,0.028856826
The Catholic University of Korea,90,89,,,1,0.011111111,0.000123457,,,0.011111111
King's College London,89.9,88.2,,,1.7,0.0189099,0.000357584,,,0.0189099
Université Saint-Joseph de Beyrouth,89.8,80.3,,,9.5,0.105790646,0.011191661,,,0.105790646
Tampere University of Technology,89.2,94.1,,,-4.9,-0.054932735,0.003017605,,,0.054932735
Novosibirsk State University,89,86.6,,,2.4,0.026966292,0.000727181,,,0.026966292
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),89,93.4,,,-4.4,-0.049438202,0.002444136,,,0.049438202
University of Jyväskylä,88.7,81.7,,,7,0.0789177,0.006228003,,,0.0789177
Belarus State University,88.7,92.4,,,-3.7,-0.041713641,0.001740028,,,0.041713641
Hiroshima University,88.1,86,,,2.1,0.023836549,0.000568181,,,0.023836549
Tsinghua University,87.5,85.6,,,1.9,0.021714286,0.00047151,,,0.021714286
Nagasaki University,87.2,85.4,,,1.8,0.020642202,0.0004261,,,0.020642202
Tokyo Institute of Technology,87.2,90.4,,,-3.2,-0.036697248,0.001346688,,,0.036697248
Sungkyunkwan University (SKKU),86.9,84.6,,,2.3,0.026467204,0.000700513,,,0.026467204
Osaka University,86.8,83.1,,,3.7,0.042626728,0.001817038,,,0.042626728
CentraleSupélec,86.7,88.5,,,-1.8,-0.020761246,0.000431029,,,0.020761246
Kazakh National Technical University named after K.I.Satpaev,86.7,93,,,-6.3,-0.07266436,0.005280109,,,0.07266436
University of Bergen,86.4,82,,,4.4,0.050925926,0.00259345,,,0.050925926
Dartmouth College,86.4,86.3,,,0.1,0.001157407,1.33959E-06,,,0.001157407
Hokkaido University,85.8,84.4,,,1.4,0.016317016,0.000266245,,,0.016317016
University of Wisconsin-Madison,85.7,84.2,,,1.5,0.017502917,0.000306352,,,0.017502917
The University of Edinburgh,85.3,87.6,,,-2.3,-0.026963658,0.000727039,,,0.026963658
Emory University,85.1,93,,,-7.9,-0.092831962,0.008617773,,,0.092831962
Mahidol University,85,73.3,,,11.7,0.137647059,0.018946713,,,0.137647059
"KIT, Karlsruhe Institute of Technology",84.7,66,,,18.7,0.220779221,0.048743464,,,0.220779221
The University of Hong Kong,84.5,84,,,0.5,0.00591716,3.50128E-05,,,0.00591716
Indian Institute of Science (IISc) Bangalore,84.4,69.3,84.4,69.3,15.1,0.178909953,0.032008771,,,0.178909953
University of Navarra,84.2,66.1,,,18.1,0.214964371,0.046209681,,,0.214964371
Seoul National University,84.2,82.1,,,2.1,0.024940618,0.000622034,,,0.024940618
Rice University,84.2,85.4,,,-1.2,-0.014251781,0.000203113,,,0.014251781
Khalifa University,84,80.6,,,3.4,0.04047619,0.001638322,,,0.04047619
Umea University,84,85.5,,,-1.5,-0.017857143,0.000318878,,,0.017857143
King Fahd University of Petroleum & Minerals,83.9,89,,,-5.1,-0.060786651,0.003695017,,,0.060786651
Yonsei University,83.8,74.5,,,9.3,0.11097852,0.012316232,,,0.11097852
Korea University,83.2,82.9,,,0.3,0.003605769,1.30016E-05,,,0.003605769
University of Toronto,82.6,74.5,,,8.1,0.098062954,0.009616343,,,0.098062954
