University,Int'l Faculty-15,Int'l Faculty-16,,,B2-C2,B2-C2/D2,E2^2,,,ABS
Monash University,98.4,100,,,-1.6,-0.016260163,0.000264393,,,0.016260163
The Hong Kong Polytechnic University,99.3,100,,,-0.7,-0.007049345,4.96933E-05,,,0.007049345
University of Bern,99.4,100,,,-0.6,-0.006036217,3.64359E-05,,,0.006036217
The University of Queensland,99.6,100,,,-0.4,-0.004016064,1.61288E-05,,,0.004016064
Dalhousie University,99.8,100,,,-0.2,-0.002004008,4.01605E-06,,,0.002004008
Harvard University,99.9,100,,,-0.1,-0.001001001,1.002E-06,,,0.001001001
Massachusetts Institute of Technology (MIT),100,100,,,0,0,0,,,0
Imperial College London,100,100,,,0,0,0,,,0
ETH Zurich - Swiss Federal Institute of Technology,100,100,,,0,0,0,,,0
National University of Singapore (NUS),100,100,,,0,0,0,,,0
"Nanyang Technological University, Singapore (NTU)",100,100,,,0,0,0,,,0
Ecole Polytechnique Fédérale de Lausanne (EPFL),100,100,,,0,0,0,,,0
The Australian National University,100,100,,,0,0,0,,,0
The Hong Kong University of Science and Technology,100,100,,,0,0,0,,,0
The University of Hong Kong,100,100,,,0,0,0,,,0
London School of Economics and Political Science (LSE),100,100,,,0,0,0,,,0
The University of New South Wales (UNSW Australia),100,100,,,0,0,0,,,0
City University of Hong Kong,100,100,,,0,0,0,,,0
University of Zurich,100,100,,,0,0,0,,,0
University of Geneva,100,100,,,0,0,0,,,0
Eindhoven University of Technology,100,100,,,0,0,0,,,0
University of Basel,100,100,,,0,0,0,,,0
University of Otago,100,100,,,0,0,0,,,0
King Fahd University of Petroleum & Minerals,100,100,,,0,0,0,,,0
Victoria University of Wellington,100,100,,,0,0,0,,,0
RMIT University,100,100,,,0,0,0,,,0
SOAS University of London,100,100,,,0,0,0,,,0
Curtin University,100,100,,,0,0,0,,,0
University of South Australia,100,100,,,0,0,0,,,0
University of St.Gallen (HSG),100,100,,,0,0,0,,,0
American University of Sharjah,100,100,,,0,0,0,,,0
United Arab Emirates University,100,100,,,0,0,0,,,0
Khalifa University,100,100,,,0,0,0,,,0
Qatar University,100,100,,,0,0,0,,,0
Arabian Gulf University,100,100,,,0,0,0,,,0
Sultan Qaboos University,100,100,,,0,0,0,,,0
American University in Dubai,100,100,,,0,0,0,,,0
King Khalid University,100,100,,,0,0,0,,,0
University of Sharjah,100,100,,,0,0,0,,,0
University of Macau,100,100,,,0,0,0,,,0
Abu Dhabi University,100,100,,,0,0,0,,,0
London Business School,100,100,,,0,0,0,,,0
HEC Paris School of Management,100,100,,,0,0,0,,,0
ESCP Europe - Paris,100,100,,,0,0,0,,,0
Singapore Management University,100,100,,,0,0,0,,,0
King Abdullah University of Science & Technology,100,100,,,0,0,0,,,0
The University of Sydney,99.4,99.8,,,-0.4,-0.004024145,1.61937E-05,,,0.004024145
Stanford University,97.6,99.7,,,-2.1,-0.021516393,0.000462955,,,0.021516393
University of Wollongong,99.9,99.7,,,0.2,0.002002002,4.00801E-06,,,0.002002002
