University,Int'l Students-15,Int'l Students-16,,,B2-C2,B2-C2/D2,E2^2,,,ABS
Imperial College London,100,100,,,0,0,0,,,0
Ecole Polytechnique Fédérale de Lausanne (EPFL),100,100,,,0,0,0,,,0
London School of Economics and Political Science (LSE),100,100,,,0,0,0,,,0
SOAS University of London,100,100,,,0,0,0,,,0
"City, University of London",100,100,,,0,0,0,,,0
American University of Sharjah,100,100,,,0,0,0,,,0
Illinois Institute of Technology,100,100,,,0,0,0,,,0
Arabian Gulf University,100,100,,,0,0,0,,,0
American University in Dubai,100,100,,,0,0,0,,,0
University of Sharjah,100,100,,,0,0,0,,,0
Abu Dhabi University,100,100,,,0,0,0,,,0
London Business School,100,100,,,0,0,0,,,0
Cranfield University,100,100,,,0,0,0,,,0
King Abdullah University of Science & Technology,100,100,,,0,0,0,,,0
Heriot-Watt University,99.9,99.6,,,0.3,0.003003003,0.000009018,,,0.003003003
University of St Andrews,99.9,99.9,,,0,0,0,,,0
Maastricht University,99.9,99.9,,,0,0,0,,,0
UCL (University College London),99.9,100,,,-0.1,-0.001001001,0.000001002,,,0.001001001
HEC Paris School of Management,99.8,100,,,-0.2,-0.002004008,4.01605E-006,,,0.002004008
University of Essex,99.7,99.8,,,-0.1,-0.001003009,0.000001006,,,0.001003009
Qatar University,99.7,99.9,,,-0.2,-0.002006018,4.02411E-006,,,0.002006018
ESCP Europe - Paris,99.7,99.9,,,-0.2,-0.002006018,4.02411E-006,,,0.002006018
Middlesex University,99.6,93.7,,,5.9,0.059236948,0.003509016,,,0.059236948
Carnegie Mellon University,99.3,99.8,,,-0.5,-0.005035247,2.53537E-005,,,0.005035247
Queen Mary University of London,99.3,99.8,,,-0.5,-0.005035247,2.53537E-005,,,0.005035247
University of Geneva,99,99.5,,,-0.5,-0.005050505,2.55076E-005,,,0.005050505
Coventry University,99,99.8,,,-0.8,-0.008080808,6.52995E-005,,,0.008080808
Brunel University London,98.9,99.6,,,-0.7,-0.007077856,5.00961E-005,,,0.007077856
The University of Adelaide,98.6,99.2,,,-0.6,-0.006085193,3.70296E-005,,,0.006085193
Universität Innsbruck,98.6,99.2,,,-0.6,-0.006085193,3.70296E-005,,,0.006085193
The University of Hong Kong,98.6,99.3,,,-0.7,-0.007099391,5.04014E-005,,,0.007099391
Swinburne University of Technology,98.5,94.2,,,4.3,0.043654822,0.001905744,,,0.043654822
"Kingston University, London",98.4,97,,,1.4,0.014227642,0.000202426,,,0.014227642
King's College London,98.2,99.3,,,-1.1,-0.011201629,0.000125476,,,0.011201629
"Goldsmiths, University of London",98.1,97.9,,,0.2,0.002038736,4.15644E-006,,,0.002038736
The University of Warwick,98.1,99,,,-0.9,-0.009174312,0.000084168,,,0.009174312
ETH Zurich - Swiss Federal Institute of Technology,98,98.8,,,-0.8,-0.008163265,6.66389E-005,,,0.008163265
Royal Holloway University of London,98,99.1,,,-1.1,-0.01122449,0.000125989,,,0.01122449
The University of Edinburgh,97.9,99.1,,,-1.2,-0.012257406,0.000150244,,,0.012257406
The University of Melbourne,97.9,99.3,,,-1.4,-0.014300306,0.000204499,,,0.014300306
"Birkbeck, University of London",97.8,99.2,,,-1.4,-0.014314928,0.000204917,,,0.014314928
University of Surrey,97.7,98.5,,,-0.8,-0.008188332,6.70488E-005,,,0.008188332
