University, Rank-15,Rank-16,,,B2-C2,B2-C2/B2,,,,abs
Massachusetts Institute of Technology (MIT),1,1,,,0,0,0,,,0
Harvard University,2,3,,,-1,-0.5,0.25,,,0.5
Stanford University,3,2,,,1,0.333333333,0.111111111,,,0.333333333
University of Cambridge,3,4,,,-1,-0.333333333,0.111111111,,,0.333333333
California Institute of Technology (Caltech),5,5,,,0,0,0,,,0
University of Oxford,6,6,,,0,0,0,,,0
UCL (University College London),7,7,,,0,0,0,,,0
Imperial College London,8,9,,,-1,-0.125,0.015625,,,0.125
ETH Zurich - Swiss Federal Institute of Technology,9,8,,,1,0.111111111,0.012345679,,,0.111111111
University of Chicago,10,10,,,0,0,0,,,0
Princeton University,11,11,,,0,0,0,,,0
National University of Singapore (NUS),12,12,,,0,0,0,,,0
"Nanyang Technological University, Singapore (NTU)",13,13,,,0,0,0,,,0
Ecole Polytechnique Fédérale de Lausanne (EPFL),14,14,,,0,0,0,,,0
Yale University,15,15,,,0,0,0,,,0
Johns Hopkins University,16,17,,,-1,-0.0625,0.00390625,,,0.0625
Cornell University,17,16,,,1,0.058823529,0.003460208,,,0.058823529
University of Pennsylvania,18,18,,,0,0,0,,,0
King's College London,19,21,,,-2,-0.105263158,0.011080332,,,0.105263158
The Australian National University,19,22,,,-3,-0.157894737,0.024930748,,,0.157894737
The University of Edinburgh,21,19,,,2,0.095238095,0.009070295,,,0.095238095
Columbia University,22,20,,,2,0.090909091,0.008264463,,,0.090909091
"Ecole normale supérieure, Paris",23,33,,,-10,-0.434782609,0.189035917,,,0.434782609
McGill University,24,30,,,-6,-0.25,0.0625,,,0.25
Tsinghua University,25,24,,,1,0.04,0.0016,,,0.04
"University of California, Berkeley (UCB)",26,28,,,-2,-0.076923077,0.00591716,,,0.076923077
"University of California, Los Angeles (UCLA)",27,31,,,-4,-0.148148148,0.021947874,,,0.148148148
The Hong Kong University of Science and Technology,28,36,,,-8,-0.285714286,0.081632653,,,0.285714286
Duke University,29,24,,,5,0.172413793,0.029726516,,,0.172413793
University of Michigan,30,23,,,7,0.233333333,0.054444444,,,0.233333333
The University of Hong Kong,30,27,,,3,0.1,0.01,,,0.1
Northwestern University,32,26,,,6,0.1875,0.03515625,,,0.1875
The University of Manchester,33,29,,,4,0.121212121,0.014692378,,,0.121212121
University of Toronto,34,32,,,2,0.058823529,0.003460208,,,0.058823529
London School of Economics and Political Science (LSE),35,37,,,-2,-0.057142857,0.003265306,,,0.057142857
Seoul National University,36,35,,,1,0.027777778,0.000771605,,,0.027777778
University of Bristol,37,41,,,-4,-0.108108108,0.011687363,,,0.108108108
Kyoto University,38,37,,,1,0.026315789,0.000692521,,,0.026315789
The University of Tokyo,39,34,,,5,0.128205128,0.016436555,,,0.128205128
Ecole Polytechnique,40,53,,,-13,-0.325,0.105625,,,0.325
Peking University,41,39,,,2,0.048780488,0.002379536,,,0.048780488
The University of Melbourne,42,42,,,0,0,0,,,0
KAIST - Korea Advanced Institute of Science & Technology,43,46,,,-3,-0.069767442,0.004867496,,,0.069767442
"University of California, San Diego (UCSD)",44,40,,,4,0.090909091,0.008264463,,,0.090909091
The University of Sydney,45,46,,,-1,-0.022222222,0.000493827,,,0.022222222
The University of New South Wales (UNSW Australia),46,49,,,-3,-0.065217391,0.004253308,,,0.065217391
The University of Queensland,46,51,,,-5,-0.108695652,0.011814745,,,0.108695652
The University of Warwick,48,51,,,-3,-0.0625,0.00390625,,,0.0625
Brown University,49,49,,,0,0,0,,,0
University of British Columbia,50,45,,,5,0.1,0.01,,,0.1
Fudan University,51,43,,,8,0.156862745,0.024605921,,,0.156862745
The Chinese University of Hong Kong (CUHK),51,44,,,7,0.137254902,0.018838908,,,0.137254902
New York University (NYU),53,46,,,7,0.132075472,0.01744393,,,0.132075472
University of Wisconsin-Madison,54,53,,,1,0.018518519,0.000342936,,,0.018518519
University of Amsterdam,55,57,,,-2,-0.036363636,0.001322314,,,0.036363636
Tokyo Institute of Technology,56,56,,,0,0,0,,,0
City University of Hong Kong,57,55,,,2,0.035087719,0.001231148,,,0.035087719
Osaka University,58,63,,,-5,-0.086206897,0.007431629,,,0.086206897
University of Illinois at Urbana-Champaign,59,66,,,-7,-0.118644068,0.014076415,,,0.118644068
Technical University of Munich,60,60,,,0,0,0,,,0
