University,Rank14,Rank15,R14-R15,D2/ R14,E2^2,,
Massachusetts Institute of Technology (MIT),1,1,0,0,0,,0
Harvard University,4,2,2,0.5,0.25,,0.5
University of Cambridge,2,3,-1,-0.5,0.25,,0.5
Stanford University,7,3,4,0.5714285714,0.3265306122,,0.5714285714
California Institute of Technology (Caltech),8,5,3,0.375,0.140625,,0.375
University of Oxford,5,6,-1,-0.2,0.04,,0.2
UCL (University College London),5,7,-2,-0.4,0.16,,0.4
Imperial College London,2,8,-6,-3,9,,3
ETH Zurich - Swiss Federal Institute of Technology,12,9,3,0.25,0.0625,,0.25
University of Chicago,11,10,1,0.0909090909,0.0082644628,,0.0909090909
Princeton University,9,11,-2,-0.2222222222,0.049382716,,0.2222222222
National University of Singapore (NUS),22,12,10,0.4545454545,0.2066115702,,0.4545454545
"Nanyang Technological University, Singapore (NTU)",39,13,26,0.6666666667,0.4444444444,,0.6666666667
EPFL (Ecole Polytechnique Fédérale de Lausanne),17,14,3,0.1764705882,0.0311418685,,0.1764705882
Yale University,10,15,-5,-0.5,0.25,,0.5
Johns Hopkins University,14,16,-2,-0.1428571429,0.0204081633,,0.1428571429
Cornell University,19,17,2,0.1052631579,0.0110803324,,0.1052631579
University of Pennsylvania,13,18,-5,-0.3846153846,0.1479289941,,0.3846153846
Kings College London,16,19,-3,-0.1875,0.03515625,,0.1875
The Australian National University,25,19,6,0.24,0.0576,,0.24
The University of Edinburgh,17,21,-4,-0.2352941176,0.0553633218,,0.2352941176
Columbia University,14,22,-8,-0.5714285714,0.3265306122,,0.5714285714
"Ecole normale supérieure, Paris",24,23,1,0.0416666667,0.0017361111,,0.0416666667
McGill University,21,24,-3,-0.1428571429,0.0204081633,,0.1428571429
Tsinghua University,47,25,22,0.4680851064,0.2191036668,,0.4680851064
"University of California, Berkeley (UCB)",27,26,1,0.037037037,0.0013717421,,0.037037037
"University of California, Los Angeles (UCLA)",37,27,10,0.2702702703,0.073046019,,0.2702702703
The Hong Kong University of Science and Technology,40,28,12,0.3,0.09,,0.3
Duke University,25,29,-4,-0.16,0.0256,,0.16
University of Michigan,23,30,-7,-0.3043478261,0.0926275992,,0.3043478261
The University of Hong Kong,28,30,-2,-0.0714285714,0.0051020408,,0.0714285714
Northwestern University,34,32,2,0.0588235294,0.0034602076,,0.0588235294
The University of Manchester,30,33,-3,-0.1,0.01,,0.1
University of Toronto,20,34,-14,-0.7,0.49,,0.7
London School of Economics and Political Science (LSE),71,35,36,0.5070422535,0.2570918469,,0.5070422535
Seoul National University,31,36,-5,-0.1612903226,0.0260145682,,0.1612903226
University of Bristol,29,37,-8,-0.275862069,0.0760998811,,0.275862069
Kyoto University,36,38,-2,-0.0555555556,0.0030864198,,0.0555555556
The University of Tokyo,31,39,-8,-0.2580645161,0.0665972945,,0.2580645161
Ecole Polytechnique,35,40,-5,-0.1428571429,0.0204081633,,0.1428571429
Peking University,57,41,16,0.2807017544,0.0787934749,,0.2807017544
The University of Melbourne,33,42,-9,-0.2727272727,0.0743801653,,0.2727272727
KAIST - Korea Advanced Institute of Science & Technology,51,43,8,0.1568627451,0.0246059208,,0.1568627451
"University of California, San Diego (UCSD)",59,44,15,0.2542372881,0.0646365987,,0.2542372881
The University of Sydney,37,45,-8,-0.2162162162,0.0467494522,,0.2162162162
The University of Queensland,43,46,-3,-0.0697674419,0.0048674959,,0.0697674419
The University of New South Wales (UNSW Australia),48,46,2,0.0416666667,0.0017361111,,0.0416666667
The University of Warwick,61,48,13,0.2131147541,0.0454178984,,0.2131147541
Brown University,52,49,3,0.0576923077,0.0033284024,,0.0576923077
University of British Columbia,43,50,-7,-0.1627906977,0.0265008112,,0.1627906977
Fudan University,71,51,20,0.2816901408,0.0793493354,,0.2816901408
New York University (NYU),41,53,-12,-0.2926829268,0.0856632957,,0.2926829268
University of Wisconsin-Madison,41,54,-13,-0.3170731707,0.1005353956,,0.3170731707
University of Amsterdam,50,55,-5,-0.1,0.01,,0.1
Tokyo Institute of Technology,68,56,12,0.1764705882,0.0311418685,,0.1764705882
City University of Hong Kong,108,57,51,0.4722222222,0.2229938272,,0.4722222222
Osaka University,55,58,-3,-0.0545454545,0.0029752066,,0.0545454545
University of Illinois at Urbana-Champaign,63,59,4,0.0634920635,0.0040312421,,0.0634920635
Technische Universität München,54,60,-6,-0.1111111111,0.012345679,,0.1111111111
Durham University,92,61,31,0.3369565217,0.1135396975,,0.3369565217
University of Glasgow,55,62,-7,-0.1272727273,0.0161983471,,0.1272727273
Carnegie Mellon University,65,62,3,0.0461538462,0.0021301775,,0.0461538462
Delft University of Technology,86,64,22,0.2558139535,0.0654407788,,0.2558139535
University of Washington,65,65,0,0,0,,0
Ruprecht-Karls-Universitaet Heidelberg,49,66,-17,-0.3469387755,0.120366514,,0.3469387755
Monash University,70,67,3,0.0428571429,0.0018367347,,0.0428571429
University of St Andrews,88,68,20,0.2272727273,0.0516528926,,0.2272727273
University of Copenhagen,45,69,-24,-0.5333333333,0.2844444444,,0.5333333333
Lund University,60,70,-10,-0.1666666667,0.0277777778,,0.1666666667
National Taiwan University (NTU),76,70,6,0.0789473684,0.006232687,,0.0789473684
The University of Nottingham,77,70,7,0.0909090909,0.0082644628,,0.0909090909
Shanghai Jiao Tong University,104,70,34,0.3269230769,0.1068786982,,0.3269230769
Tohoku University,71,74,-3,-0.0422535211,0.00178536,,0.0422535211
Ludwig-Maximilians-Universität München,52,75,-23,-0.4423076923,0.1956360947,,0.4423076923
University of Birmingham,64,76,-12,-0.1875,0.03515625,,0.1875
University of Texas at Austin,79,77,2,0.0253164557,0.0006409229,,0.0253164557
Trinity College Dublin,71,78,-7,-0.0985915493,0.0097202936,,0.0985915493
"University of North Carolina, Chapel Hill",62,79,-17,-0.2741935484,0.075182102,,0.2741935484
The University of Sheffield,69,80,-11,-0.1594202899,0.0254148288,,0.1594202899
University of Southampton,94,81,13,0.1382978723,0.0191263015,,0.1382978723
KU Leuven,82,82,0,0,0,,0
The University of Auckland,92,82,10,0.1086956522,0.0118147448,,0.1086956522
Georgia Institute of Technology,107,84,23,0.214953271,0.0462049087,,0.214953271
University of Zurich,57,85,-28,-0.4912280702,0.2413050169,,0.4912280702
"University of California, Davis",95,85,10,0.1052631579,0.0110803324,,0.1052631579
Pohang University of Science And Technology (POSTECH),86,87,-1,-0.011627907,0.0001352082,,0.011627907
University of Leeds,97,87,10,0.1030927835,0.010628122,,0.1030927835
University of Geneva,85,89,-4,-0.0470588235,0.0022145329,,0.0470588235
Purdue University,102,89,13,0.1274509804,0.0162437524,,0.1274509804
Boston University,78,91,-13,-0.1666666667,0.0277777778,,0.1666666667
KTH Royal Institute of Technology,110,92,18,0.1636363636,0.0267768595,,0.1636363636
"KIT, Karlsruhe Institute of Technology",127,93,34,0.2677165354,0.0716721433,,0.2677165354
Utrecht University,80,94,-14,-0.175,0.030625,,0.175
Leiden University,75,95,-20,-0.2666666667,0.0711111111,,0.2666666667
University of Helsinki,67,96,-29,-0.4328358209,0.1873468479,,0.4328358209
University of Alberta,84,96,-12,-0.1428571429,0.0204081633,,0.1428571429
The University of Western Australia,89,98,-9,-0.1011235955,0.0102259816,,0.1011235955
The Ohio State University,109,99,10,0.0917431193,0.0084167999,,0.0917431193
University of Groningen,90,100,-10,-0.1111111111,0.012345679,,0.1111111111
Pennsylvania State University,112,101,11,0.0982142857,0.0096460459,,0.0982142857
Uppsala University,81,102,-21,-0.2592592593,0.0672153635,,0.2592592593
University of York,120,103,17,0.1416666667,0.0200694444,,0.1416666667
Korea University,116,104,12,0.1034482759,0.0107015458,,0.1034482759
Yonsei University,106,105,1,0.0094339623,8.8999644001424E-005,,0.0094339623
Rice University,129,106,23,0.1782945736,0.031788955,,0.1782945736
Aarhus University,96,107,-11,-0.1145833333,0.0131293403,,0.1145833333
Lomonosov Moscow State University,114,108,6,0.0526315789,0.0027700831,,0.0526315789
Queen Mary University of London,98,109,-11,-0.112244898,0.0125989171,,0.112244898
Washington University in St. Louis,99,110,-11,-0.1111111111,0.012345679,,0.1111111111
Zhejiang University,144,110,34,0.2361111111,0.0557484568,,0.2361111111
Technical University of Denmark,123,112,11,0.0894308943,0.0079978849,,0.0894308943
The University of Adelaide,100,113,-13,-0.13,0.0169,,0.13
University of Science and Technology of China,147,113,34,0.231292517,0.0534962284,,0.231292517
Université de Montréal,83,115,-32,-0.3855421687,0.1486427638,,0.3855421687
The Hong Kong Polytechnic University,162,116,46,0.2839506173,0.0806279531,,0.2839506173
Eindhoven University of Technology,147,117,30,0.2040816327,0.0416493128,,0.2040816327
Sungkyunkwan University (SKKU),140,118,22,0.1571428571,0.0246938776,,0.1571428571
Freie Universitaet Berlin,150,119,31,0.2066666667,0.0427111111,,0.2066666667
Nagoya University,103,120,-17,-0.1650485437,0.0272410218,,0.1650485437
Lancaster University,160,121,39,0.24375,0.0594140625,,0.24375
Cardiff University,123,122,1,0.0081300813,6.60982219578293E-005,,0.0081300813
University of Minnesota,119,123,-4,-0.0336134454,0.0011298637,,0.0336134454
Ghent University,129,124,5,0.0387596899,0.0015023136,,0.0387596899
Universidad de Buenos Aires (UBA),198,124,74,0.3737373737,0.1396796245,,0.3737373737
Erasmus University Rotterdam,90,126,-36,-0.4,0.16,,0.4
"University of Maryland, College Park",122,126,-4,-0.0327868852,0.0010749798,,0.0327868852
Humboldt-Universität zu Berlin,134,126,8,0.0597014925,0.0035642682,,0.0597014925
"University of California, Santa Barbara (UCSB)",132,129,3,0.0227272727,0.0005165289,,0.0227272727
University of Southern California,131,130,1,0.0076335878,5.82716624905309E-005,,0.0076335878
Nanjing University,162,130,32,0.1975308642,0.0390184423,,0.1975308642
Chalmers University of Technology,175,132,43,0.2457142857,0.0603755102,,0.2457142857
University of Pittsburgh,111,133,-22,-0.1981981982,0.0392825258,,0.1981981982
Albert-Ludwigs-Universitaet Freiburg,121,133,-12,-0.0991735537,0.0098353938,,0.0991735537
University of Oslo,101,135,-34,-0.3366336634,0.1133222233,,0.3366336634
Wageningen University,151,135,16,0.1059602649,0.0112275777,,0.1059602649
Université Pierre et Marie Curie (UPMC),115,137,-22,-0.1913043478,0.0365973535,,0.1913043478
University of Aberdeen,137,137,0,0,0,,0
University of Basel,116,139,-23,-0.1982758621,0.0393133175,,0.1982758621
Hokkaido University,135,139,-4,-0.0296296296,0.000877915,,0.0296296296
Aalto University,187,139,48,0.256684492,0.0658869284,,0.256684492
Kyushu University,126,142,-16,-0.126984127,0.0161249685,,0.126984127
University of Lausanne,105,143,-38,-0.3619047619,0.1309750567,,0.3619047619
Universidade de São Paulo,132,143,-11,-0.0833333333,0.0069444444,,0.0833333333
RWTH Aachen University,147,145,2,0.0136054422,0.0001851081,,0.0136054422
Universiti Malaya (UM),151,146,5,0.0331125828,0.0010964431,,0.0331125828
The Hebrew University of Jerusalem,138,148,-10,-0.0724637681,0.0052509977,,0.0724637681
