University,Rank10,Rank11,R10-R11,D2/ R10,E2^2,,ABS
Harvard University,1,1,0,0,0,,0
Stanford University,3,2,1,0.3333333333,0.1111111111,,0.3333333333
Massachusetts Institute of Technology (MIT),4,3,1,0.25,0.0625,,0.25
"University of California, Berkeley",2,4,-2,-1,1,,1
University of Cambridge,5,5,0,0,0,,0
California Institute of Technology,6,6,0,0,0,,0
Princeton University,7,7,0,0,0,,0
Columbia University,8,8,0,0,0,,0
University of Chicago,9,9,0,0,0,,0
University of Oxford,10,10,0,0,0,,0
Yale University,11,11,0,0,0,,0
"University of California, Los Angeles",13,12,1,0.0769230769,0.0059171598,,0.0769230769
Cornell University,12,13,-1,-0.0833333333,0.0069444444,,0.0833333333
University of Pennsylvania,15,14,1,0.0666666667,0.0044444444,,0.0666666667
"University of California, San Diego",14,15,-1,-0.0714285714,0.0051020408,,0.0714285714
University of Washington,16,16,0,0,0,,0
"University of California, San Francisco",18,17,1,0.0555555556,0.0030864198,,0.0555555556
The Johns Hopkins University,18,18,0,0,0,,0
University of Wisconsin - Madison,17,19,-2,-0.1176470588,0.0138408304,,0.1176470588
University College London,21,20,1,0.0476190476,0.0022675737,,0.0476190476
The University of Tokyo,20,21,-1,-0.05,0.0025,,0.05
University of Michigan - Ann Arbor,22,22,0,0,0,,0
Swiss Federal Institute of Technology Zurich,23,23,0,0,0,,0
"The Imperial College of Science, Technology and Medicine",26,24,2,0.0769230769,0.0059171598,,0.0769230769
University of Illinois at Urbana-Champaign,25,25,0,0,0,,0
University of Toronto,27,26,1,0.037037037,0.0013717421,,0.037037037
Kyoto University,24,27,-3,-0.125,0.015625,,0.125
"University of Minnesota, Twin Cities",28,28,0,0,0,,0
New York University,31,29,2,0.064516129,0.0041623309,,0.064516129
Northwestern University,29,30,-1,-0.0344827586,0.0011890606,,0.0344827586
Washington University in St. Louis,30,31,-1,-0.0333333333,0.0011111111,,0.0333333333
University of Colorado at Boulder,32,32,0,0,0,,0
"University of California, Santa Barbara",32,33,-1,-0.03125,0.0009765625,,0.03125
Rockefeller University,34,33,1,0.0294117647,0.0008650519,,0.0294117647
Duke University,35,35,0,0,0,,0
The University of Texas at Austin,38,35,3,0.0789473684,0.006232687,,0.0789473684
University of British Columbia,36,37,-1,-0.0277777778,0.0007716049,,0.0277777778
"University of Maryland, College Park",36,38,-2,-0.0555555556,0.0030864198,,0.0555555556
The University of Manchester,44,38,6,0.1363636364,0.0185950413,,0.1363636364
University of Paris Sud (Paris 11),45,40,5,0.1111111111,0.012345679,,0.1111111111
Pierre and Marie  Curie University - Paris 6,39,41,-2,-0.0512820513,0.0026298488,,0.0512820513
University of North Carolina at Chapel Hill,41,42,-1,-0.0243902439,0.000594884,,0.0243902439
University of Copenhagen,40,43,-3,-0.075,0.005625,,0.075
Karolinska Institute,42,44,-2,-0.0476190476,0.0022675737,,0.0476190476
