University,Rank11,Rank12,R11-R12,D2/ R11,E2^2,,
Harvard University,1,1,0,0,0,,0
Stanford University,2,2,0,0,0,,0
"University of California, Berkeley",4,3,1,0.25,0.0625,,0.25
Massachusetts Institute of Technology (MIT),3,4,-1,-0.3333333333,0.1111111111,,0.3333333333
University of Cambridge,5,5,0,0,0,,0
California Institute of Technology,6,6,0,0,0,,0
Princeton University,7,7,0,0,0,,0
Columbia University,8,8,0,0,0,,0
University of Chicago,9,9,0,0,0,,0
University of Oxford,10,10,0,0,0,,0
Yale University,11,11,0,0,0,,0
"University of California, Los Angeles",12,12,0,0,0,,0
Cornell University,13,13,0,0,0,,0
"University of California, San Diego",15,14,1,0.0666666667,0.0044444444,,0.0666666667
University of Pennsylvania,14,15,-1,-0.0714285714,0.0051020408,,0.0714285714
University of Washington,16,16,0,0,0,,0
The Johns Hopkins University,17,17,0,0,0,,0
"University of California, San Francisco",18,18,0,0,0,,0
University of Wisconsin - Madison,19,19,0,0,0,,0
Swiss Federal Institute of Technology Zurich,23,20,3,0.1304347826,0.0170132325,,0.1304347826
The University of Tokyo,20,21,-1,-0.05,0.0025,,0.05
University College London,21,21,0,0,0,,0
University of Michigan - Ann Arbor,22,23,-1,-0.0454545455,0.0020661157,,0.0454545455
"The Imperial College of Science, Technology and Medicine",24,24,0,0,0,,0
University of Illinois at Urbana-Champaign,25,25,0,0,0,,0
Kyoto University,26,26,0,0,0,,0
New York University,27,27,0,0,0,,0
University of Toronto,27,28,-1,-0.037037037,0.0013717421,,0.037037037
"University of Minnesota, Twin Cities",29,29,0,0,0,,0
Northwestern University,30,30,0,0,0,,0
Duke University,36,31,5,0.1388888889,0.0192901235,,0.1388888889
Washington University in St. Louis,31,32,-1,-0.0322580645,0.0010405827,,0.0322580645
University of Colorado at Boulder,33,33,0,0,0,,0
Rockefeller University,32,34,-2,-0.0625,0.00390625,,0.0625
"University of California, Santa Barbara",34,35,-1,-0.0294117647,0.0008650519,,0.0294117647
The University of Texas at Austin,35,36,-1,-0.0285714286,0.0008163265,,0.0285714286
Pierre and Marie  Curie University - Paris 6,42,37,5,0.119047619,0.0141723356,,0.119047619
"University of Maryland, College Park",38,38,0,0,0,,0
University of Paris Sud (Paris 11),37,39,-2,-0.0540540541,0.0029218408,,0.0540540541
