University,Alumini-14,Alumini,,,,,,,
Harvard University,100,100,,,0,0,0,,0
University of Cambridge,79.1,77.1,,,2,0.0252844501,0.0006393034,,0.0252844501
Massachusetts Institute of Technology (MIT),68.4,68.2,,,0.2,0.0029239766,8.54963920522578E-006,,0.0029239766
"University of California, Berkeley",66.8,65.1,,,1.7,0.0254491018,0.0006476568,,0.0254491018
Columbia University,65.1,63.5,,,1.6,0.024577573,0.0006040571,,0.024577573
University of Chicago,61.4,59.8,,,1.6,0.0260586319,0.0006790523,,0.0260586319
Princeton University,52.1,53.3,,,-1.2,-0.0230326296,0.000530502,,0.0230326296
University of Oxford,51,49.7,,,1.3,0.0254901961,0.0006497501,,0.0254901961
California Institute of Technology,48.5,49.5,,,-1,-0.0206185567,0.0004251249,,0.0206185567
Ecole Normale Superieure - Paris,50.2,48.9,,,1.3,0.0258964143,0.0006706243,,0.0258964143
Yale University,48.8,47.6,,,1.2,0.0245901639,0.0006046762,,0.0245901639
Cornell University,37.6,42,,,-4.4,-0.1170212766,0.0136939792,,0.1170212766
Moscow State University,42.4,41.4,,,1,0.0235849057,0.0005562478,,0.0235849057
Stanford University,41.8,40.7,,,1.1,0.0263157895,0.0006925208,,0.0263157895
Johns Hopkins University,38.7,37.7,,,1,0.0258397933,0.0006676949,,0.0258397933
Technical University Munich,35.7,34.8,,,0.9,0.025210084,0.0006355483,,0.025210084
University of Michigan-Ann Arbor,35.3,34.4,,,0.9,0.0254957507,0.0006500333,,0.0254957507
Pierre and Marie  Curie University - Paris 6,34.5,33.6,,,0.9,0.0260869565,0.0006805293,,0.0260869565
McGill University,31.1,32.8,,,-1.7,-0.0546623794,0.0029879757,,0.0546623794
The Hebrew University of Jerusalem,32.9,32,,,0.9,0.0273556231,0.0007483301,,0.0273556231
University of Pennsylvania,32.4,31.6,,,0.8,0.024691358,0.0006096632,,0.024691358
Carnegie Mellon University,32.4,31.6,,,0.8,0.024691358,0.0006096632,,0.024691358
Kyoto University,30.2,31.6,,,-1.4,-0.0463576159,0.0021490286,,0.0463576159
City University of New York City College,29.3,31.2,,,-1.9,-0.0648464164,0.0042050577,,0.0648464164
The University of Tokyo,31.6,30.8,,,0.8,0.0253164557,0.0006409229,,0.0253164557
University of Wisconsin - Madison,31.6,30.8,,,0.8,0.0253164557,0.0006409229,,0.0253164557
University of Goettingen,31.6,30.8,,,0.8,0.0253164557,0.0006409229,,0.0253164557
University of Paris Sud (Paris 11),31.1,30.3,,,0.8,0.0257234727,0.000661697,,0.0257234727
Case Western Reserve University,31.1,30.3,,,0.8,0.0257234727,0.000661697,,0.0257234727
University of Frankfurt,31.1,30.3,,,0.8,0.0257234727,0.000661697,,0.0257234727
University of Illinois at Urbana-Champaign,30.7,29.9,,,0.8,0.0260586319,0.0006790523,,0.0260586319
"University of California, Los Angeles",30.2,29.5,,,0.7,0.0231788079,0.0005372571,,0.0231788079
Swiss Federal Institute of Technology Zurich,30.2,29.5,,,0.7,0.0231788079,0.0005372571,,0.0231788079
