University,N&S-14,N&S,,,,,,,
Harvard University,100,100,,,0,0,0,,0
Massachusetts Institute of Technology (MIT),73.6,73.1,,,0.5,0.0067934783,4.61513468809074E-005,,0.0067934783
Stanford University,71.1,70.1,,,1,0.0140646976,0.0001978157,,0.0140646976
"University of California, Berkeley",67.5,65.6,,,1.9,0.0281481481,0.0007923182,,0.0281481481
Yale University,61.5,58.8,,,2.7,0.043902439,0.0019274242,,0.043902439
California Institute of Technology,60,56.4,,,3.6,0.06,0.0036,,0.06
University of Cambridge,56.2,55.6,,,0.6,0.0106761566,0.0001139803,,0.0106761566
"University of California, San Diego",55.7,55.1,,,0.6,0.0107719928,0.0001160358,,0.0107719928
"University of California, San Francisco",56.5,53.5,,,3,0.0530973451,0.0028193281,,0.0530973451
Columbia University,55,51.9,,,3.1,0.0563636364,0.0031768595,,0.0563636364
University of Oxford,52.7,51.9,,,0.8,0.0151802657,0.0002304405,,0.0151802657
University of Washington,53.1,51.7,,,1.4,0.0263653484,0.0006951316,,0.0263653484
The University of Tokyo,52.6,48.6,,,4,0.0760456274,0.0057829374,,0.0760456274
"University of California, Los Angeles",50.9,47.2,,,3.7,0.0726915521,0.0052840617,,0.0726915521
Swiss Federal Institute of Technology Zurich,46.7,45.9,,,0.8,0.017130621,0.0002934582,,0.017130621
Cornell University,46.9,45.3,,,1.6,0.0341151386,0.0011638427,,0.0341151386
Johns Hopkins University,47.8,44.9,,,2.9,0.0606694561,0.0036807829,,0.0606694561
Princeton University,46.2,43,,,3.2,0.0692640693,0.0047975113,,0.0692640693
University of Chicago,43,42.9,,,0.1,0.0023255814,5.4083288263928E-006,,0.0023255814
Washington University in St. Louis,44.2,41.8,,,2.4,0.0542986425,0.0029483426,,0.0542986425
University of Michigan-Ann Arbor,42.4,41.3,,,1.1,0.0259433962,0.0006730598,,0.0259433962
Rockefeller University,44.2,40.9,,,3.3,0.0746606335,0.0055742102,,0.0746606335
University College London,40.7,40.6,,,0.1,0.0024570025,6.03686107371628E-006,,0.0024570025
New York University,42.4,40.3,,,2.1,0.0495283019,0.0024530527,,0.0495283019
