University,Overall-14,Overall,,,,,,,
Harvard University,100,100,,,0,0,0,,0
Stanford University,72.1,73.3,,,-1.2,-0.0166435506,0.0002770078,,0.0166435506
Massachusetts Institute of Technology (MIT),70.5,70.4,,,0.1,0.0014184397,0.000002012,,0.0014184397
"University of California, Berkeley",70.1,69.6,,,0.5,0.0071326676,5.08749473444295E-005,,0.0071326676
University of Cambridge,69.2,68.8,,,0.4,0.0057803468,3.34124093688405E-005,,0.0057803468
Princeton University,60.7,61,,,-0.3,-0.0049423394,2.44267184874971E-005,,0.0049423394
California Institute of Technology,60.5,59.6,,,0.9,0.0148760331,0.0002212964,,0.0148760331
Columbia University,59.6,58.8,,,0.8,0.0134228188,0.0001801721,,0.0134228188
University of Chicago,57.4,57.1,,,0.3,0.0052264808,2.73161019315514E-005,,0.0052264808
University of Oxford,57.4,56.6,,,0.8,0.0139372822,0.0001942478,,0.0139372822
Yale University,55.2,54.5,,,0.7,0.0126811594,0.0001608118,,0.0126811594
"University of California, Los Angeles",51.9,50.7,,,1.2,0.0231213873,0.0005345985,,0.0231213873
Cornell University,50.6,50.5,,,0.1,0.0019762846,3.90570076083062E-006,,0.0019762846
"University of California, San Diego",49.3,48.7,,,0.6,0.0121703854,0.0001481183,,0.0121703854
University of Washington,48.1,47.8,,,0.3,0.0062370062,3.89002468004558E-005,,0.0062370062
Johns Hopkins University,47,46.3,,,0.7,0.014893617,0.0002218198,,0.014893617
University of Pennsylvania,47.1,46.1,,,1,0.0212314225,0.0004507733,,0.0212314225
"University of California, San Francisco",45.2,44.5,,,0.7,0.0154867257,0.0002398387,,0.0154867257
University College London,43.3,44.5,,,-1.2,-0.0277136259,0.0007680451,,0.0277136259
Swiss Federal Institute of Technology Zurich,43.9,43.7,,,0.2,0.0045558087,2.07553925104157E-005,,0.0045558087
The University of Tokyo,43.2,42,,,1.2,0.0277777778,0.0007716049,,0.0277777778
University of Michigan-Ann Arbor,42.3,41.7,,,0.6,0.0141843972,0.0002011971,,0.0141843972
"The Imperial College of Science, Technology and Medicine",42.3,41.5,,,0.8,0.0189125296,0.0003576838,,0.0189125296
University of Wisconsin - Madison,41.8,41.1,,,0.7,0.0167464115,0.0002804423,,0.0167464115
University of Toronto,41.8,40.6,,,1.2,0.028708134,0.000824157,,0.028708134
Kyoto University,39.9,38.9,,,1,0.0250626566,0.0006281368,,0.0250626566
New York University,39.6,38.8,,,0.8,0.0202020202,0.0004081216,,0.0202020202
Northwestern University,39.4,38.8,,,0.6,0.0152284264,0.000231905,,0.0152284264
University of Illinois at Urbana-Champaign,39.4,38.6,,,0.8,0.0203045685,0.0004122755,,0.0203045685
"University of Minnesota, Twin Cities",39.3,38.5,,,0.8,0.0203562341,0.0004143763,,0.0203562341
Duke University,38.4,38,,,0.4,0.0104166667,0.0001085069,,0.0104166667
