University,PCP-14,PCP,,,,,,,
California Institute of Technology,100,100,,,0,0,0,,0
Harvard University,75.3,76.6,,,-1.3,-0.0172642762,0.0002980552,,0.0172642762
Princeton University,68.1,70.3,,,-2.2,-0.0323054332,0.001043641,,0.0323054332
Massachusetts Institute of Technology (MIT),67.1,68,,,-0.9,-0.0134128167,0.0001799037,,0.0134128167
Ecole Normale Superieure - Paris,59.8,60.5,,,-0.7,-0.0117056856,0.0001370231,,0.0117056856
Scuola Normale Superiore - Pisa,58.9,57.2,,,1.7,0.0288624788,0.0008330427,,0.0288624788
"University of California, Berkeley",55.9,56.5,,,-0.6,-0.0107334526,0.000115207,,0.0107334526
University of Cambridge,55.2,55.8,,,-0.6,-0.0108695652,0.0001181474,,0.0108695652
Stanford University,51.9,53.8,,,-1.9,-0.0366088632,0.0013402089,,0.0366088632
Swiss Federal Institute of Technology Zurich,45.8,46.3,,,-0.5,-0.0109170306,0.0001191816,,0.0109170306
University of Oxford,43,43.1,,,-0.1,-0.0023255814,5.4083288263928E-006,,0.0023255814
University of Chicago,41.5,42,,,-0.5,-0.0120481928,0.0001451589,,0.0120481928
Cornell University,39.7,40.2,,,-0.5,-0.0125944584,0.0001586204,,0.0125944584
Rockefeller University,38.9,39.6,,,-0.7,-0.0179948586,0.0003238149,,0.0179948586
Stockholm School of Economics,37.9,39.4,,,-1.5,-0.0395778364,0.0015664051,,0.0395778364
University of Copenhagen,36.2,39.2,,,-3,-0.0828729282,0.0068679222,,0.0828729282
Swiss Federal Institute of Technology Lausanne,38.6,38.4,,,0.2,0.0051813472,2.68463582914985E-005,,0.0051813472
"The Imperial College of Science, Technology and Medicine",38,38,,,0,0,0,,0
"University of California, Santa Barbara",36.9,38,,,-1.1,-0.0298102981,0.0008886539,,0.0298102981
Yale University,37.7,37.8,,,-0.1,-0.0026525199,7.03586178753025E-006,,0.0026525199
"University of California, Santa Cruz",37.3,37.6,,,-0.3,-0.0080428954,6.4688167096725E-005,,0.0080428954
