University,PUB-14,PUB,,,,,,,
Harvard University,100,100,,,0,0,0,,0
University of Toronto,80.5,79.1,,,1.4,0.0173913043,0.0003024575,,0.0173913043
University of Michigan-Ann Arbor,77.3,75.9,,,1.4,0.0181112549,0.0003280176,,0.0181112549
University of Sao Paulo,72.9,72,,,0.9,0.012345679,0.0001524158,,0.012345679
University of Washington,71.6,71.9,,,-0.3,-0.0041899441,1.75556318466978E-005,,0.0041899441
University College London,71.6,71.7,,,-0.1,-0.001396648,1.95062576074438E-006,,0.001396648
University of Oxford,72.7,70.9,,,1.8,0.0247592847,0.0006130222,,0.0247592847
The University of Tokyo,73,70.8,,,2.2,0.0301369863,0.0009082379,,0.0301369863
"University of California, Los Angeles",71.3,70.7,,,0.6,0.0084151473,7.08147034929339E-005,,0.0084151473
Stanford University,70.9,70.6,,,0.3,0.0042313117,0.000017904,,0.0042313117
Johns Hopkins University,70.2,70.2,,,0,0,0,,0
Columbia University,69.1,68.8,,,0.3,0.004341534,1.88489175485513E-005,,0.004341534
Zhejiang University,66.5,68.5,,,-2,-0.030075188,0.0009045169,,0.030075188
Shanghai Jiao Tong University,65.9,68.5,,,-2.6,-0.0394537178,0.0015565958,,0.0394537178
"University of California, Berkeley",68.1,67.9,,,0.2,0.0029368576,8.62513234187339E-006,,0.0029368576
University of Pennsylvania,66.9,67.7,,,-0.8,-0.0119581465,0.0001429973,,0.0119581465
Seoul National University,67.8,67.1,,,0.7,0.0103244838,0.000106595,,0.0103244838
The University of Melbourne,65.9,66.9,,,-1,-0.0151745068,0.0002302657,,0.0151745068
University of Cambridge,66.5,66.4,,,0.1,0.0015037594,2.26129232856552E-006,,0.0015037594
University of Sydney,64.1,64.7,,,-0.6,-0.0093603744,8.7616609188551E-005,,0.0093603744
"University of Minnesota, Twin Cities",65.1,64,,,1.1,0.0168970814,0.0002855114,,0.0168970814
Peking University,63.6,64,,,-0.4,-0.0062893082,3.95553973339659E-005,,0.0062893082
Tsinghua University,62.7,63.8,,,-1.1,-0.0175438596,0.000307787,,0.0175438596
The University of Queensland,61.4,63.2,,,-1.8,-0.0293159609,0.0008594256,,0.0293159609
University of Copenhagen,61.1,63.2,,,-2.1,-0.0343698854,0.001181289,,0.0343698854
University of British Columbia,63.9,63,,,0.9,0.014084507,0.0001983733,,0.014084507
Yale University,62.9,63,,,-0.1,-0.0015898251,2.52754390975664E-006,,0.0015898251
"University of California, San Diego",65,62.9,,,2.1,0.0323076923,0.001043787,,0.0323076923
University of Wisconsin - Madison,63.2,62.5,,,0.7,0.0110759494,0.0001226767,,0.0110759494
"The Imperial College of Science, Technology and Medicine",62.5,62,,,0.5,0.008,0.000064,,0.008
Duke University,61.9,61.7,,,0.2,0.0032310178,1.04394758339179E-005,,0.0032310178
University of North Carolina at Chapel Hill,61.1,61.2,,,-0.1,-0.0016366612,2.67865992001529E-006,,0.0016366612
Massachusetts Institute of Technology (MIT),61.5,61.1,,,0.4,0.006504065,4.23028620530105E-005,,0.006504065
The Ohio State University - Columbus,60.6,60.9,,,-0.3,-0.004950495,2.45074012351726E-005,,0.004950495
Cornell University,61,59.9,,,1.1,0.0180327869,0.0003251814,,0.0180327869
University of Pittsburgh-Pittsburgh Campus,61.9,59.6,,,2.3,0.0371567044,0.0013806207,,0.0371567044
National University of Singapore,60.2,59.5,,,0.7,0.011627907,0.0001352082,,0.011627907
"University of California, San Francisco",59.9,59.5,,,0.4,0.0066777963,0.000044593,,0.0066777963
McGill University,59.4,59.3,,,0.1,0.0016835017,2.83417791835308E-006,,0.0016835017
Pierre and Marie  Curie University - Paris 6,60,59.2,,,0.8,0.0133333333,0.0001777778,,0.0133333333
Kyoto University,61.2,59,,,2.2,0.0359477124,0.001292238,,0.0359477124
University of Florida,60.4,58.7,,,1.7,0.0281456954,0.0007921802,,0.0281456954
Monash University,58.6,58.6,,,0,0,0,,0
The University of New South Wales,57.8,58.6,,,-0.8,-0.0138408304,0.0001915686,,0.0138408304
Northwestern University,58.2,58.1,,,0.1,0.0017182131,2.9522561141225E-006,,0.0017182131
"University of California, Davis",59.3,58,,,1.3,0.0219224283,0.0004805929,,0.0219224283
Ghent University,57.1,57.5,,,-0.4,-0.0070052539,4.90735827702647E-005,,0.0070052539
KU Leuven,54.9,56.6,,,-1.7,-0.0309653916,0.0009588555,,0.0309653916
The University of Manchester,57.8,56.2,,,1.6,0.0276816609,0.0007662744,,0.0276816609
New York University,56.6,56.2,,,0.4,0.0070671378,4.9944436814044E-005,,0.0070671378
Fudan University,56.3,56.1,,,0.2,0.0035523979,1.26195306165582E-005,,0.0035523979
The University of Texas at Austin,55.7,56,,,-0.3,-0.0053859964,0.000029009,,0.0053859964
Swiss Federal Institute of Technology Zurich,55.6,55.7,,,-0.1,-0.0017985612,3.2348222141712E-006,,0.0017985612
National Taiwan University,57.9,55.5,,,2.4,0.0414507772,0.0017181669,,0.0414507772
VU University Amsterdam,55.3,55.5,,,-0.2,-0.0036166365,1.30800597758735E-005,,0.0036166365
University of Illinois at Urbana-Champaign,54.4,55.5,,,-1.1,-0.0202205882,0.0004088722,,0.0202205882
Sun Yat-sen University,53.2,54.9,,,-1.7,-0.0319548872,0.0010211148,,0.0319548872
King's College London,53.7,54.3,,,-0.6,-0.0111731844,0.00012484,,0.0111731844
University of Alberta,55.5,54.2,,,1.3,0.0234234234,0.0005486568,,0.0234234234
Sichuan University,50.8,54.2,,,-3.4,-0.0669291339,0.004479509,,0.0669291339
Nanjing University,51.5,53.7,,,-2.2,-0.0427184466,0.0018248657,,0.0427184466
Pennsylvania State University - University Park,54.7,53.4,,,1.3,0.0237659963,0.0005648226,,0.0237659963
University of Amsterdam,53.7,53.3,,,0.4,0.0074487896,5.54844660833878E-005,,0.0074487896
University of Southern California,52.3,53.2,,,-0.9,-0.017208413,0.0002961295,,0.017208413
Shandong University,50.6,53.1,,,-2.5,-0.0494071146,0.002441063,,0.0494071146
Huazhong University of Science and Technology,50.4,53.1,,,-2.7,-0.0535714286,0.002869898,,0.0535714286
"University of Maryland, College Park",52.5,52.7,,,-0.2,-0.0038095238,1.45124716553292E-005,,0.0038095238
University of Groningen,52.6,52.6,,,0,0,0,,0
Tohoku University,53.2,52.2,,,1,0.0187969925,0.0003533269,,0.0187969925
Yonsei University,51.1,52.1,,,-1,-0.0195694716,0.0003829642,,0.0195694716
The University of Edinburgh,51.8,51.9,,,-0.1,-0.0019305019,3.72683770367179E-006,,0.0019305019
University of Helsinki,52.3,51.8,,,0.5,0.0095602294,0.000091398,,0.0095602294
Aarhus University,51.9,51.8,,,0.1,0.0019267823,3.71248992987117E-006,,0.0019267823
Osaka University,54.4,51.7,,,2.7,0.0496323529,0.0024633705,,0.0496323529
Heidelberg University,52.2,51.7,,,0.5,0.0095785441,9.17485063343169E-005,,0.0095785441
University of Zurich,52.1,51.6,,,0.5,0.009596929,0.000092101,,0.009596929
