University,HiCi-15,HiCi-16,,,,,,,
Harvard University,100,100,,,0,0,0,,0
Stanford University,80.1,80.1,,,0,0,0,,0
"University of California, Berkeley",66.1,64.9,,,1.2,0.0181543116,0.000329579,,0.0181543116
"University of California, Los Angeles",52.3,58,,,-5.7,-0.1089866157,0.0118780824,,0.1089866157
Duke University,50.2,57.1,,,-6.9,-0.1374501992,0.0188925573,,0.1374501992
University of Oxford,52.3,56.2,,,-3.9,-0.0745697897,0.0055606535,,0.0745697897
Massachusetts Institute of Technology (MIT),60.6,55.3,,,5.3,0.0874587459,0.0076490322,,0.0874587459
Northwestern University,50.3,54.3,,,-4,-0.0795228628,0.0063238857,,0.0795228628
King Abdulaziz University,29.1,52.3,,,-23.2,-0.7972508591,0.6356089323,,0.7972508591
Washington University in St. Louis,40.7,51.3,,,-10.6,-0.2604422604,0.067830171,,0.2604422604
University of Cambridge,50.8,51.3,,,-0.5,-0.0098425197,9.68751937503875E-005,,0.0098425197
University of Michigan-Ann Arbor,56.2,51.3,,,4.9,0.0871886121,0.0076018541,,0.0871886121
Princeton University,57.1,51.3,,,5.8,0.1015761821,0.0103177208,,0.1015761821
University of Washington,53,49.2,,,3.8,0.0716981132,0.0051406194,,0.0716981132
"University of California, San Diego",56.6,49.2,,,7.4,0.1307420495,0.0170934835,,0.1307420495
Mayo Medical School,35.4,48.1,,,-12.7,-0.3587570621,0.1287066296,,0.3587570621
"University of California, Santa Cruz",37.9,47,,,-9.1,-0.2401055409,0.0576506708,,0.2401055409
Yale University,51,44.7,,,6.3,0.1235294118,0.0152595156,,0.1235294118
"The Imperial College of Science, Technology and Medicine",44.2,43.5,,,0.7,0.0158371041,0.0002508139,,0.0158371041
King Saud University,32.5,42.3,,,-9.8,-0.3015384615,0.0909254438,,0.3015384615
University of British Columbia,32.8,42.3,,,-9.5,-0.2896341463,0.0838879387,,0.2896341463
University of Pennsylvania,49.6,42.3,,,7.3,0.1471774194,0.0216611928,,0.1471774194
Cornell University,50.4,41,,,9.4,0.1865079365,0.0347852104,,0.1865079365
Columbia University,52.1,41,,,11.1,0.2130518234,0.0453910795,,0.2130518234
University College London,38.5,39.7,,,-1.2,-0.0311688312,0.000971496,,0.0311688312
University of North Carolina at Chapel Hill,39.8,39.7,,,0.1,0.0025125628,0.000006313,,0.0025125628
"University of Minnesota, Twin Cities",47.3,39.7,,,7.6,0.1606765328,0.0258169482,,0.1606765328
California Institute of Technology,49.3,39.7,,,9.6,0.1947261663,0.0379182799,,0.1947261663
Icahn School of Medicine at Mount Sinai,26.8,38.4,,,-11.6,-0.4328358209,0.1873468479,,0.4328358209
"University of Pittsburgh, Pittsburgh Campus",39.8,38.4,,,1.4,0.0351758794,0.0012373425,,0.0351758794
Johns Hopkins University,44,38.4,,,5.6,0.1272727273,0.0161983471,,0.1272727273
The University of Manchester,27.1,37,,,-9.9,-0.3653136531,0.1334540652,,0.3653136531
Georgia Institute of Technology,30.3,37,,,-6.7,-0.2211221122,0.0488949885,,0.2211221122
"University of California, San Francisco",46.8,37,,,9.8,0.2094017094,0.0438490759,,0.2094017094
China Medical University,13.6,35.5,,,-21.9,-1.6102941176,2.5930471453,,1.6102941176
Rice University,28.1,35.5,,,-7.4,-0.2633451957,0.0693506921,,0.2633451957
The University of Texas M. D. Anderson Cancer Center,28.2,35.5,,,-7.3,-0.2588652482,0.0670112167,,0.2588652482
The University of Melbourne,28.6,35.5,,,-6.9,-0.2412587413,0.0582057802,,0.2412587413
University of Southern California,35.6,35.5,,,0.1,0.0028089888,7.89041787653096E-006,,0.0028089888
Swiss Federal Institute of Technology Zurich,38.4,35.5,,,2.9,0.0755208333,0.0057033963,,0.0755208333
Nanyang Technological University,11.2,34,,,-22.8,-2.0357142857,4.1441326531,,2.0357142857
Monash University,18.4,34,,,-15.6,-0.847826087,0.7188090737,,0.847826087
The University of Queensland,22,34,,,-12,-0.5454545455,0.2975206612,,0.5454545455
King's College London,29.5,34,,,-4.5,-0.1525423729,0.0232691755,,0.1525423729
University of Chicago,49,34,,,15,0.306122449,0.0937109538,,0.306122449
The University of Hong Kong,17.5,32.4,,,-14.9,-0.8514285714,0.7249306122,,0.8514285714
National University of Singapore,19.3,32.4,,,-13.1,-0.6787564767,0.4607103546,,0.6787564767
McMaster University,23.2,32.4,,,-9.2,-0.3965517241,0.1572532699,,0.3965517241
University of Helsinki,25.2,32.4,,,-7.2,-0.2857142857,0.0816326531,,0.2857142857
The University of Edinburgh,25.8,32.4,,,-6.6,-0.2558139535,0.0654407788,,0.2558139535
