University,Overall-15,Overall-16,,,,,,,
Harvard University,100,100,,,0,0,0,,0
Stanford University,73.3,74.7,,,-1.4,-0.0190995907,0.0003647944,,0.0190995907
Massachusetts Institute of Technology (MIT),70.4,69.2,,,1.2,0.0170454545,0.0002905475,,0.0170454545
"University of California, Berkeley",69.6,70.1,,,-0.5,-0.007183908,5.16085348130533E-005,,0.007183908
University of Cambridge,68.8,69.6,,,-0.8,-0.011627907,0.0001352082,,0.011627907
Princeton University,61,62,,,-1,-0.0163934426,0.000268745,,0.0163934426
California Institute of Technology,59.6,57.8,,,1.8,0.0302013423,0.0009121211,,0.0302013423
Columbia University,58.8,56.7,,,2.1,0.0357142857,0.0012755102,,0.0357142857
University of Chicago,57.1,54.2,,,2.9,0.0507880911,0.0025794302,,0.0507880911
University of Oxford,56.6,58.9,,,-2.3,-0.0406360424,0.0016512879,,0.0406360424
Yale University,54.5,52.8,,,1.7,0.0311926606,0.0009729821,,0.0311926606
"University of California, Los Angeles",50.7,51.5,,,-0.8,-0.0157790927,0.0002489798,,0.0157790927
Cornell University,50.5,49,,,1.5,0.0297029703,0.0008822664,,0.0297029703
"University of California, San Diego",48.7,47.8,,,0.9,0.0184804928,0.0003415286,,0.0184804928
University of Washington,47.8,47.3,,,0.5,0.010460251,0.0001094169,,0.010460251
Johns Hopkins University,46.3,46,,,0.3,0.0064794816,4.19836823421289E-005,,0.0064794816
University of Pennsylvania,46.1,44.5,,,1.6,0.0347071584,0.0012045868,,0.0347071584
"University of California, San Francisco",44.5,41.9,,,2.6,0.0584269663,0.0034137104,,0.0584269663
University College London,44.5,45.3,,,-0.8,-0.0179775281,0.0003231915,,0.0179775281
Swiss Federal Institute of Technology Zurich,43.7,43.8,,,-0.1,-0.0022883295,5.23645198958934E-006,,0.0022883295
The University of Tokyo,42,42.2,,,-0.2,-0.0047619048,2.26757369614519E-005,,0.0047619048
University of Michigan-Ann Arbor,41.7,40.8,,,0.9,0.0215827338,0.0004658144,,0.0215827338
"The Imperial College of Science, Technology and Medicine",41.5,41.6,,,-0.1,-0.0024096386,5.80635796196852E-006,,0.0024096386
University of Wisconsin - Madison,41.1,39.2,,,1.9,0.0462287105,0.0021370937,,0.0462287105
University of Toronto,40.6,39.4,,,1.2,0.0295566502,0.0008735956,,0.0295566502
Kyoto University,38.9,37.2,,,1.7,0.0437017995,0.0019098473,,0.0437017995
New York University,38.8,38,,,0.8,0.0206185567,0.0004251249,,0.0206185567
Northwestern University,38.8,40,,,-1.2,-0.0309278351,0.000956531,,0.0309278351
University of Illinois at Urbana-Champaign,38.6,37.7,,,0.9,0.0233160622,0.0005436388,,0.0233160622
"University of Minnesota, Twin Cities",38.5,36.8,,,1.7,0.0441558442,0.0019497386,,0.0441558442
Duke University,38,40.4,,,-2.4,-0.0631578947,0.0039889197,,0.0631578947
Washington University in St. Louis,37.4,40.8,,,-3.4,-0.0909090909,0.0082644628,,0.0909090909
Rockefeller University,36.5,36.1,,,0.4,0.0109589041,0.0001200976,,0.0109589041
University of Colorado at Boulder,36,35.1,,,0.9,0.025,0.000625,,0.025
University of Copenhagen,35.7,37.7,,,-2,-0.056022409,0.0031385103,,0.056022409
