University,PUB-15,PUB-16,,,,,,,
Harvard University,100,100,,,0,0,0,,0
University of Toronto,79.1,80.1,,,-1,-0.012642225,0.0001598259,,0.012642225
University of Michigan-Ann Arbor,75.9,76.6,,,-0.7,-0.0092226614,8.50574832358616E-005,,0.0092226614
University of Oxford,70.9,74.5,,,-3.6,-0.0507757405,0.0025781758,,0.0507757405
University College London,71.7,73.9,,,-2.2,-0.0306834031,0.0009414712,,0.0306834031
University of Sao Paulo,72,73.3,,,-1.3,-0.0180555556,0.0003260031,,0.0180555556
Stanford University,70.6,73.1,,,-2.5,-0.0354107649,0.0012539223,,0.0354107649
University of Washington,71.9,72.6,,,-0.7,-0.0097357441,9.47847129667391E-005,,0.0097357441
Shanghai Jiao Tong University,68.5,72.3,,,-3.8,-0.0554744526,0.0030774149,,0.0554744526
Johns Hopkins University,70.2,71.9,,,-1.7,-0.0242165242,0.00058644,,0.0242165242
"University of California, Los Angeles",70.7,71.4,,,-0.7,-0.0099009901,9.80296049406929E-005,,0.0099009901
The University of Tokyo,70.8,70,,,0.8,0.011299435,0.0001276772,,0.011299435
Zhejiang University,68.5,69.1,,,-0.6,-0.0087591241,7.67222547818196E-005,,0.0087591241
Columbia University,68.8,68.9,,,-0.1,-0.0014534884,2.11262844780999E-006,,0.0014534884
"University of California, Berkeley",67.9,68.4,,,-0.5,-0.0073637703,5.42251123002076E-005,,0.0073637703
Tsinghua University,63.8,68.3,,,-4.5,-0.0705329154,0.0049748921,,0.0705329154
Seoul National University,67.1,68.1,,,-1,-0.0149031297,0.0002221033,,0.0149031297
The University of Melbourne,66.9,67.9,,,-1,-0.0149476831,0.0002234332,,0.0149476831
University of Cambridge,66.4,67.8,,,-1.4,-0.0210843373,0.0004445493,,0.0210843373
University of Pennsylvania,67.7,67.7,,,0,0,0,,0
Peking University,64,66.7,,,-2.7,-0.0421875,0.0017797852,,0.0421875
University of Sydney,64.7,65.7,,,-1,-0.0154559505,0.0002388864,,0.0154559505
University of Copenhagen,63.2,65.2,,,-2,-0.0316455696,0.0010014421,,0.0316455696
"University of Minnesota, Twin Cities",64,64.8,,,-0.8,-0.0125,0.00015625,,0.0125
The University of Queensland,63.2,64.6,,,-1.4,-0.0221518987,0.0004907066,,0.0221518987
University of British Columbia,63,64.5,,,-1.5,-0.0238095238,0.0005668934,,0.0238095238
