University,World Rank-15,World Rank-16,,,,,,,
Harvard University,1,1,,,0,0,0,,0
Stanford University,2,2,,,0,0,0,,0
Massachusetts Institute of Technology (MIT),3,5,,,-2,-0.6666666667,0.4444444444,,0.6666666667
"University of California, Berkeley",4,3,,,1,0.25,0.0625,,0.25
University of Cambridge,5,4,,,1,0.2,0.04,,0.2
Princeton University,6,6,,,0,0,0,,0
California Institute of Technology,7,8,,,-1,-0.1428571429,0.0204081633,,0.1428571429
Columbia University,8,9,,,-1,-0.125,0.015625,,0.125
University of Chicago,9,10,,,-1,-0.1111111111,0.012345679,,0.1111111111
University of Oxford,10,7,,,3,0.3,0.09,,0.3
Yale University,11,11,,,0,0,0,,0
"University of California, Los Angeles",12,12,,,0,0,0,,0
Cornell University,13,13,,,0,0,0,,0
"University of California, San Diego",14,14,,,0,0,0,,0
University of Washington,15,15,,,0,0,0,,0
Johns Hopkins University,16,16,,,0,0,0,,0
University of Pennsylvania,17,18,,,-1,-0.0588235294,0.0034602076,,0.0588235294
University College London,18,17,,,1,0.0555555556,0.0030864198,,0.0555555556
"University of California, San Francisco",18,21,,,-3,-0.1666666667,0.0277777778,,0.1666666667
Swiss Federal Institute of Technology Zurich,20,19,,,1,0.05,0.0025,,0.05
The University of Tokyo,21,20,,,1,0.0476190476,0.0022675737,,0.0476190476
University of Michigan-Ann Arbor,22,23,,,-1,-0.0454545455,0.0020661157,,0.0454545455
"The Imperial College of Science, Technology and Medicine",23,22,,,1,0.0434782609,0.0018903592,,0.0434782609
University of Wisconsin - Madison,24,28,,,-4,-0.1666666667,0.0277777778,,0.1666666667
University of Toronto,25,27,,,-2,-0.08,0.0064,,0.08
Kyoto University,26,32,,,-6,-0.2307692308,0.0532544379,,0.2307692308
Northwestern University,27,26,,,1,0.037037037,0.0013717421,,0.037037037
New York University,27,29,,,-2,-0.0740740741,0.0054869684,,0.0740740741
University of Illinois at Urbana-Champaign,29,30,,,-1,-0.0344827586,0.0011890606,,0.0344827586
"University of Minnesota, Twin Cities",30,33,,,-3,-0.1,0.01,,0.1
Duke University,31,25,,,6,0.1935483871,0.0374609781,,0.1935483871
Washington University in St. Louis,32,23,,,9,0.28125,0.0791015625,,0.28125
Rockefeller University,33,37,,,-4,-0.1212121212,0.0146923783,,0.1212121212
