University,N&S-16,N&S-17,,,,,,,
Harvard University,100,100,,,0,0,0,,0
Stanford University,73.6,74.4,,,-0.8,-0.0108695652,0.0001181474,,0.0108695652
Massachusetts Institute of Technology (MIT),71.7,72.4,,,-0.7,-0.009762901,9.53142354728469E-005,,0.009762901
"University of California, Berkeley",68.7,68.1,,,0.6,0.0087336245,7.62761961061024E-005,,0.0087336245
University of Cambridge,56.7,57.3,,,-0.6,-0.0105820106,0.0001119789,,0.0105820106
Yale University,58.4,57.1,,,1.3,0.022260274,0.0004955198,,0.022260274
"University of California, San Diego",57.8,56.4,,,1.4,0.0242214533,0.0005866788,,0.0242214533
California Institute of Technology,57.3,56,,,1.3,0.0226876091,0.0005147276,,0.0226876091
Columbia University,53.3,53.8,,,-0.5,-0.009380863,8.8000591363974E-005,,0.009380863
University of Oxford,55,52.5,,,2.5,0.0454545455,0.0020661157,,0.0454545455
University of Washington,52.1,51.2,,,0.9,0.0172744722,0.0002984074,,0.0172744722
"University of California, San Francisco",52.1,50.8,,,1.3,0.0249520154,0.0006226031,,0.0249520154
Swiss Federal Institute of Technology Zurich,50.2,49.5,,,0.7,0.0139442231,0.0001944414,,0.0139442231
Princeton University,47.2,46.6,,,0.6,0.0127118644,0.0001615915,,0.0127118644
Cornell University,47,46.1,,,0.9,0.0191489362,0.0003666818,,0.0191489362
The University of Tokyo,47.5,45.2,,,2.3,0.0484210526,0.0023445983,,0.0484210526
"University of California, Los Angeles",44.5,44.9,,,-0.4,-0.008988764,8.07978790556742E-005,,0.008988764
Washington University in St. Louis,42,43.3,,,-1.3,-0.030952381,0.0009580499,,0.030952381
Johns Hopkins University,47,42.8,,,4.2,0.0893617021,0.0079855138,,0.0893617021
University of Chicago,42.7,41.1,,,1.6,0.037470726,0.0014040553,,0.037470726
Rockefeller University,41.8,41.1,,,0.7,0.0167464115,0.0002804423,,0.0167464115
University of Michigan-Ann Arbor,41.6,40.7,,,0.9,0.0216346154,0.0004680566,,0.0216346154
University College London,41.6,39.6,,,2,0.0480769231,0.0023113905,,0.0480769231
University of Toronto,38.2,39.6,,,-1.4,-0.0366492147,0.0013431649,,0.0366492147
The University of Texas Southwestern Medical Center at Dallas,37.6,39.4,,,-1.8,-0.0478723404,0.002291761,,0.0478723404
