University,PCP-16,PCP-17,,,,,,,
California Institute of Technology,100,100,,,0,0,0,,0
Ecole Normale Superieure - Paris,62.4,83.1,,,-20.7,-0.3317307692,0.1100453033,,0.3317307692
Harvard University,79.2,79.5,,,-0.3,-0.0037878788,0.000014348,,0.0037878788
Princeton University,74.4,73.5,,,0.9,0.0120967742,0.0001463319,,0.0120967742
Massachusetts Institute of Technology (MIT),69.7,70.8,,,-1.1,-0.0157819225,0.0002490691,,0.0157819225
University of Cambridge,58.5,59.1,,,-0.6,-0.0102564103,0.000105194,,0.0102564103
"University of California, Berkeley",59,58.7,,,0.3,0.0050847458,2.58546394714158E-005,,0.0050847458
Stanford University,55.8,56.8,,,-1,-0.017921147,0.0003211675,,0.017921147
The University of Texas M. D. Anderson Cancer Center,50.4,50.5,,,-0.1,-0.001984127,3.93675988914095E-006,,0.001984127
Swiss Federal Institute of Technology Zurich,46.1,47.4,,,-1.3,-0.0281995662,0.0007952155,,0.0281995662
University of Oxford,46.1,47.2,,,-1.1,-0.0238611714,0.0005693555,,0.0238611714
Karolinska Institute,40.2,45.8,,,-5.6,-0.1393034826,0.0194054603,,0.1393034826
Swiss Federal Institute of Technology Lausanne,42,45.7,,,-3.7,-0.0880952381,0.007760771,,0.0880952381
University of Chicago,44.5,43.1,,,1.4,0.0314606742,0.000989774,,0.0314606742
University of Copenhagen,41.9,43.1,,,-1.2,-0.0286396181,0.0008202277,,0.0286396181
Erasmus University,30.2,42.9,,,-12.7,-0.4205298013,0.1768453138,,0.4205298013
Cornell University,40.9,42.6,,,-1.7,-0.0415647922,0.0017276319,,0.0415647922
"University of California, Santa Cruz",42.9,42.1,,,0.8,0.0186480186,0.0003477486,,0.0186480186
Stockholm School of Economics,41.4,41.2,,,0.2,0.0048309179,2.33377675091591E-005,,0.0048309179
Medical University of South Carolina,40.8,40.7,,,0.1,0.0024509804,6.00730488273673E-006,,0.0024509804
Rockefeller University,40,40.5,,,-0.5,-0.0125,0.00015625,,0.0125
Washington University in St. Louis,37.2,40,,,-2.8,-0.0752688172,0.0056653948,,0.0752688172
University of Pennsylvania,37.8,39.5,,,-1.7,-0.044973545,0.0020226197,,0.044973545
Rice University,37.8,39.5,,,-1.7,-0.044973545,0.0020226197,,0.044973545
St George's Hospital Medical School,33.3,38.4,,,-5.1,-0.1531531532,0.0234558883,,0.1531531532
"University of California, San Diego",37,38.3,,,-1.3,-0.0351351351,0.0012344777,,0.0351351351
"University of California, Santa Barbara",38.2,38,,,0.2,0.0052356021,2.74115292892198E-005,,0.0052356021
Mayo Medical School,34.6,37.9,,,-3.3,-0.0953757225,0.0090965285,,0.0953757225
Pompeu Fabra University,34.3,37.7,,,-3.4,-0.0991253644,0.0098258379,,0.0991253644
Heidelberg University,34.9,37.5,,,-2.6,-0.0744985673,0.0055500365,,0.0744985673
University of Basel,36,37.4,,,-1.4,-0.0388888889,0.0015123457,,0.0388888889
Yale University,37.1,37.2,,,-0.1,-0.0026954178,7.26527706134094E-006,,0.0026954178
Ecole Normale Superieure - Lyon,30.5,36.4,,,-5.9,-0.193442623,0.0374200484,,0.193442623
Capital Medical University,33.8,36,,,-2.2,-0.0650887574,0.0042365463,,0.0650887574
VU University Amsterdam,35,35.9,,,-0.9,-0.0257142857,0.0006612245,,0.0257142857
University of Groningen,33.7,35.6,,,-1.9,-0.056379822,0.0031786843,,0.056379822
National University of Singapore,35.2,35.5,,,-0.3,-0.0085227273,7.26368801652879E-005,,0.0085227273
Technical University Munich,34.6,35.5,,,-0.9,-0.0260115607,0.0006766013,,0.0260115607
University of Wageningen,34.5,35.3,,,-0.8,-0.0231884058,0.0005377022,,0.0231884058
Ghent University,35.7,35.2,,,0.5,0.0140056022,0.0001961569,,0.0140056022
University of North Carolina at Chapel Hill,33.8,35.2,,,-1.4,-0.0414201183,0.0017156262,,0.0414201183
Radboud University Nijmegen,35.1,35,,,0.1,0.0028490028,8.11681723362658E-006,,0.0028490028
The University of Queensland,33.6,34.9,,,-1.3,-0.0386904762,0.0014969529,,0.0386904762
University of Helsinki,33.5,34.9,,,-1.4,-0.0417910448,0.0017464914,,0.0417910448
University of Colorado at Boulder,35.1,34.8,,,0.3,0.0085470085,7.30513551026392E-005,,0.0085470085
University of Bern,33.4,34.8,,,-1.4,-0.0419161677,0.0017569651,,0.0419161677
University of Munich,33.9,34.5,,,-0.6,-0.017699115,0.0003132587,,0.017699115
