University,PUB-16,PUB-17,,,,,,
Harvard University,100,100,,,0,0,0,0
University of Toronto,80.1,80.6,,,-0.5,-0.0062421973,0.000038965,0.0062421973
University of Michigan-Ann Arbor,76.6,77.9,,,-1.3,-0.0169712794,0.0002880243,0.0169712794
University College London,73.9,77,,,-3.1,-0.0419485792,0.0017596833,0.0419485792
University of Oxford,74.5,75.8,,,-1.3,-0.0174496644,0.0003044908,0.0174496644
University of Sao Paulo,73.3,75.1,,,-1.8,-0.0245566166,0.0006030274,0.0245566166
Shanghai Jiao Tong University,72.3,74.4,,,-2.1,-0.0290456432,0.0008436494,0.0290456432
University of Washington,72.6,74.3,,,-1.7,-0.023415978,0.000548308,0.023415978
Stanford University,73.1,73.7,,,-0.6,-0.0082079343,6.73701860727131E-005,0.0082079343
Johns Hopkins University,71.9,73.3,,,-1.4,-0.0194714882,0.0003791389,0.0194714882
"University of California, Los Angeles",71.4,70.9,,,0.5,0.0070028011,4.90392235325503E-005,0.0070028011
Zhejiang University,69.1,70.8,,,-1.7,-0.024602026,0.0006052597,0.024602026
The University of Tokyo,70,70.3,,,-0.3,-0.0042857143,1.83673469387752E-005,0.0042857143
Columbia University,68.9,70.3,,,-1.4,-0.0203193033,0.0004128741,0.0203193033
Tsinghua University,68.3,70.3,,,-2,-0.0292825769,0.0008574693,0.0292825769
University of Cambridge,67.8,69.8,,,-2,-0.0294985251,0.000870163,0.0294985251
The University of Melbourne,67.9,69.7,,,-1.8,-0.0265095729,0.0007027575,0.0265095729
Seoul National University,68.1,69.1,,,-1,-0.0146842878,0.0002156283,0.0146842878
Peking University,66.7,68.4,,,-1.7,-0.0254872564,0.0006496002,0.0254872564
University of Pennsylvania,67.7,68,,,-0.3,-0.0044313146,1.96365492910111E-005,0.0044313146
"University of California, Berkeley",68.4,66.7,,,1.7,0.0248538012,0.0006177114,0.0248538012
University of Copenhagen,65.2,66.7,,,-1.5,-0.023006135,0.0005292822,0.023006135
University of Sydney,65.7,66.4,,,-0.7,-0.0106544901,0.0001135182,0.0106544901
University of British Columbia,64.5,65.6,,,-1.1,-0.0170542636,0.0002908479,0.0170542636
"University of Minnesota, Twin Cities",64.8,65.2,,,-0.4,-0.0061728395,3.81039475689692E-005,0.0061728395
The University of Queensland,64.6,64.8,,,-0.2,-0.0030959752,9.58506263838462E-006,0.0030959752
"University of California, San Diego",63.5,63.7,,,-0.2,-0.0031496063,0.00000992,0.0031496063
University of Wisconsin - Madison,62.7,63.5,,,-0.8,-0.0127591707,0.0001627964,0.0127591707
Massachusetts Institute of Technology (MIT),61.7,63.5,,,-1.8,-0.0291734198,0.0008510884,0.0291734198
Pierre and Marie  Curie University - Paris 6,61.9,62.9,,,-1,-0.0161550889,0.0002609869,0.0161550889
The Ohio State University - Columbus,62.3,62.5,,,-0.2,-0.0032102729,1.0305851920367E-005,0.0032102729
The University of New South Wales,60.5,62.1,,,-1.6,-0.026446281,0.0006994058,0.026446281
Duke University,62.1,61.5,,,0.6,0.0096618357,9.33510700366407E-005,0.0096618357
University of North Carolina at Chapel Hill,60.8,61.5,,,-0.7,-0.0115131579,0.0001325528,0.0115131579
"University of California, San Francisco",59.3,61.4,,,-2.1,-0.0354131535,0.0012540914,0.0354131535
Cornell University,60.5,61.1,,,-0.6,-0.0099173554,9.83539375725706E-005,0.0099173554
Fudan University,59.7,61.1,,,-1.4,-0.0234505863,0.00054993,0.0234505863
Yale University,62.6,61,,,1.6,0.0255591054,0.0006532679,0.0255591054
University of Florida,59.6,61,,,-1.4,-0.0234899329,0.0005517769,0.0234899329
Monash University,59.7,60.5,,,-0.8,-0.013400335,0.000179569,0.013400335
"University of Pittsburgh, Pittsburgh Campus",59.7,60.3,,,-0.6,-0.0100502513,0.0001010076,0.0100502513
McGill University,60.3,60.2,,,0.1,0.0016583748,2.75020695307291E-006,0.0016583748
National University of Singapore,60.4,60.1,,,0.3,0.0049668874,0.00002467,0.0049668874
The University of Manchester,58.4,59.7,,,-1.3,-0.022260274,0.0004955198,0.022260274
Sun Yat-sen University,58,59.5,,,-1.5,-0.025862069,0.0006688466,0.025862069
