Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11
1,Harvard University,,1,100.0,100.0,100.0,100.0,100.0,100.0,79.5
2,Stanford University,,2,76.5,44.5,88.5,87.3,74.4,73.7,56.8
3,University of Cambridge,,1,70.9,81.4,95.4,54.6,57.3,69.8,59.1
4,Massachusetts Institute of Technology (MIT),,3,70.4,68.7,82.3,56.7,72.4,63.5,70.8
5,"University of California, Berkeley",,4,69.1,64.4,78.4,63.6,68.1,66.7,58.7
6,Princeton University,,5,61.1,54.4,97.9,47.6,46.6,43.3,73.5
7,University of Oxford,,2,60.1,50.8,54.2,62.7,52.5,75.8,47.2
8,Columbia University,,6,58.8,62.8,65.1,50.0,53.8,70.3,34.3
9,California Institute of Technology,,7,57.3,50.5,65.8,39.3,56.0,44.0,100.0
10,University of Chicago,,8,53.9,59.2,85.1,36.2,41.1,50.3,43.1
11,Yale University,,9,52.8,47.1,49.7,48.8,57.1,61.0,37.2
12,"University of California, Los Angeles",,10,52.5,29.2,46.4,63.6,44.9,70.9,33.6
13,University of Washington,,11,50.3,20.9,37.4,56.7,51.2,74.3,32.7
14,Cornell University,,12,49.6,43.1,49.1,43.6,46.1,61.1,42.6
15,"University of California, San Diego",,13,49.5,19.0,35.1,58.8,56.4,63.7,38.3
16,University College London,,3,47.1,27.8,35.8,47.6,39.6,77.0,33.5
17,University of Pennsylvania,,14,46.0,31.3,33.4,50.0,38.7,68.0,39.5
18,Johns Hopkins University,,15,45.7,37.3,33.2,40.8,42.8,73.3,30.0
19,Swiss Federal Institute of Technology Zurich,,1,44.1,29.2,35.1,36.2,49.5,56.9,47.4
20,Washington University in St. Louis,,16,43.3,22.7,24.6,60.7,43.3,52.0,40.0
21,"University of California, San Francisco",,17,42.4,0.0,39.4,39.3,50.8,61.4,33.3
22,Northwestern University,,18,41.9,15.2,27.6,59.8,34.1,59.3,34.3
23,University of Toronto,,1,41.6,19.7,17.0,40.8,39.6,80.6,31.7
24,The University of Tokyo,,1,41.5,38.3,25.0,28.9,45.2,70.3,29.5
24,University of Michigan-Ann Arbor,,19,41.5,34.1,0.0,54.6,40.7,77.9,26.0
26,Duke University,,20,41.0,15.2,19.0,61.7,37.8,61.5,26.5
27,Imperial College London,,4,40.9,14.4,35.4,42.3,30.9,64.8,39.5
28,University of Wisconsin - Madison,,21,39.7,32.5,34.3,34.5,33.4,63.5,24.5
29,New York University,,22,38.6,29.6,31.5,34.5,38.4,58.9,21.6
30,University of Copenhagen,,1,38.5,21.5,18.6,34.5,36.6,66.7,43.1
31,University of British Columbia,,2,37.7,15.2,18.6,47.6,31.2,65.6,28.4
32,The University of Edinburgh,,5,37.0,24.3,24.6,46.3,29.7,53.8,29.0
33,University of North Carolina at Chapel Hill,,23,36.9,8.8,23.4,42.3,31.8,61.5,35.2
34,"University of Minnesota, Twin Cities",,24,36.8,29.2,16.1,39.3,33.1,65.2,24.1
35,Kyoto University,,2,36.7,31.3,36.7,24.4,31.8,59.3,23.8
36,Rockefeller University,,25,36.6,16.8,59.0,30.9,41.1,19.6,40.5
37,University of Illinois at Urbana-Champaign,,26,36.2,29.6,35.8,24.4,30.8,57.4,28.1
38,The University of Manchester,,6,36.1,18.3,32.2,32.7,28.7,59.7,28.8
39,The University of Melbourne,,1,35.9,16.8,13.1,45.0,22.8,69.7,33.9
40,Pierre and Marie  Curie University - Paris 6,,1,35.5,33.3,27.1,24.4,28.0,62.9,29.5
41,University of Paris-Sud (Paris 11),,2,35.0,30.0,53.6,18.9,18.7,48.6,33.2
42,Heidelberg University,,1,34.8,19.7,25.0,34.5,28.8,53.6,37.5
43,University of Colorado at Boulder,,27,34.7,12.4,33.6,28.9,37.1,46.6,34.8
44,Karolinska Institute,,1,33.3,25.4,26.3,24.4,23.7,53.3,45.8
45,"University of California, Santa Barbara",,28,33.2,14.4,38.6,32.7,26.7,38.3,38.0
46,King's College London,,7,33.1,20.9,20.8,39.3,21.1,56.1,29.0
47,Utrecht University,,1,33.0,22.7,19.7,40.8,26.7,47.7,31.1
48,The University of Texas Southwestern Medical Center at Dallas,,29,32.8,18.3,34.0,28.9,39.4,35.6,27.2
48,Tsinghua University,,1,32.8,10.2,0.0,37.8,35.2,70.3,25.1
50,Technical University Munich,,2,32.7,34.4,21.3,28.9,23.4,51.7,35.5
51,The University of Texas at Austin,,30,32.5,16.1,16.1,28.9,35.9,56.9,26.9
52,Vanderbilt University,,31,32.0,15.2,28.6,36.2,21.6,51.9,21.4
53,"University of Maryland, College Park",,32,31.8,19.0,19.7,26.7,31.9,53.6,28.2
54,University of Southern California,,33,31.7,0.0,31.3,36.2,20.8,54.0,25.5
55,The University of Queensland,,2,31.6,12.4,0.0,40.8,25.6,64.8,34.9
56,University of Helsinki,,1,31.5,18.3,20.8,30.9,22.6,53.5,34.9
57,University of Munich,,3,31.4,25.4,18.9,21.8,31.6,51.7,34.5
58,University of Zurich,,2,31.3,5.1,23.7,28.9,28.2,53.1,33.6
59,University of Groningen,,2,31.1,13.4,25.2,28.9,19.5,54.5,35.6
60,University of Geneva,,3,31.0,26.9,27.9,26.7,27.5,39.9,33.0
61,University of Bristol,,8,30.1,7.2,16.1,30.9,33.3,47.7,31.5
62,University of Oslo,,1,29.9,27.8,32.2,15.4,18.0,52.7,28.7
63,Uppsala University,,2,29.8,17.6,27.1,18.9,25.0,51.6,29.3
64,"University of California, Irvine",,34,29.4,0.0,28.9,30.9,24.2,46.8,26.8
65,Aarhus University,,2,29.1,11.4,21.8,18.9,24.8,54.5,33.3
66,McMaster University,,3,29.0,12.4,18.6,42.3,12.9,45.0,34.3
67,McGill University,,4,28.9,32.5,0.0,24.4,27.1,60.2,27.1
68,"University of Pittsburgh, Pittsburgh Campus",,35,28.7,18.3,0.0,42.3,19.0,60.3,19.9
69,Ecole Normale Superieure - Paris,,3,28.6,48.4,27.6,0.0,18.3,28.3,83.1
69,Ghent University,,1,28.6,5.1,13.1,30.9,17.6,58.5,35.2
71,Mayo Medical School,,36,28.5,0.0,0.0,55.6,15.2,49.9,37.9
71,Peking University,,2,28.5,11.4,0.0,26.7,27.0,68.4,23.4
73,Erasmus University,,3,28.4,0.0,14.7,54.6,14.2,34.3,42.9
74,Rice University,,37,28.2,16.1,21.4,39.3,18.5,30.9,39.5
74,Stockholm University,,3,28.2,23.8,27.1,21.8,21.2,41.8,28.2
76,Swiss Federal Institute of Technology Lausanne,,4,28.1,0.0,0.0,39.3,33.0,42.6,45.7
77,Purdue University - West Lafayette,,38,28.0,13.4,22.8,18.9,25.4,51.5,23.7
78,Monash University,,3,27.9,0.0,0.0,37.8,22.8,60.5,30.9
79,"Rutgers, The State University of New Jersey - New Brunswick",,39,27.8,10.2,18.6,34.5,25.2,43.4,18.6
80,Boston University,,40,27.7,11.4,11.4,30.9,24.7,51.2,23.9
80,Carnegie Mellon University,,40,27.7,31.3,31.2,24.4,14.1,34.9,30.9
80,The Ohio State University - Columbus,,40,27.7,12.4,0.0,36.2,21.2,62.5,19.3
83,University of Sydney,,4,27.5,14.4,0.0,28.9,18.2,66.4,28.4
84,Nagoya University,,3,27.2,28.7,25.0,18.9,18.3,44.3,24.7
85,Georgia Institute of Technology,,43,27.1,12.4,0.0,40.8,24.3,44.8,33.1
85,Pennsylvania State University - University Park,,43,27.1,10.2,0.0,32.7,28.6,54.4,24.1
85,"University of California, Davis",,43,27.1,0.0,0.0,30.9,31.2,58.6,24.8
88,Leiden University,,4,27.0,17.6,9.3,26.7,20.7,50.6,32.8
88,University of Florida,,46,27.0,16.8,0.0,30.9,19.5,61.0,24.4
90,KU Leuven,,2,26.9,0.0,0.0,34.5,22.9,58.6,31.1
91,National University of Singapore,,1,26.8,0.0,0.0,32.7,20.6,60.1,35.5
91,The University of Western Australia,,5,26.8,13.4,13.9,28.9,15.8,49.5,33.1
93,Moscow State University,,1,26.6,40.9,32.6,0.0,8.9,51.6,33.8
93,Technion-Israel Institute of Technology,,1,26.6,23.3,37.2,15.4,18.7,33.0,28.6
95,University of Basel,,5,26.3,19.0,16.1,18.9,25.5,40.1,37.4
95,University of Goettingen,,4,26.3,30.5,14.7,24.4,22.1,38.5,28.3
97,The Australian National University,,6,26.1,13.4,19.0,15.4,24.5,47.2,30.5
98,"University of California, Santa Cruz",,47,26.0,0.0,0.0,47.6,29.5,29.1,42.1
99,Cardiff University,,9,25.9,0.0,16.1,36.2,17.3,43.0,28.6
99,University of Arizona,,48,25.9,14.4,0.0,30.9,27.3,49.0,24.7
101-150,Aix Marseille University,,4-6,,13.4,0.0,24.4,25.9,52.4,19.5
101-150,Arizona State University,,49-60,,0.0,19.7,21.8,22.5,44.9,22.9
101-150,Baylor College of Medicine,,49-60,,0.0,0.0,26.7,30.7,42.2,19.7
101-150,Brown University,,49-60,,14.4,19.7,15.4,19.9,44.5,33.4
101-150,Case Western Reserve University,,49-60,,30.0,10.7,21.8,17.9,39.5,24.9
101-150,Catholic University of Louvain,,3,,10.2,13.1,26.7,9.9,35.7,29.4
101-150,Emory University,,49-60,,0.0,0.0,32.7,22.1,52.3,23.3
101-150,Fudan University,,3-6,,0.0,0.0,24.4,14.8,61.1,23.4
101-150,Icahn School of Medicine at Mount Sinai,,49-60,,0.0,0.0,45.0,24.2,39.5,21.1
101-150,Indiana University Bloomington,,49-60,,10.2,21.3,21.8,18.0,40.3,20.8
101-150,King Abdulaziz University,,1-2,,0.0,0.0,52.3,11.0,46.4,18.0
101-150,King Saud University,,1-2,,0.0,0.0,45.0,3.9,48.2,18.3
101-150,Lund University,,4,,20.9,0.0,15.4,18.0,52.3,23.1
101-150,Michigan State University,,49-60,,8.8,0.0,26.7,24.2,52.7,19.9
101-150,Nanyang Technological University,,2,,0.0,0.0,37.8,14.9,53.3,33.3
101-150,Norwegian University of Science and Technology - NTNU,,2,,13.4,20.8,15.4,13.5,39.9,22.7
101-150,Osaka University,,4-5,,8.8,0.0,30.9,23.6,50.9,22.2
101-150,Radboud University Nijmegen,,5-8,,16.1,0.0,15.4,19.5,51.7,35.0
101-150,Seoul National University,,1,,0.0,0.0,18.9,17.2,69.1,23.8
101-150,Shanghai Jiao Tong University,,3-6,,0.0,0.0,15.4,11.3,74.4,26.4
101-150,Texas A&M University,,49-60,,0.0,0.0,28.9,17.8,52.0,19.2
101-150,The Hebrew University of Jerusalem,,2-3,,31.7,27.9,10.9,17.7,38.5,28.1
101-150,The University of Adelaide,,7-8,,14.4,0.0,26.7,13.8,45.5,30.9
101-150,The University of Glasgow,,10-17,,7.2,0.0,28.9,18.9,43.1,24.8
