University,Citation-15,Citations-16,,,B2-C2,B2-C2/B2,,,,ABS
"St George’s, University of LondonUnited Kingdom",86.4,100,,,-13.6,-0.157407407,0.024777092,,,0.157407407
"University of California, Santa CruzUnited States of America",100,99.9,,,0.1,0.001,1E-06,,,0.001
Stanford UniversityUnited States of America,99.1,99.9,,,-0.8,-0.008072654,6.51677E-05,,,0.008072654
California Institute of TechnologyUnited States of America,99.7,99.8,,,-0.1,-0.001003009,1.00603E-06,,,0.001003009
Harvard UniversityUnited States of America,98.9,99.8,,,-0.9,-0.009100101,8.28118E-05,,,0.009100101
Massachusetts Institute of TechnologyUnited States of America,100,99.7,,,0.3,0.003,9E-06,,,0.003
Rice UniversityUnited States of America,99.9,99.7,,,0.2,0.002002002,4.00801E-06,,,0.002002002
"University of California, BerkeleyUnited States of America",99.1,99.7,,,-0.6,-0.00605449,3.66569E-05,,,0.00605449
Princeton UniversityUnited States of America,99.6,99.3,,,0.3,0.003012048,9.07243E-06,,,0.003012048
"University of California, Santa BarbaraUnited States of America",99.2,99.2,,,0,0,0,,,0
University of ChicagoUnited States of America,97.3,99.2,,,-1.9,-0.019527235,0.000381313,,,0.019527235
Washington University in St LouisUnited States of America,97.1,99.2,,,-2.1,-0.021627188,0.000467735,,,0.021627188
Carnegie Mellon UniversityUnited States of America,92,99.1,,,-7.1,-0.077173913,0.005955813,,,0.077173913
Duke UniversityUnited States of America,96.6,99,,,-2.4,-0.02484472,0.00061726,,,0.02484472
University of OxfordUnited Kingdom,95.5,80.4,,,15.1,0.158115183,0.025000411,,,0.158115183
"University of California, San DiegoUnited States of America",96.4,98.7,,,-2.3,-0.023858921,0.000569248,,,0.023858921
University of WashingtonUnited States of America,95,98.6,,,-3.6,-0.037894737,0.001436011,,,0.037894737
University of PennsylvaniaUnited States of America,94.4,98.6,,,-4.2,-0.044491525,0.001979496,,,0.044491525
"University of California, Los AngelesUnited States of America",95.3,98.5,,,-3.2,-0.033578174,0.001127494,,,0.033578174
