University,Industry Income-15,Industry Income-16,,,B2-C2,B2-C2/B2,,,,ABS
Johns Hopkins UniversityUnited States of America,100,100,,,0,0,0,,,0
Duke UniversityUnited States of America,100,100,,,0,0,0,,,0
LMU MunichGermany,100,100,,,0,0,0,,,0
Peking UniversityChina,100,100,,,0,0,0,,,0
Wageningen University and Research CenterNetherlands,100,100,,,0,0,0,,,0
Delft University of TechnologyNetherlands,100,100,,,0,0,0,,,0
Pohang University of Science and TechnologySouth Korea,100,100,,,0,0,0,,,0
Korea Advanced Institute of Science and Technology (KAIST)South Korea,100,100,,,0,0,0,,,0
National Cheng Kung UniversityTaiwan,100,100,,,0,0,0,,,0
Nanyang Technological UniversitySingapore,100,99.9,,,0.1,0.001,1E-06,,,0.001
KTH Royal Institute of TechnologySweden,100,78.1,,,21.9,0.219,0.047961,,,0.219
University of AntwerpBelgium,100,60.3,,,39.7,0.397,0.157609,,,0.397
KU LeuvenBelgium,99.9,100,,,-0.1,-0.001001001,1.002E-06,,,0.001001001
Eindhoven University of TechnologyNetherlands,99.9,57.3,,,42.6,0.426426426,0.181839497,,,0.426426426
Swedish University of Agricultural SciencesSweden,99.8,80.4,,,19.4,0.194388778,0.037786997,,,0.194388778
University of South FloridaUnited States of America,99.8,99.8,,,0,0,0,,,0
Tsinghua UniversityChina,99.7,100,,,-0.3,-0.003009027,9.05424E-06,,,0.003009027
University of ArizonaUnited States of America,99.6,32.4,,,67.2,0.674698795,0.455218464,,,0.674698795
TU Dresden Germany,99.5,99.7,,,-0.2,-0.00201005,4.0403E-06,,,0.00201005
University of DelawareUnited States of America,99.3,98.7,,,0.6,0.006042296,3.65093E-05,,,0.006042296
Technical University of DenmarkDenmark,98.6,50,,,48.6,0.492900609,0.24295101,,,0.492900609
Korea UniversitySouth Korea,98.5,99.8,,,-1.3,-0.01319797,0.000174186,,,0.01319797
Sungkyunkwan University (SKKU)South Korea,98.5,97.5,,,1,0.010152284,0.000103069,,,0.010152284
National Chiao Tung UniversityTaiwan,98.2,96.9,,,1.3,0.013238289,0.000175252,,,0.013238289
University of BaselSwitzerland,97.7,99.9,,,-2.2,-0.022517912,0.000507056,,,0.022517912
Maastricht UniversityNetherlands,96.1,95.4,,,0.7,0.007284079,5.30578E-05,,,0.007284079
Massachusetts Institute of TechnologyUnited States of America,95.7,95.4,,,0.3,0.003134796,9.82695E-06,,,0.003134796
University of the WitwatersrandSouth Africa,94.8,99.7,,,-4.9,-0.051687764,0.002671625,,,0.051687764
Stellenbosch UniversitySouth Africa,94.7,100,,,-5.3,-0.055966209,0.003132217,,,0.055966209
University of MontrealCanada,91.8,92.6,,,-0.8,-0.008714597,7.59442E-05,,,0.008714597
University of NavarraSpain,90.2,63.5,,,26.7,0.296008869,0.087621251,,,0.296008869
University of TwenteNetherlands,89.2,91.2,,,-2,-0.022421525,0.000502725,,,0.022421525
California Institute of TechnologyUnited States of America,89.1,97.8,,,-8.7,-0.097643098,0.009534175,,,0.097643098
Technical University of DarmstadtGermany,88.9,99.1,,,-10.2,-0.114735658,0.013164271,,,0.114735658
University of GroningenNetherlands,88.9,92.4,,,-3.5,-0.039370079,0.001550003,,,0.039370079
Hanyang UniversitySouth Korea,88.7,87.9,,,0.8,0.009019166,8.13454E-05,,,0.009019166
Zhejiang UniversityChina,88.6,96.2,,,-7.6,-0.085778781,0.007357999,,,0.085778781
