University,International Outlook-15,International Outlook-16,,,B2-C2,B2-C2/B2,,,,ABS
University of Hong KongHong Kong,81.9,99.5,,,-17.6,-0.214896215,0.046180383,,,0.214896215
École Polytechnique Fédérale de LausanneSwitzerland,98.8,98.6,,,0.2,0.002024291,4.09776E-06,,,0.002024291
University of GenevaSwitzerland,96.8,98.5,,,-1.7,-0.017561983,0.000308423,,,0.017561983
University of MacauMacau,73.3,98.4,,,-25.1,-0.342428377,0.117257193,,,0.342428377
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,96.6,97.9,,,-1.3,-0.013457557,0.000181106,,,0.013457557
National University of SingaporeSingapore,94.9,96.2,,,-1.3,-0.01369863,0.000187652,,,0.01369863
Imperial College LondonUnited Kingdom,92.7,96,,,-3.3,-0.035598706,0.001267268,,,0.035598706
University of InnsbruckAustria,93.4,95.7,,,-2.3,-0.024625268,0.000606404,,,0.024625268
Maastricht UniversityNetherlands,89.7,95.5,,,-5.8,-0.064659978,0.004180913,,,0.064659978
University of BaselSwitzerland,91.2,94.7,,,-3.5,-0.038377193,0.001472809,,,0.038377193
Nanyang Technological UniversitySingapore,92.5,94.6,,,-2.1,-0.022702703,0.000515413,,,0.022702703
University of OxfordUnited Kingdom,90.7,94.4,,,-3.7,-0.040793826,0.001664136,,,0.040793826
University College LondonUnited Kingdom,90.6,94.4,,,-3.8,-0.041942605,0.001759182,,,0.041942605
King’s College LondonUnited Kingdom,87,93.8,,,-6.8,-0.07816092,0.006109129,,,0.07816092
University of EssexUnited Kingdom,86.7,80.4,,,6.3,0.07266436,0.005280109,,,0.07266436
London School of Economics and Political ScienceUnited Kingdom,87.4,93.6,,,-6.2,-0.070938215,0.00503223,,,0.070938215
Queen Mary University of LondonUnited Kingdom,88.6,93.5,,,-4.9,-0.05530474,0.003058614,,,0.05530474
Queen’s University BelfastUnited Kingdom,88.6,93.4,,,-4.8,-0.054176072,0.002935047,,,0.054176072
Australian National UniversityAustralia,91.3,93.3,,,-2,-0.021905805,0.000479864,,,0.021905805
