University,Overall-15,Overall-16,,,B2-C2,B2-C2/B2,,,,ABS
California Institute of TechnologyUnited States of America,94.3,95.2,q,,-0.9,-0.009544008,9.10881E-05,,,0.009544008
University of OxfordUnited Kingdom,93.2,94.2,,,-1,-0.010729614,0.000115125,,,0.010729614
Stanford UniversityUnited States of America,92.9,93.9,,,-1,-0.010764263,0.000115869,,,0.010764263
University of CambridgeUnited Kingdom,92,92.8,,,-0.8,-0.008695652,7.56144E-05,,,0.008695652
Massachusetts Institute of TechnologyUnited States of America,91.9,92,,,-0.1,-0.001088139,1.18405E-06,,,0.001088139
Harvard UniversityUnited States of America,93.3,91.6,,,1.7,0.018220793,0.000331997,,,0.018220793
Princeton UniversityUnited States of America,90.9,90.1,,,0.8,0.00880088,7.74555E-05,,,0.00880088
Imperial College LondonUnited Kingdom,87.5,89.1,,,-1.6,-0.018285714,0.000334367,,,0.018285714
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,84.6,88.3,,,-3.7,-0.043735225,0.00191277,,,0.043735225
University of ChicagoUnited States of America,87.1,87.9,,,-0.8,-0.009184845,8.43614E-05,,,0.009184845
Johns Hopkins UniversityUnited States of America,83,87.6,,,-4.6,-0.055421687,0.003071563,,,0.055421687
Yale UniversityUnited States of America,87.5,87.4,,,0.1,0.001142857,1.30612E-06,,,0.001142857
"University of California, BerkeleyUnited States of America",89.5,87.2,,,2.3,0.025698324,0.000660404,,,0.025698324
University College LondonUnited Kingdom,78.7,87.1,,,-8.4,-0.106734435,0.01139224,,,0.106734435
Columbia UniversityUnited States of America,84.4,80.4,,,4,0.047393365,0.002246131,,,0.047393365
"University of California, Los AngelesUnited States of America",85.5,85.8,,,-0.3,-0.003508772,1.23115E-05,,,0.003508772
University of PennsylvaniaUnited States of America,81,85.2,,,-4.2,-0.051851852,0.002688615,,,0.051851852
Cornell UniversityUnited States of America,79.4,84,,,-4.6,-0.057934509,0.003356407,,,0.057934509
University of TorontoCanada,79.3,83.9,,,-4.6,-0.058007566,0.003364878,,,0.058007566
Duke UniversityUnited States of America,79.9,82.7,,,-2.8,-0.035043805,0.001228068,,,0.035043805
University of MichiganUnited States of America,80.9,82.4,,,-1.5,-0.018541409,0.000343784,,,0.018541409
Carnegie Mellon UniversityUnited States of America,74.3,82.3,,,-8,-0.107671602,0.011593174,,,0.107671602
London School of Economics and Political ScienceUnited Kingdom,70.9,81.3,,,-10.4,-0.146685472,0.021516628,,,0.146685472
University of EdinburghUnited Kingdom,70.4,80.3,,,-9.9,-0.140625,0.019775391,,,0.140625
Northwestern UniversityUnited States of America,79.2,79.5,,,-0.3,-0.003787879,1.4348E-05,,,0.003787879
National University of SingaporeSingapore,73.3,79.2,,,-5.9,-0.080491132,0.006478822,,,0.080491132
