University,Research-15,Research-16,,,B2-C2,B2-C2/B2,,,,ABS
Harvard UniversityUnited States of America,98.6,99,,,-0.4,-0.004056795,1.64576E-05,,,0.004056795
University of OxfordUnited Kingdom,97.7,98.9,,,-1.2,-0.012282497,0.00015086,,,0.012282497
California Institute of TechnologyUnited States of America,98.1,97.6,,,0.5,0.00509684,2.59778E-05,,,0.00509684
University of CambridgeUnited Kingdom,95.6,96.7,,,-1.1,-0.011506276,0.000132394,,,0.011506276
Stanford UniversityUnited States of America,96.7,96.2,,,0.5,0.005170631,2.67354E-05,,,0.005170631
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,90.2,95,,,-4.8,-0.053215078,0.002831844,,,0.053215078
Princeton UniversityUnited States of America,94.7,91.9,,,2.8,0.029567054,0.000874211,,,0.029567054
"University of California, BerkeleyUnited States of America",96.7,91.1,,,5.6,0.057911065,0.003353691,,,0.057911065
University College LondonUnited Kingdom,80.4,91,,,-10.6,-0.131840796,0.017381995,,,0.131840796
Johns Hopkins UniversityUnited States of America,84.2,90.4,,,-6.2,-0.073634204,0.005421996,,,0.073634204
University of TorontoCanada,85.1,89.3,,,-4.2,-0.049353702,0.002435788,,,0.049353702
University of ChicagoUnited States of America,89.9,88.9,,,1,0.011123471,0.000123732,,,0.011123471
Carnegie Mellon UniversityUnited States of America,74.9,88.8,,,-13.9,-0.185580774,0.034440224,,,0.185580774
"University of California, Los AngelesUnited States of America",90.5,88.6,,,1.9,0.020994475,0.000440768,,,0.020994475
Massachusetts Institute of TechnologyUnited States of America,88.2,80.4,,,7.8,0.088435374,0.007820815,,,0.088435374
Imperial College LondonUnited Kingdom,88.3,88.5,,,-0.2,-0.002265006,5.13025E-06,,,0.002265006
Yale UniversityUnited States of America,90.8,87.8,,,3,0.033039648,0.001091618,,,0.033039648
University of PennsylvaniaUnited States of America,82,86.9,,,-4.9,-0.059756098,0.003570791,,,0.059756098
Cornell UniversityUnited States of America,83.8,86.1,,,-2.3,-0.027446301,0.000753299,,,0.027446301
University of MichiganUnited States of America,86.5,85.2,,,1.3,0.015028902,0.000225868,,,0.015028902
National University of SingaporeSingapore,78.1,84.5,,,-6.4,-0.081946223,0.006715183,,,0.081946223
University of TokyoJapan,85.1,83,,,2.1,0.024676851,0.000608947,,,0.024676851
Tsinghua UniversityChina,68.3,83,,,-14.7,-0.21522694,0.046322636,,,0.21522694
Columbia UniversityUnited States of America,79.4,82.2,,,-2.8,-0.035264484,0.001243584,,,0.035264484
University of Illinois at Urbana-ChampaignUnited States of America,79,81.2,,,-2.2,-0.027848101,0.000775517,,,0.027848101
Karolinska InstituteSweden,68,81.1,,,-13.1,-0.192647059,0.037112889,,,0.192647059
London School of Economics and Political ScienceUnited Kingdom,74.2,80.6,,,-6.4,-0.086253369,0.007439644,,,0.086253369
Northwestern UniversityUnited States of America,78.9,78.4,,,0.5,0.006337136,4.01593E-05,,,0.006337136
Duke UniversityUnited States of America,75.2,78,,,-2.8,-0.037234043,0.001386374,,,0.037234043
LMU MunichGermany,69.1,77.4,,,-8.3,-0.120115774,0.014427799,,,0.120115774
Australian National UniversityAustralia,70.9,77.3,,,-6.4,-0.090267983,0.008148309,,,0.090267983
University of EdinburghUnited Kingdom,62.9,77.2,,,-14.3,-0.227344992,0.051685745,,,0.227344992
Humboldt University of BerlinGermany,52.6,77,,,-24.4,-0.463878327,0.215183102,,,0.463878327
KU LeuvenBelgium,63.6,76.9,,,-13.3,-0.209119497,0.043730964,,,0.209119497
King’s College LondonUnited Kingdom,62.3,75.8,,,-13.5,-0.216693419,0.046956038,,,0.216693419
University of MelbourneAustralia,70.9,75.5,,,-4.6,-0.064880113,0.004209429,,,0.064880113
Delft University of TechnologyNetherlands,71.4,73.8,,,-2.4,-0.033613445,0.001129864,,,0.033613445
University of British ColumbiaCanada,69,73.2,,,-4.2,-0.060869565,0.003705104,,,0.060869565
University of Hong KongHong Kong,72.6,72.8,,,-0.2,-0.002754821,7.58904E-06,,,0.002754821
Georgia Institute of TechnologyUnited States of America,71.2,72.7,,,-1.5,-0.021067416,0.000443836,,,0.021067416
"University of California, DavisUnited States of America",59.7,72.7,,,-13,-0.217755444,0.047417433,,,0.217755444
Peking UniversityChina,61.9,72.4,,,-10.5,-0.169628433,0.028773805,,,0.169628433
New York UniversityUnited States of America,62.4,72.3,,,-9.9,-0.158653846,0.025171043,,,0.158653846
Free University of BerlinGermany,58,72.2,,,-14.2,-0.244827586,0.059940547,,,0.244827586
McGill UniversityCanada,69.9,72.1,,,-2.2,-0.031473534,0.000990583,,,0.031473534
Seoul National UniversitySouth Korea,77.1,70.5,,,6.6,0.085603113,0.007327893,,,0.085603113
