University,Teaching-15,Teaching-16,,,B2-C2,B2-C2/B2,,,,ABS
California Institute of TechnologyUnited States of America,92.2,95.6,,,-3.4,-0.036876356,0.001359866,,,0.036876356
Stanford UniversityUnited States of America,91.5,92.5,,,-1,-0.010928962,0.000119442,,,0.010928962
Massachusetts Institute of TechnologyUnited States of America,89.1,89.4,,,-0.3,-0.003367003,1.13367E-05,,,0.003367003
University of CambridgeUnited Kingdom,89.7,88.2,,,1.5,0.016722408,0.000279639,,,0.016722408
University of OxfordUnited Kingdom,88.6,86.5,,,2.1,0.023702032,0.000561786,,,0.023702032
Yale UniversityUnited States of America,88.5,86.5,,,2,0.02259887,0.000510709,,,0.02259887
Columbia UniversityUnited States of America,83.9,85.9,,,-2,-0.023837902,0.000568246,,,0.023837902
University of ChicagoUnited States of America,83.9,85.7,,,-1.8,-0.021454112,0.000460279,,,0.021454112
Princeton UniversityUnited States of America,86.6,85.1,,,1.5,0.017321016,0.000300018,,,0.017321016
Harvard UniversityUnited States of America,92.9,83.6,,,9.3,0.100107643,0.01002154,,,0.100107643
Imperial College LondonUnited Kingdom,84.6,83.3,,,1.3,0.01536643,0.000236127,,,0.01536643
University of PennsylvaniaUnited States of America,79,82,,,-3,-0.037974684,0.001442077,,,0.037974684
University of TokyoJapan,81.4,81.4,,,0,0,0,,,0
"University of California, Los AngelesUnited States of America",82.4,80.8,,,1.6,0.019417476,0.000377038,,,0.019417476
"University of California, BerkeleyUnited States of America",84.2,80.4,,,3.8,0.045130641,0.002036775,,,0.045130641
University College LondonUnited Kingdom,70.4,78.1,,,-7.7,-0.109375,0.011962891,,,0.109375
Cornell UniversityUnited States of America,71.6,77.9,,,-6.3,-0.087988827,0.007742034,,,0.087988827
Peking UniversityChina,70,77.8,,,-7.8,-0.111428571,0.012416327,,,0.111428571
Johns Hopkins UniversityUnited States of America,75.6,77.6,,,-2,-0.026455026,0.000699868,,,0.026455026
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,78.2,77,,,1.2,0.015345269,0.000235477,,,0.015345269
University of MichiganUnited States of America,77,76.8,,,0.2,0.002597403,6.7465E-06,,,0.002597403
Duke UniversityUnited States of America,73.5,76,,,-2.5,-0.034013605,0.001156925,,,0.034013605
University of TorontoCanada,74.4,75.9,,,-1.5,-0.02016129,0.000406478,,,0.02016129
Lomonosov Moscow State UniversityRussian Federation,55.9,75.4,,,-19.5,-0.348837209,0.121687399,,,0.348837209
New York UniversityUnited States of America,68.3,74.7,,,-6.4,-0.093704246,0.008780486,,,0.093704246
Tsinghua UniversityChina,64.1,73.3,,,-9.2,-0.143525741,0.020599638,,,0.143525741
National University of SingaporeSingapore,72,71.7,,,0.3,0.004166667,1.73611E-05,,,0.004166667
Kyoto UniversityJapan,70.4,70.6,,,-0.2,-0.002840909,8.07076E-06,,,0.002840909
École Normale SupérieureFrance,48.7,70.6,,,-21.9,-0.449691992,0.202222887,,,0.449691992
LMU MunichGermany,65.1,70.5,,,-5.4,-0.082949309,0.006880588,,,0.082949309
Northwestern UniversityUnited States of America,72.7,69.8,,,2.9,0.039889959,0.001591209,,,0.039889959
London School of Economics and Political ScienceUnited Kingdom,65.4,69.8,,,-4.4,-0.067278287,0.004526368,,,0.067278287
Heidelberg UniversityGermany,52.6,68.8,,,-16.2,-0.307984791,0.094854631,,,0.307984791
University of EdinburghUnited Kingdom,58.9,68.6,,,-9.7,-0.164685908,0.027121448,,,0.164685908
Carnegie Mellon UniversityUnited States of America,61.6,67.4,,,-5.8,-0.094155844,0.008865323,,,0.094155844
University of WashingtonUnited States of America,64.5,67.1,,,-2.6,-0.040310078,0.001624902,,,0.040310078
Seoul National UniversitySouth Korea,75.5,66.5,,,9,0.119205298,0.014209903,,,0.119205298
McGill UniversityCanada,63.3,66.1,,,-2.8,-0.044233807,0.00195663,,,0.044233807
University of Wisconsin-MadisonUnited States of America,67.7,65.1,,,2.6,0.038404727,0.001474923,,,0.038404727
University of Hong KongHong Kong,62.1,64.6,,,-2.5,-0.040257649,0.001620678,,,0.040257649
University of Illinois at Urbana-ChampaignUnited States of America,67.7,64.5,,,3.2,0.047267356,0.002234203,,,0.047267356
King’s College LondonUnited Kingdom,55.6,64.5,,,-8.9,-0.160071942,0.025623027,,,0.160071942
Humboldt University of BerlinGermany,51.9,63.7,,,-11.8,-0.227360308,0.05169271,,,0.227360308
Brown UniversityUnited States of America,55.5,62.8,,,-7.3,-0.131531532,0.017300544,,,0.131531532
University of MelbourneAustralia,60.4,62,,,-1.6,-0.026490066,0.000701724,,,0.026490066
École Polytechnique Fédérale de LausanneSwitzerland,54.7,61.3,,,-6.6,-0.120658135,0.014558386,,,0.120658135
Technical University of MunichGermany,45.6,61,,,-15.4,-0.337719298,0.114054324,,,0.337719298
Karolinska InstituteSweden,57.1,60.6,,,-3.5,-0.061295972,0.003757196,,,0.061295972
University of British ColumbiaCanada,60.5,60.2,,,0.3,0.004958678,2.45885E-05,,,0.004958678
"University of California, DavisUnited States of America",54.4,60.1,,,-5.7,-0.104779412,0.010978725,,,0.104779412
KU LeuvenBelgium,53,59.9,,,-6.9,-0.130188679,0.016949092,,,0.130188679
