University,Citations-16,Citations-17,,,,,,,,
"St Georgeâ€™s, University of LondonUnited Kingdom",100,100,,,0,0,0,,,0
Stanford UniversityUnited States,99.9,99.9,,,0,0,0,,,0
Massachusetts Institute of TechnologyUnited States,99.7,99.9,,,-0.2,-0.0020060181,4.02410843362597E-006,,,0.0020060181
"University of California, Santa CruzUnited States",99.9,99.8,,,0.1,0.001001001,0.000001002,,,0.001001001
California Institute of TechnologyUnited States,99.8,99.8,,,0,0,0,,,0
"University of California, BerkeleyUnited States",99.7,99.8,,,-0.1,-0.001003009,0.000001006,,,0.001003009
Harvard UniversityUnited States,99.8,99.7,,,0.1,0.001002004,0.000001004,,,0.001002004
Brandeis UniversityUnited States,97.3,99.7,,,-2.4,-0.0246659815,0.0006084106,,,0.0246659815
Carnegie Mellon UniversityUnited States,99.1,99.3,,,-0.2,-0.0020181635,0.000004073,,,0.0020181635
Princeton UniversityUnited States,99.3,99.2,,,0.1,0.0010070493,1.01414838410656E-006,,,0.0010070493
"University of California, Santa BarbaraUnited States",99.2,99.2,,,0,0,0,,,0
University of OxfordUnited Kingdom,98.8,99.2,,,-0.4,-0.004048583,0.000016391,,,0.004048583
Rice UniversityUnited States,99.7,99.1,,,0.6,0.0060180542,0.000036217,,,0.0060180542
University of ChicagoUnited States,99.2,99.1,,,0.1,0.0010080645,1.01619406867863E-006,,,0.0010080645
Washington University in St LouisUnited States,99.2,99.1,,,0.1,0.0010080645,1.01619406867863E-006,,,0.0010080645
"University of California, San DiegoUnited States",98.7,98.9,,,-0.2,-0.0020263425,4.10606373226834E-006,,,0.0020263425
Duke UniversityUnited States,99,98.8,,,0.2,0.002020202,4.08121620242844E-006,,,0.002020202
University of WashingtonUnited States,98.6,98.8,,,-0.2,-0.0020283976,4.11439668544215E-006,,,0.0020283976
University of PennsylvaniaUnited States,98.6,98.6,,,0,0,0,,,0
Columbia UniversityUnited States,98.1,98.6,,,-0.5,-0.00509684,2.59777775699556E-005,,,0.00509684
"University of California, Los AngelesUnited States",98.5,98.4,,,0.1,0.0010152284,1.03068875776226E-006,,,0.0010152284
