University,International Outlook-16,International Outlook-17,,,B2-C2,,,,,
University of LuxembourgLuxembourg,99.8,99.9,,,-0.1,-0.001002004,0.000001004,,,0.001002004
Qatar UniversityQatar,99.9,99.9,,,0,0,0,,,0
University of Hong KongHong Kong,99.5,99.4,,,0.1,0.0010050251,1.01007550314375E-006,,,0.0010050251
University of MacauMacao,98.4,98.8,,,-0.4,-0.0040650407,1.65245554894566E-005,,,0.0040650407
Ã‰cole Polytechnique FÃ©dÃ©rale de LausanneSwitzerland,98.6,98.6,,,0,0,0,,,0
University of GenevaSwitzerland,98.5,98.3,,,0.2,0.0020304569,4.12275503104962E-006,,,0.0020304569
ETH Zurich â€“ Swiss Federal Institute of Technology ZurichSwitzerland,97.9,98.1,,,-0.2,-0.0020429009,4.17344416609843E-006,,,0.0020429009
Imperial College LondonUnited Kingdom,96,96.5,,,-0.5,-0.0052083333,2.71267361111111E-005,,,0.0052083333
University of St GallenSwitzerland,97.6,96.5,,,1.1,0.0112704918,0.000127024,,,0.0112704918
University of InnsbruckAustria,95.7,96.2,,,-0.5,-0.0052246604,2.72970762647554E-005,,,0.0052246604
Maastricht UniversityNetherlands,95.5,96,,,-0.5,-0.0052356021,2.7411529289219E-005,,,0.0052356021
National University of SingaporeSingapore,96.2,96,,,0.2,0.0020790021,4.32224964449509E-006,,,0.0020790021
Nanyang Technological UniversitySingapore,94.6,95.7,,,-1.1,-0.011627907,0.0001352082,,,0.011627907
United Arab Emirates UniversityUnited Arab Emirates,95,95.4,,,-0.4,-0.0042105263,1.77285318559562E-005,,,0.0042105263
American University of SharjahUnited Arab Emirates,95.6,95.3,,,0.3,0.0031380753,9.84751667512805E-006,,,0.0031380753
University of EssexUnited Kingdom,93.7,95.2,,,-1.5,-0.0160085379,0.0002562733,,,0.0160085379
Auckland University of TechnologyNew Zealand,95.6,94.8,,,0.8,0.0083682008,7.00267852453559E-005,,,0.0083682008
University of OxfordUnited Kingdom,94.4,94.5,,,-0.1,-0.001059322,1.12216317150231E-006,,,0.001059322
University of BaselSwitzerland,94.7,94.4,,,0.3,0.0031678986,1.00355817124938E-005,,,0.0031678986
University of St AndrewsUnited Kingdom,92.3,94.3,,,-2,-0.0216684724,0.0004695227,,,0.0216684724
Queenâ€™s University BelfastUnited Kingdom,93.4,94.3,,,-0.9,-0.0096359743,0.000092852,,,0.0096359743
Queen Mary University of LondonUnited Kingdom,93.5,94.3,,,-0.8,-0.0085561497,7.32076982470183E-005,,,0.0085561497
