University,Overall-16,Overall-17,,,,,,,
University of OxfordUnited Kingdom,94.2,95,,,-0.8,-0.008492569,7.21237282558224E-005,,0.008492569
California Institute of TechnologyUnited States,95.2,94.3,,,0.9,0.0094537815,0.000089374,,0.0094537815
Stanford UniversityUnited States,93.9,93.8,,,0.1,0.0010649627,1.13414560841828E-006,,0.0010649627
University of CambridgeUnited Kingdom,92.8,93.6,,,-0.8,-0.0086206897,7.43162901307962E-005,,0.0086206897
Massachusetts Institute of TechnologyUnited States,92,93.4,,,-1.4,-0.0152173913,0.000231569,,0.0152173913
Harvard UniversityUnited States,91.6,92.7,,,-1.1,-0.0120087336,0.0001442097,,0.0120087336
Princeton UniversityUnited States,90.1,90.2,,,-0.1,-0.0011098779,1.23182898271888E-006,,0.0011098779
Imperial College LondonUnited Kingdom,89.1,90,,,-0.9,-0.0101010101,0.0001020304,,0.0101010101
ETH Zurich â€“ Swiss Federal Institute of Technology ZurichSwitzerland,88.3,89.3,,,-1,-0.0113250283,0.0001282563,,0.0113250283
University of ChicagoUnited States,87.9,88.9,,,-1,-0.0113765643,0.0001294262,,0.0113765643
"University of California, BerkeleyUnited States",87.2,88.9,,,-1.7,-0.0194954128,0.0003800711,,0.0194954128
Yale UniversityUnited States,87.4,88.2,,,-0.8,-0.0091533181,8.37832318334383E-005,,0.0091533181
University of PennsylvaniaUnited States,85.2,87.1,,,-1.9,-0.0223004695,0.0004973109,,0.0223004695
"University of California, Los AngelesUnited States",85.8,86.6,,,-0.8,-0.0093240093,8.69371498742122E-005,,0.0093240093
University College LondonUnited Kingdom,87.1,86.5,,,0.6,0.0068886338,4.74532750009548E-005,,0.0068886338
Columbia UniversityUnited States,86.1,86.1,,,0,0,0,,0
Johns Hopkins UniversityUnited States,87.6,85.9,,,1.7,0.0194063927,0.0003766081,,0.0194063927
Duke UniversityUnited States,82.7,84.7,,,-2,-0.0241837969,0.000584856,,0.0241837969
Cornell UniversityUnited States,84,84.6,,,-0.6,-0.0071428571,5.10204081632643E-005,,0.0071428571
Northwestern UniversityUnited States,79.5,83.7,,,-4.2,-0.0528301887,0.0027910288,,0.0528301887
University of MichiganUnited States,82.4,83.6,,,-1.2,-0.0145631068,0.0002120841,,0.0145631068
University of TorontoCanada,83.9,83,,,0.9,0.010727056,0.0001150697,,0.010727056
Carnegie Mellon UniversityUnited States,82.3,81.8,,,0.5,0.0060753341,3.69096849536931E-005,,0.0060753341
National University of SingaporeSingapore,79.2,81.7,,,-2.5,-0.0315656566,0.0009963907,,0.0315656566
London School of Economics and Political ScienceUnited Kingdom,81.3,80.2,,,1.1,0.0135301353,0.0001830646,,0.0135301353
University of WashingtonUnited States,75.6,80.2,,,-4.6,-0.0608465608,0.003702304,,0.0608465608
University of EdinburghUnited Kingdom,80.3,79.2,,,1.1,0.0136986301,0.0001876525,,0.0136986301
Karolinska InstituteSweden,77.5,77.6,,,-0.1,-0.0012903226,1.6649323621226E-006,,0.0012903226
Peking UniversityChina,72,77.2,,,-5.2,-0.0722222222,0.0052160494,,0.0722222222
LMU MunichGermany,77.3,76.8,,,0.5,0.0064683053,0.000041839,,0.0064683053
Ã‰cole Polytechnique FÃ©dÃ©rale de LausanneSwitzerland,76.1,76.8,,,-0.7,-0.0091984231,0.000084611,,0.0091984231
New York UniversityUnited States,77.2,76.7,,,0.5,0.0064766839,4.19474348304652E-005,,0.0064766839
University of MelbourneAustralia,75.4,76.3,,,-0.9,-0.0119363395,0.0001424762,,0.0119363395
Georgia Institute of TechnologyUnited States,72.1,76.3,,,-4.2,-0.0582524272,0.0033933453,,0.0582524272
Tsinghua UniversityChina,70,76.2,,,-6.2,-0.0885714286,0.007844898,,0.0885714286
Kingâ€™s College LondonUnited Kingdom,78.2,75.9,,,2.3,0.0294117647,0.0008650519,,0.0294117647
University of British ColumbiaCanada,75.3,75.9,,,-0.6,-0.0079681275,6.34910556975304E-005,,0.0079681275
University of Illinois at Urbana-ChampaignUnited States,74.5,75.9,,,-1.4,-0.0187919463,0.0003531372,,0.0187919463
University of TokyoJapan,71.1,74.1,,,-3,-0.0421940928,0.0017803415,,0.0421940928
KU LeuvenBelgium,74.8,73.8,,,1,0.013368984,0.0001787297,,0.013368984
"University of California, San DiegoUnited States",72.2,73.2,,,-1,-0.0138504155,0.000191834,,0.0138504155
McGill UniversityCanada,72.6,73.1,,,-0.5,-0.0068870523,4.74314899559077E-005,,0.0068870523
