University,Rank-16,Rank-17,,,,,,,
California Institute of TechnologyUnited States,1,2,,,-1,-1,1,,1
University of OxfordUnited Kingdom,2,1,,,1,0.5,0.25,,0.5
Stanford UniversityUnited States,3,3,,,0,0,0,,0
University of CambridgeUnited Kingdom,4,4,,,0,0,0,,0
Massachusetts Institute of TechnologyUnited States,5,5,,,0,0,0,,0
Harvard UniversityUnited States,6,6,,,0,0,0,,0
Princeton UniversityUnited States,7,7,,,0,0,0,,0
Imperial College LondonUnited Kingdom,8,8,,,0,0,0,,0
ETH Zurich â€“ Swiss Federal Institute of Technology ZurichSwitzerland,9,9,,,0,0,0,,0
University of ChicagoUnited States,10,10,,,0,0,0,,0
Johns Hopkins UniversityUnited States,11,17,,,-6,-0.5454545455,0.2975206612,,0.5454545455
Yale UniversityUnited States,12,12,,,0,0,0,,0
"University of California, BerkeleyUnited States",13,10,,,3,0.2307692308,0.0532544379,,0.2307692308
University College LondonUnited Kingdom,14,15,,,-1,-0.0714285714,0.0051020408,,0.0714285714
Columbia UniversityUnited States,15,16,,,-1,-0.0666666667,0.0044444444,,0.0666666667
"University of California, Los AngelesUnited States",16,14,,,2,0.125,0.015625,,0.125
University of PennsylvaniaUnited States,17,13,,,4,0.2352941176,0.0553633218,,0.2352941176
Cornell UniversityUnited States,18,19,,,-1,-0.0555555556,0.0030864198,,0.0555555556
University of TorontoCanada,19,22,,,-3,-0.1578947368,0.0249307479,,0.1578947368
Duke UniversityUnited States,20,18,,,2,0.1,0.01,,0.1
University of MichiganUnited States,21,21,,,0,0,0,,0
Carnegie Mellon UniversityUnited States,22,23,,,-1,-0.0454545455,0.0020661157,,0.0454545455
London School of Economics and Political ScienceUnited Kingdom,23,25,,,-2,-0.0869565217,0.0075614367,,0.0869565217
University of EdinburghUnited Kingdom,24,27,,,-3,-0.125,0.015625,,0.125
Northwestern UniversityUnited States,25,20,,,5,0.2,0.04,,0.2
National University of SingaporeSingapore,26,24,,,2,0.0769230769,0.0059171598,,0.0769230769
Kingâ€™s College LondonUnited Kingdom,27,36,,,-9,-0.3333333333,0.1111111111,,0.3333333333
Karolinska InstituteSweden,28,28,,,0,0,0,,0
LMU MunichGermany,29,30,,,-1,-0.0344827586,0.0011890606,,0.0344827586
New York UniversityUnited States,30,32,,,-2,-0.0666666667,0.0044444444,,0.0666666667
Ã‰cole Polytechnique FÃ©dÃ©rale de LausanneSwitzerland,31,30,,,1,0.0322580645,0.0010405827,,0.0322580645
University of WashingtonUnited States,32,25,,,7,0.21875,0.0478515625,,0.21875
University of MelbourneAustralia,33,33,,,0,0,0,,0
University of British ColumbiaCanada,34,36,,,-2,-0.0588235294,0.0034602076,,0.0588235294
KU LeuvenBelgium,35,40,,,-5,-0.1428571429,0.0204081633,,0.1428571429
University of Illinois at Urbana-ChampaignUnited States,36,36,,,0,0,0,,0
Heidelberg UniversityGermany,37,43,,,-6,-0.1621621622,0.0262965668,,0.1621621622
McGill UniversityCanada,38,42,,,-4,-0.1052631579,0.0110803324,,0.1052631579
"University of California, San DiegoUnited States",39,41,,,-2,-0.0512820513,0.0026298488,,0.0512820513
"University of California, Santa BarbaraUnited States",39,48,,,-9,-0.2307692308,0.0532544379,,0.2307692308
Georgia Institute of TechnologyUnited States,41,33,,,8,0.1951219512,0.0380725758,,0.1951219512
Peking UniversityChina,42,29,,,13,0.3095238095,0.0958049887,,0.3095238095
University of TokyoJapan,43,39,,,4,0.0930232558,0.0086533261,,0.0930232558
"University of California, DavisUnited States",44,51,,,-7,-0.1590909091,0.0253099174,,0.1590909091
University of Hong KongHong Kong,44,43,,,1,0.0227272727,0.0005165289,,0.0227272727
University of Texas at AustinUnited States,46,50,,,-4,-0.0869565217,0.0075614367,,0.0869565217
Tsinghua UniversityChina,47,35,,,12,0.2553191489,0.0651878678,,0.2553191489
Wageningen University & ResearchNetherlands,47,65,,,-18,-0.3829787234,0.1466727026,,0.3829787234
Humboldt University of BerlinGermany,49,57,,,-8,-0.1632653061,0.0266555602,,0.1632653061
University of Wisconsin-MadisonUnited States,50,45,,,5,0.1,0.01,,0.1
Brown UniversityUnited States,51,51,,,0,0,0,,0
Australian National UniversityAustralia,52,47,,,5,0.0961538462,0.0092455621,,0.0961538462
Technical University of MunichGermany,53,46,,,7,0.1320754717,0.0174439302,,0.1320754717
Ã‰cole Normale SupÃ©rieureFrance,54,66,,,-12,-0.2222222222,0.049382716,,0.2222222222
Nanyang Technological UniversitySingapore,55,54,,,1,0.0181818182,0.0003305785,,0.0181818182
