University,Research-16,Research-17,,,,,,,,
University of OxfordUnited Kingdom,98.9,99.1,,,-0.2,-0.0020222447,4.08947359273499E-006,,,0.0020222447
Harvard UniversityUnited States,99,98.3,,,0.7,0.0070707071,4.99948984797474E-005,,,0.0070707071
University of CambridgeUnited Kingdom,96.7,97.2,,,-0.5,-0.0051706308,2.6735423045293E-005,,,0.0051706308
"University of California, BerkeleyUnited States",91.1,96.1,,,-5,-0.054884742,0.0030123349,,,0.054884742
Stanford UniversityUnited States,96.2,95.9,,,0.3,0.0031185031,9.72506170011349E-006,,,0.0031185031
California Institute of TechnologyUnited States,97.6,95.7,,,1.9,0.0194672131,0.0003789724,,,0.0194672131
ETH Zurich â€“ Swiss Federal Institute of Technology ZurichSwitzerland,95,93.7,,,1.3,0.0136842105,0.0001872576,,,0.0136842105
Massachusetts Institute of TechnologyUnited States,88.6,92.3,,,-3.7,-0.0417607223,0.0017439579,,,0.0417607223
University College LondonUnited Kingdom,91,90,,,1,0.010989011,0.0001207584,,,0.010989011
Tsinghua UniversityChina,83,89.6,,,-6.6,-0.0795180723,0.0063231238,,,0.0795180723
University of TokyoJapan,83,89.2,,,-6.2,-0.0746987952,0.00557991,,,0.0746987952
University of ChicagoUnited States,88.9,89.1,,,-0.2,-0.0022497188,5.06123461226457E-006,,,0.0022497188
"University of California, Los AngelesUnited States",88.6,89,,,-0.4,-0.0045146727,2.0382269463794E-005,,,0.0045146727
University of PennsylvaniaUnited States,86.9,88.9,,,-2,-0.0230149597,0.0005296884,,,0.0230149597
Princeton UniversityUnited States,91.9,88.4,,,3.5,0.0380848749,0.0014504577,,,0.0380848749
Yale UniversityUnited States,87.8,87.8,,,0,0,0,,,0
National University of SingaporeSingapore,84.5,86.9,,,-2.4,-0.0284023669,0.0008066944,,,0.0284023669
Imperial College LondonUnited Kingdom,88.5,86.6,,,1.9,0.0214689266,0.0004609148,,,0.0214689266
Cornell UniversityUnited States,86.1,86.5,,,-0.4,-0.0046457607,2.15830928841898E-005,,,0.0046457607
University of TorontoCanada,89.3,86.3,,,3,0.0335946249,0.0011285988,,,0.0335946249
University of MichiganUnited States,85.2,86.1,,,-0.9,-0.0105633803,0.000111585,,,0.0105633803
Northwestern UniversityUnited States,78.4,85,,,-6.6,-0.0841836735,0.0070868909,,,0.0841836735
Johns Hopkins UniversityUnited States,90.4,84.3,,,6.1,0.0674778761,0.0045532638,,,0.0674778761
Carnegie Mellon UniversityUnited States,88.8,84,,,4.8,0.0540540541,0.0029218408,,,0.0540540541
University of Illinois at Urbana-ChampaignUnited States,81.2,81.4,,,-0.2,-0.0024630542,6.0666359290448E-006,,,0.0024630542
University of WashingtonUnited States,70,80.4,,,-10.4,-0.1485714286,0.0220734694,,,0.1485714286
Peking UniversityChina,72.4,80.3,,,-7.9,-0.1091160221,0.0119063063,,,0.1091160221
Duke UniversityUnited States,78,80,,,-2,-0.0256410256,0.0006574622,,,0.0256410256
Georgia Institute of TechnologyUnited States,72.7,79.2,,,-6.5,-0.0894085282,0.0079938849,,,0.0894085282
Columbia UniversityUnited States,82.2,78.9,,,3.3,0.0401459854,0.0016117001,,,0.0401459854
Karolinska InstituteSweden,81.1,76,,,5.1,0.0628853268,0.0039545643,,,0.0628853268
University of EdinburghUnited Kingdom,77.2,74.7,,,2.5,0.0323834197,0.0010486859,,,0.0323834197
London School of Economics and Political ScienceUnited Kingdom,80.6,74.7,,,5.9,0.0732009926,0.0053583853,,,0.0732009926
University of Hong KongHong Kong,72.8,74.5,,,-1.7,-0.0233516484,0.0005452995,,,0.0233516484
Australian National UniversityAustralia,77.3,73.9,,,3.4,0.0439844761,0.0019346341,,,0.0439844761
KU LeuvenBelgium,76.9,73.7,,,3.2,0.0416124837,0.0017315988,,,0.0416124837
University of MelbourneAustralia,75.5,73.6,,,1.9,0.0251655629,0.0006333056,,,0.0251655629
LMU MunichGermany,77.4,73.4,,,4,0.0516795866,0.0026707797,,,0.0516795866
Delft University of TechnologyNetherlands,73.8,72.9,,,0.9,0.012195122,0.000148721,,,0.012195122
University of British ColumbiaCanada,73.2,72.5,,,0.7,0.0095628415,9.14479381289386E-005,,,0.0095628415
University of Wisconsin-MadisonUnited States,68.2,71.4,,,-3.2,-0.0469208211,0.0022015635,,,0.0469208211
Kingâ€™s College LondonUnited Kingdom,75.8,71,,,4.8,0.0633245383,0.0040099971,,,0.0633245383
Technical University of MunichGermany,66,70.5,,,-4.5,-0.0681818182,0.0046487603,,,0.0681818182
McGill UniversityCanada,72.1,70.3,,,1.8,0.0249653259,0.0006232675,,,0.0249653259
Kyoto UniversityJapan,69.3,70.1,,,-0.8,-0.0115440115,0.0001332642,,,0.0115440115
University of MinnesotaUnited States,61,69.8,,,-8.8,-0.1442622951,0.0208116098,,,0.1442622951
"Seoul National UniversityKorea, Republic of",70.5,69.8,,,0.7,0.009929078,9.85865902117608E-005,,,0.009929078
Humboldt University of BerlinGermany,77,69,,,8,0.1038961039,0.0107944004,,,0.1038961039
New York UniversityUnited States,72.3,68.8,,,3.5,0.0484094053,0.0023434705,,,0.0484094053
Free University of BerlinGermany,72.2,67.3,,,4.9,0.067867036,0.0046059346,,,0.067867036
"University of California, DavisUnited States",72.7,67.3,,,5.4,0.0742778542,0.0055171996,,,0.0742778542
Purdue UniversityUnited States,57.7,66.8,,,-9.1,-0.157712305,0.0248731712,,,0.157712305
Hong Kong University of Science and TechnologyHong Kong,66.1,66.7,,,-0.6,-0.0090771558,8.23947578624077E-005,,,0.0090771558
University of ManchesterUnited Kingdom,66,66.3,,,-0.3,-0.0045454545,2.0661157024793E-005,,,0.0045454545
"University of California, San DiegoUnited States",69.8,66.2,,,3.6,0.0515759312,0.0026600767,,,0.0515759312
Ã‰cole Polytechnique FÃ©dÃ©rale de LausanneSwitzerland,67.5,66.1,,,1.4,0.0207407407,0.0004301783,,,0.0207407407
University of Texas at AustinUnited States,69.7,65.9,,,3.8,0.0545193687,0.0029723616,,,0.0545193687
Heidelberg UniversityGermany,69.6,65,,,4.6,0.066091954,0.0043681464,,,0.066091954
RWTH Aachen UniversityGermany,56.3,63.7,,,-7.4,-0.1314387211,0.0172761374,,,0.1314387211
