University,Teaching-16,Teaching-17,,,B2-C2,D2/B2,,,,ABS()
California Institute of TechnologyUnited States,95.6,95.5,,,0.1,0.0010460251,1.09416851945857E-006,,,0.0010460251
Stanford UniversityUnited States,92.5,92.6,,,-0.1,-0.0010810811,1.16873630387131E-006,,,0.0010810811
University of CambridgeUnited Kingdom,88.2,90.6,,,-2.4,-0.0272108844,0.0007404322,,,0.0272108844
Massachusetts Institute of TechnologyUnited States,89.4,90.3,,,-0.9,-0.0100671141,0.0001013468,,,0.0100671141
University of OxfordUnited Kingdom,86.5,89.6,,,-3.1,-0.0358381503,0.001284373,,,0.0358381503
Princeton UniversityUnited States,85.1,89.5,,,-4.4,-0.0517038778,0.002673291,,,0.0517038778
Yale UniversityUnited States,86.5,88.5,,,-2,-0.0231213873,0.0005345985,,,0.0231213873
University of ChicagoUnited States,85.7,88.1,,,-2.4,-0.0280046674,0.0007842614,,,0.0280046674
Harvard UniversityUnited States,83.6,87.5,,,-3.9,-0.0466507177,0.0021762895,,,0.0466507177
Columbia UniversityUnited States,85.9,86.9,,,-1,-0.0116414435,0.0001355232,,,0.0116414435
Imperial College LondonUnited Kingdom,83.3,86.4,,,-3.1,-0.037214886,0.0013849477,,,0.037214886
University of PennsylvaniaUnited States,82,85.9,,,-3.9,-0.0475609756,0.0022620464,,,0.0475609756
Peking UniversityChina,77.8,84.6,,,-6.8,-0.087403599,0.0076393891,,,0.087403599
University of TokyoJapan,81.4,83.4,,,-2,-0.0245700246,0.0006036861,,,0.0245700246
"University of California, Los AngelesUnited States",80.8,82.9,,,-2.1,-0.025990099,0.0006754852,,,0.025990099
"University of California, BerkeleyUnited States",80.4,82.4,,,-2,-0.0248756219,0.0006187966,,,0.0248756219
ETH Zurich â€“ Swiss Federal Institute of Technology ZurichSwitzerland,77,81.5,,,-4.5,-0.0584415584,0.0034154158,,,0.0584415584
Duke UniversityUnited States,76,80.7,,,-4.7,-0.0618421053,0.003824446,,,0.0618421053
Cornell UniversityUnited States,77.9,79.7,,,-1.8,-0.0231065469,0.0005339125,,,0.0231065469
University of MichiganUnited States,76.8,79.4,,,-2.6,-0.0338541667,0.0011461046,,,0.0338541667
Tsinghua UniversityChina,73.3,78.9,,,-5.6,-0.0763983629,0.0058367099,,,0.0763983629
University College LondonUnited Kingdom,78.1,77.4,,,0.7,0.0089628681,0.000080333,,,0.0089628681
Johns Hopkins UniversityUnited States,77.6,77.4,,,0.2,0.0025773196,6.64257625677467E-006,,,0.0025773196
National University of SingaporeSingapore,71.7,76.7,,,-5,-0.069735007,0.0048629712,,,0.069735007
Northwestern UniversityUnited States,69.8,75.8,,,-6,-0.0859598854,0.0073891019,,,0.0859598854
Lomonosov Moscow State UniversityRussian Federation,75.4,75.2,,,0.2,0.0026525199,7.03586178753125E-006,,,0.0026525199
New York UniversityUnited States,74.7,75.1,,,-0.4,-0.0053547523,2.86733726516944E-005,,,0.0053547523
University of TorontoCanada,75.9,74.6,,,1.3,0.0171277997,0.0002933615,,,0.0171277997
London School of Economics and Political ScienceUnited Kingdom,69.8,70.8,,,-1,-0.0143266476,0.0002052528,,,0.0143266476
LMU MunichGermany,70.5,70.5,,,0,0,0,,,0
Kyoto UniversityJapan,70.6,70.2,,,0.4,0.0056657224,3.21004100827374E-005,,,0.0056657224
Carnegie Mellon UniversityUnited States,67.4,70.2,,,-2.8,-0.0415430267,0.0017258231,,,0.0415430267
University of WashingtonUnited States,67.1,70.2,,,-3.1,-0.0461997019,0.0021344125,,,0.0461997019
"Seoul National UniversityKorea, Republic of",66.5,70.2,,,-3.7,-0.0556390977,0.0030957092,,,0.0556390977
University of Wisconsin-MadisonUnited States,65.1,68.2,,,-3.1,-0.0476190476,0.0022675737,,,0.0476190476
University of EdinburghUnited Kingdom,68.6,67.5,,,1.1,0.0160349854,0.0002571208,,,0.0160349854
Heidelberg UniversityGermany,68.8,66.7,,,2.1,0.0305232558,0.0009316691,,,0.0305232558
University of Hong KongHong Kong,64.6,66.5,,,-1.9,-0.0294117647,0.0008650519,,,0.0294117647
McGill UniversityCanada,66.1,66.4,,,-0.3,-0.0045385779,2.05986894656029E-005,,,0.0045385779
Brown UniversityUnited States,62.8,66.3,,,-3.5,-0.0557324841,0.0031061098,,,0.0557324841
University of Illinois at Urbana-ChampaignUnited States,64.5,65.6,,,-1.1,-0.0170542636,0.0002908479,,,0.0170542636
University of MelbourneAustralia,62,65.4,,,-3.4,-0.0548387097,0.0030072841,,,0.0548387097
University of Texas at AustinUnited States,59.3,63.9,,,-4.6,-0.0775716695,0.0060173639,,,0.0775716695
Ã‰cole Polytechnique FÃ©dÃ©rale de LausanneSwitzerland,61.3,62.9,,,-1.6,-0.0261011419,0.0006812696,,,0.0261011419
Humboldt University of BerlinGermany,63.7,62.5,,,1.2,0.0188383046,0.0003548817,,,0.0188383046
Karolinska InstituteSweden,60.6,62.1,,,-1.5,-0.0247524752,0.000612685,,,0.0247524752
University of North Carolina at Chapel HillUnited States,58,61.9,,,-3.9,-0.0672413793,0.0045214031,,,0.0672413793
Kingâ€™s College LondonUnited Kingdom,64.5,61.5,,,3,0.0465116279,0.0021633315,,,0.0465116279
"University of California, DavisUnited States",60.1,61.4,,,-1.3,-0.0216306156,0.0004678835,,,0.0216306156
University of British ColumbiaCanada,60.2,61.2,,,-1,-0.0166112957,0.0002759351,,,0.0166112957
"University of California, San DiegoUnited States",56.9,61.2,,,-4.3,-0.0755711775,0.0057110029,,,0.0755711775
