University,Rank11,Rank12,R11-R12,D2/ R11,E2^2,,ABS
Harvard UniversityUnited States of America,1,2,-1,-1,1,,1
California Institute of TechnologyUnited States of America,2,1,1,0.5,0.25,,0.5
Massachusetts Institute of TechnologyUnited States of America,3,7,-4,-1.3333333333,1.7777777778,,1.3333333333
Stanford UniversityUnited States of America,4,2,2,0.5,0.25,,0.5
Princeton UniversityUnited States of America,5,5,0,0,0,,0
University of OxfordUnited Kingdom,6,4,2,0.3333333333,0.1111111111,,0.3333333333
University of CambridgeUnited Kingdom,6,6,0,0,0,,0
"University of California, BerkeleyUnited States of America",8,10,-2,-0.25,0.0625,,0.25
Imperial College LondonUnited Kingdom,9,8,1,0.1111111111,0.012345679,,0.1111111111
Yale UniversityUnited States of America,10,11,-1,-0.1,0.01,,0.1
"University of California, Los AngelesUnited States of America",11,13,-2,-0.1818181818,0.0330578512,,0.1818181818
University of ChicagoUnited States of America,12,9,3,0.25,0.0625,,0.25
Johns Hopkins UniversityUnited States of America,13,14,-1,-0.0769230769,0.0059171598,,0.0769230769
Cornell UniversityUnited States of America,14,20,-6,-0.4285714286,0.1836734694,,0.4285714286
ETH Zurich â€“ Swiss Federal Institute of Technology ZurichSwitzerland,15,15,0,0,0,,0
University of MichiganUnited States of America,15,18,-3,-0.2,0.04,,0.2
University of TorontoCanada,17,19,-2,-0.1176470588,0.0138408304,,0.1176470588
Columbia UniversityUnited States of America,18,12,6,0.3333333333,0.1111111111,,0.3333333333
University of PennsylvaniaUnited States of America,19,16,3,0.1578947368,0.0249307479,,0.1578947368
Carnegie Mellon UniversityUnited States of America,20,21,-1,-0.05,0.0025,,0.05
University of Hong KongHong Kong,21,34,-13,-0.619047619,0.3832199546,,0.619047619
University College LondonUnited Kingdom,22,17,5,0.2272727273,0.0516528926,,0.2272727273
University of WashingtonUnited States of America,23,25,-2,-0.0869565217,0.0075614367,,0.0869565217
Duke UniversityUnited States of America,24,22,2,0.0833333333,0.0069444444,,0.0833333333
Northwestern UniversityUnited States of America,25,26,-1,-0.04,0.0016,,0.04
University of TokyoJapan,26,30,-4,-0.1538461538,0.0236686391,,0.1538461538
Georgia Institute of TechnologyUnited States of America,27,24,3,0.1111111111,0.012345679,,0.1111111111
Pohang University of Science and TechnologySouth Korea,28,53,-25,-0.8928571429,0.7971938776,,0.8928571429
"University of California, Santa BarbaraUnited States of America",29,35,-6,-0.2068965517,0.0428061831,,0.2068965517
University of British ColumbiaCanada,30,22,8,0.2666666667,0.0711111111,,0.2666666667
University of North Carolina at Chapel HillUnited States of America,30,43,-13,-0.4333333333,0.1877777778,,0.4333333333
"University of California, San DiegoUnited States of America",32,33,-1,-0.03125,0.0009765625,,0.03125
University of Illinois at Urbana-ChampaignUnited States of America,33,31,2,0.0606060606,0.0036730946,,0.0606060606
National University of SingaporeSingapore,34,40,-6,-0.1764705882,0.0311418685,,0.1764705882
McGill UniversityCanada,35,28,7,0.2,0.04,,0.2
University of MelbourneAustralia,36,37,-1,-0.0277777778,0.0007716049,,0.0277777778
Peking UniversityChina,37,49,-12,-0.3243243243,0.1051862673,,0.3243243243
Washington University in St LouisUnited States of America,38,41,-3,-0.0789473684,0.006232687,,0.0789473684
Ã‰cole PolytechniqueFrance,39,63,-24,-0.6153846154,0.3786982249,,0.6153846154
University of EdinburghUnited Kingdom,40,36,4,0.1,0.01,,0.1
Hong Kong University of Science and TechnologyHong Kong,41,62,-21,-0.512195122,0.262343843,,0.512195122
Ã‰cole Normale SupÃ©rieureFrance,42,59,-17,-0.4047619048,0.1638321995,,0.4047619048
Karolinska InstituteSweden,43,32,11,0.2558139535,0.0654407788,,0.2558139535
Australian National UniversityAustralia,43,38,5,0.1162790698,0.0135208221,,0.1162790698
University of GÃ¶ttingenGermany,43,69,-26,-0.6046511628,0.3656030287,,0.6046511628
University of WisconsinUnited States of America,43,27,16,0.3720930233,0.138453218,,0.3720930233
Rice UniversityUnited States of America,47,72,-25,-0.5319148936,0.2829334541,,0.5319148936
