,Emp_Rep,Emp_Rep-14
Massachusetts Institute of Technology (MIT),100,100
Harvard University,100,100
University of Cambridge,100,100
Stanford University,100,100
University of Oxford,100,100
Imperial College London,100,100
National University of Singapore (NUS),100,100
Yale University,100,100
London School of Economics and Political Science (LSE),100,100
London Business School,100,100
"University of California, Berkeley (UCB)",99.9,100
The University of Manchester,99.9,100
INSEAD,99.9,100
The University of Melbourne,99.8,100
The University of Warwick,99.7,99.9
Columbia University,99.4,99.9
The University of Tokyo,99.9,99.8
Peking University,99.8,99.6
HEC Paris School of Management,99.6,99.6
Tsinghua University,99.5,99.6
UCL (University College London),99.8,99.4
The University of New South Wales (UNSW Australia),99.6,99.4
"University of California, Los Angeles (UCLA)",99.7,99.2
The University of Sydney,99.4,99.2
Durham University,98.4,99.2
University of Bristol,98.2,99.1
Ecole Polytechnique,99.6,98.7
ETH Zurich - Swiss Federal Institute of Technology,99,98.6
Monash University,96.9,98.5
The University of Edinburgh,98,98.2
Princeton University,98.5,97.7
Technische Universität München,98.3,97.7
"Nanyang Technological University, Singapore (NTU)",97.5,97.2
The University of Nottingham,96.7,97.2
RWTH Aachen University,97.6,97
University of Pennsylvania,97.4,96.8
Seoul National University,96.6,96.8
University of Toronto,95.6,96.8
The University of Hong Kong,97.4,96.7
University of Chicago,96.3,96.7
Fudan University,96.9,96.5
Cornell University,96.7,96.4
McGill University,94.7,96.4
New York University (NYU),97.8,96.1
Kyoto University,96.6,96.1
The Australian National University,94.4,95.8
Universidad de Buenos Aires (UBA),98.9,95.7
"KIT, Karlsruhe Institute of Technology",96.2,95.7
Sungkyunkwan University (SKKU),99.4,95.6
ESSEC Business School,94.5,95.2
Shanghai Jiao Tong University,95.9,95
University of St.Gallen (HSG),95.2,94.4
University of Birmingham,94.9,94.3
The Hong Kong University of Science and Technology,91.8,94.3
Pontificia Universidad Católica de Chile (UC),98.3,94
The University of Auckland,93.6,93.6
University of British Columbia,95.8,93.3
Indian Institute of Technology Bombay (IITB),87.5,92.5
The University of Queensland,91.3,92.4
University of Leeds,90.7,92.4
Instituto Tecnológico y de Estudios Superiores de Monterrey,93.2,91.3
University of Bath,89,90.8
University of Michigan,91.4,90.2
Université Paris 1 Panthéon-Sorbonne,90.7,90.1
Waseda University,85.3,90.1
Universidade de São Paulo,94.6,89.1
Universität Mannheim,88.5,89.1
KTH Royal Institute of Technology,88,89
Tokyo Institute of Technology,84.5,89
Delft University of Technology,89.4,88.9
Yonsei University,86.6,88.9
University of Technology Sydney,85.9,88.8
Erasmus University Rotterdam,90.4,88.5
