,Fac_Stud,Fac_Stud-14
Massachusetts Institute of Technology (MIT),100,100
California Institute of Technology (Caltech),100,100
University of Oxford,100,100
Yale University,100,100
National Research Saratov State University,100,100
Johns Hopkins University,100,100
Weizmann Institute of Science,100,100
École Normale Supérieure de Lyon,100,100
Vanderbilt University,100,100
London School of Hygiene and Tropical Medicine,100,100
Tokyo Medical and Dental University (TMDU),100,100
Baylor College of Medicine,100,100
Wageningen University,99.9,100
University of Rochester,99.9,100
Bauman Moscow State Technical University,99.8,100
University of Cambridge,100,99.9
University of Pennsylvania,100,99.9
University of Copenhagen,99.9,99.9
Washington University in St. Louis,99.9,99.9
Lomonosov Moscow State University,99.6,99.9
Moscow Institute of Physics and Technology State University,99.1,99.9
Imperial College London,99.9,99.8
Yokohama City University,99.9,99.8
Duke University,99.8,99.8
Cranfield University,99.3,99.8
Karolinska Institutet,99.3,99.8
Eindhoven University of Technology,99.4,99.7
Harvard University,98.6,99.7
Wake Forest University,99.9,99.5
Ecole Polytechnique,99.2,99.5
Pohang University of Science And Technology (POSTECH),99.6,99.4
National Yang Ming University,99.4,99.1
UCL (University College London),98.6,99
Saint-Petersburg State University,97,98.8
Hanyang University,94.5,98.7
Stanford University,99.5,98.5
École des Ponts ParisTech,93.6,98.5
"University of California, San Francisco",100,98.4
Kyushu University,98.8,98.4
Princeton University,92.9,98.4
Aalto University,92.6,98.4
University of Antwerp,95.3,98.1
"Ecole normale supérieure, Paris",91.9,98.1
Yeshiva University,97.8,97.8
University of Pittsburgh,93.8,97.6
University of Tromsø The Arctic University of Norway,92.5,97.6
Moscow State Institute of International Relations (MGIMO University),97.6,97.4
Tohoku University,97.1,97.3
Case Western Reserve University,97.7,96.8
Technical University of Denmark,95.4,95.8
University of Miami,94.3,95.8
New York University (NYU),94.8,95.6
Columbia University,100,95.4
"KIT, Karlsruhe Institute of Technology",84.7,95.4
University of Chicago,93.8,95.3
University of Helsinki,94.6,95.1
Vrije Universiteit Brussel (VUB),95,94.9
Kyoto University,94.1,94.8
Nagoya University,93.7,94.2
Universidad Panamericana (UP),77.7,94.2
Technische Universität München,90.3,93.6
Universidad Austral,92.9,93.3
Universiti Malaya (UM),94.1,93.1
"Nanyang Technological University, Singapore (NTU)",94.2,92.8
Université Saint-Joseph de Beyrouth,89.8,92.8
The Catholic University of Korea,90,92.7
National University of Singapore (NUS),92.9,92.1
Instituto Tecnológico de Buenos Aires (ITBA),81.1,91.9
The University of Tokyo,96.3,91.3
University of Jyväskylä,88.7,91.2
Ecole Normale Supérieure de Cachan,91.7,91
Universidad de San Andrés - UdeSA,81.6,90.7
Peoples' Friendship University of Russia,67.4,90.7
King Saud University,90.2,90.6
Eberhard Karls Universität Tübingen,82.4,90.5
Ghent University,90.3,90.2
McGill University,80.8,90.2
Peter the Great Saint-Petersburg Polytechnic University,93.7,89.5
The University of Hong Kong,84.5,89.1
University of Mississippi,69.4,88.8
Hiroshima University,88.1,88.5
Tsinghua University,87.5,88.5
