University,Alumini-14,Alumini
Harvard University,100,100
University of Cambridge,79.1,77.1
Massachusetts Institute of Technology (MIT),68.4,68.2
"University of California, Berkeley",66.8,65.1
Columbia University,65.1,63.5
University of Chicago,61.4,59.8
Princeton University,52.1,53.3
University of Oxford,51,49.7
California Institute of Technology,48.5,49.5
Ecole Normale Superieure - Paris,50.2,48.9
Yale University,48.8,47.6
Cornell University,37.6,42
Moscow State University,42.4,41.4
Stanford University,41.8,40.7
Johns Hopkins University,38.7,37.7
Technical University Munich,35.7,34.8
University of Michigan-Ann Arbor,35.3,34.4
Pierre and Marie  Curie University - Paris 6,34.5,33.6
McGill University,31.1,32.8
The Hebrew University of Jerusalem,32.9,32
University of Pennsylvania,32.4,31.6
Carnegie Mellon University,32.4,31.6
Kyoto University,30.2,31.6
City University of New York City College,29.3,31.2
The University of Tokyo,31.6,30.8
University of Wisconsin - Madison,31.6,30.8
University of Goettingen,31.6,30.8
University of Paris Sud (Paris 11),31.1,30.3
Case Western Reserve University,31.1,30.3
University of Frankfurt,31.1,30.3
University of Illinois at Urbana-Champaign,30.7,29.9
"University of California, Los Angeles",30.2,29.5
Swiss Federal Institute of Technology Zurich,30.2,29.5
"University of Minnesota, Twin Cities",30.2,29.5
Nagoya University,22.3,29
University College London,28.8,28.1
New York University,28.8,28.1
University of Oslo,18.2,28.1
University of Geneva,22.3,27.1
Saint Petersburg State University,27.3,26.7
University of Munich,26.3,25.6
University of Strasbourg,25.8,25.1
University of Rochester,25.2,24.6
Stockholm University,24.7,24.1
Technion-Israel Institute of Technology,24.1,23.5
Utrecht University,23.5,22.9
Washington University in St. Louis,19,22.9
Karolinska Institute,22.9,22.4
University of Tuebingen,22.9,22.4
University of Copenhagen,22.3,21.8
Ecole Polytechnique,17.5,21.8
University of Washington,21.7,21.2
King's College London,21.7,21.2
Lund University,21.7,21.2
The University of Edinburgh,21.1,20.5
University of Toronto,20.4,19.9
London School of Economics and Political Science,20.4,19.9
Heidelberg University,13.9,19.9
"University of California, San Diego",19.7,19.2
"University of Maryland, College Park",19.7,19.2
University of Basel,19.7,19.2
University of Muenster,19.7,19.2
University of Wuerzburg,19.7,19.2
Brandeis University,19.7,19.2
Complutense University of Madrid,19.7,19.2
Cairo University,19.7,19.2
University of Essex,19.7,19.2
The University of Manchester,19,18.5
The University of Texas Southwestern Medical Center at Dallas,19,18.5
University of Pittsburgh-Pittsburgh Campus,19,18.5
Tufts University,19,18.5
University of Birmingham,19,18.5
University of Freiburg,19,18.5
University of Cape Town,19,18.5
University of Stuttgart,19,18.5
University of the Witwatersrand,19,18.5
Uppsala University,18.2,17.8
Leiden University,18.2,17.8
The University of Sheffield,18.2,17.8
Weizmann Institute of Science,18.2,17.8
Dartmouth College,18.2,17.8
Queen's University Belfast,18.2,17.8
Rockefeller University,17.5,17
The University of Melbourne,17.5,17
University of Florida,17.5,17
University of Leeds,17.5,17
University of Liverpool,17.5,17
University of Milan,17.5,17
University of Nebraska - Lincoln,17.5,17
The University of Texas at Austin,16.6,16.2
Rice University,16.6,16.2
Radboud University Nijmegen,16.6,16.2
Technical University of Berlin,16.6,16.2
Northwestern University,15.8,15.4
Duke University,15.8,15.4
University of British Columbia,15.8,15.4
