University,HiCi-14,HiCi
Harvard University,100,100
Stanford University,79.8,80.1
"University of California, Berkeley",65.3,66.1
Massachusetts Institute of Technology (MIT),60.6,60.6
Princeton University,57.1,57.1
"University of California, San Diego",56.1,56.6
University of Michigan-Ann Arbor,56.2,56.2
University of Washington,53,53
University of Oxford,52.8,52.3
"University of California, Los Angeles",52.8,52.3
Columbia University,51.6,52.1
Yale University,51,51
University of Cambridge,50.8,50.8
Cornell University,50.4,50.4
Northwestern University,50.3,50.3
Duke University,50.2,50.2
University of Pennsylvania,49.6,49.6
California Institute of Technology,49.3,49.3
University of Chicago,48.4,49
"University of Minnesota, Twin Cities",47.3,47.3
"University of California, San Francisco",46.8,46.8
"The Imperial College of Science, Technology and Medicine",43.7,44.2
Johns Hopkins University,44,44
The University of Tokyo,40.6,41.9
Pennsylvania State University - University Park,42.3,41.6
"University of California, Davis",41,41
Washington University in St. Louis,40.7,40.7
University of Wisconsin - Madison,40.2,40.2
University of North Carolina at Chapel Hill,40.4,39.8
University of Pittsburgh-Pittsburgh Campus,39.8,39.8
University of Toronto,38.8,38.8
"University of California, Santa Barbara",38.7,38.7
The University of Texas at Austin,38.6,38.6
University College London,39.2,38.5
Swiss Federal Institute of Technology Zurich,38.4,38.4
The Ohio State University - Columbus,38.3,38.3
"University of California, Santa Cruz",37.9,37.9
University of Colorado at Boulder,37.1,37.1
University of Southern California,34.8,35.6
Mayo Medical School,34.9,35.4
New York University,36.1,35.2
University of Illinois at Urbana-Champaign,35.8,34.9
"Rutgers, The State University of New Jersey - New Brunswick",34.5,34.5
"University of California, Irvine",35,34.3
Texas A&M University,34.3,34.3
Kyoto University,34.4,33.6
"University of Maryland, College Park",31.9,33
University of British Columbia,34.2,32.8
King Saud University,34.5,32.5
University of Massachusetts Amherst,32.8,32
Osaka University,30.9,31.6
The University of Texas Southwestern Medical Center at Dallas,30.3,31.1
University of Florida,30.9,30.9
Michigan State University,30.7,30.7
Georgia Institute of Technology,31,30.3
Rockefeller University,30.3,30.3
KU Leuven,29.5,30.1
King's College London,27.6,29.5
King Abdulaziz University,33.1,29.1
Utrecht University,30,29.1
Boston University,29.9,29.1
The University of Melbourne,29.3,28.6
Carnegie Mellon University,28.6,28.6
Vanderbilt University,28.4,28.4
Emory University,28.4,28.4
The University of Texas M. D. Anderson Cancer Center,28.9,28.2
Rice University,28.1,28.1
University of Copenhagen,27.1,28
VU University Amsterdam,27.8,27.8
Purdue University - West Lafayette,27.7,27.7
University of Arizona,27.2,27.2
The University of Manchester,28,27.1
University of Zurich,27.1,27.1
University of Virginia,27,27
Ghent University,26.9,26.9
Icahn School of Medicine at Mount Sinai,26,26.8
University of Utah,26.5,26.5
Brown University,26.2,26.2
Swiss Federal Institute of Technology Lausanne,26.1,26.1
Pierre and Marie  Curie University - Paris 6,25.8,25.8
The University of Edinburgh,25.8,25.8
University of Bristol,25.7,25.7
Leiden University,25.7,25.7
University of Rochester,25.2,25.2
University of Helsinki,24.2,25.2
North Carolina State University - Raleigh,24,25.2
The University of Glasgow,24.9,24.9
Karolinska Institute,24.8,24.8
The Australian National University,24.8,24.8
"University of California, Riverside",24.7,24.7
University of Southampton,24.6,24.6
The University of Western Australia,22.9,24.1
University of Wageningen,22.8,24.1
University of Alberta,23.9,23.9
Tohoku University,20.7,23.9
Heidelberg University,23.7,23.7
Baylor College of Medicine,23.7,23.7
University of Warwick,22.5,23.7
McMaster University,23.2,23.2
