University,PCP-14,PCP
California Institute of Technology,100,100
Harvard University,75.3,76.6
Princeton University,68.1,70.3
Massachusetts Institute of Technology (MIT),67.1,68
Ecole Normale Superieure - Paris,59.8,60.5
Scuola Normale Superiore - Pisa,58.9,57.2
"University of California, Berkeley",55.9,56.5
University of Cambridge,55.2,55.8
Stanford University,51.9,53.8
Swiss Federal Institute of Technology Zurich,45.8,46.3
University of Oxford,43,43.1
University of Chicago,41.5,42
Cornell University,39.7,40.2
Rockefeller University,38.9,39.6
Stockholm School of Economics,37.9,39.4
University of Copenhagen,36.2,39.2
Swiss Federal Institute of Technology Lausanne,38.6,38.4
"The Imperial College of Science, Technology and Medicine",38,38
"University of California, Santa Barbara",36.9,38
Yale University,37.7,37.8
"University of California, Santa Cruz",37.3,37.6
University of Pennsylvania,37.3,37.4
Karolinska Institute,37,37.4
"University of California, San Diego",36.5,36.6
University of Basel,34.4,35
"University of California, San Francisco",34.9,34.9
Catholic University of Korea,34.8,34.8
Ghent University,33.9,34.5
Carnegie Mellon University,34,34.4
Rice University,34.6,34.3
University of Colorado at Boulder,34.8,34.2
Heidelberg University,32.2,34.2
VU University Amsterdam,32.6,33.3
Columbia University,33.1,33.2
University of Wageningen,32.1,33
Leiden University,33.3,32.9
Brown University,32.6,32.8
University of Groningen,32,32.7
University College London,31.5,32.7
University of Munich,32.1,32.6
The University of Texas M. D. Anderson Cancer Center,32.2,32.4
Technical University Munich,31.2,32.3
Radboud University Nijmegen,32.1,32.2
National University of Singapore,30.9,32.2
Pohang University of Science and Technology,32.6,31.9
"University of California, Los Angeles",31.7,31.6
Moscow State University,30.7,31.3
University of Helsinki,29.6,31.3
Aarhus University,29.8,31
Ecole Normale Superieure - Lyon,28.4,30.5
KU Leuven,29.1,30.4
The University of Melbourne,29.7,30.2
Nanjing Medical University,26.3,29.7
Mayo Medical School,28.6,29.5
University of Geneva,28.3,29.4
University of Toronto,29.6,29.3
University of Bristol,29.5,29.3
University of Washington,29,29.3
ESPCI ParisTech,28.9,29.3
The University of Queensland,27.8,29.3
The Australian National University,29.1,29.1
The Hebrew University of Jerusalem,27.8,29.1
The University of Western Australia,28.4,28.9
The University of Tokyo,29.2,28.8
Johns Hopkins University,28.7,28.8
Northwestern University,28.7,28.8
Korea Advanced Institute of Science and Technology,28.8,28.7
London School of Economics and Political Science,28,28.7
University of Illinois at Urbana-Champaign,28.5,28.6
University of Amsterdam,28,28.2
Technion-Israel Institute of Technology,27.1,28.2
Georgia Institute of Technology,28,28.1
Aix Marseille University,26.5,27.6
"University of California, Riverside",28.2,27.5
"University of California, Irvine",27.8,27.5
Thomas Jefferson University,27.9,27.1
University of Otago,27.2,27.1
Uppsala University,26.7,27.1
Catholic University of Louvain,29.1,26.9
Utrecht University,27,26.9
University of Bern,26.5,26.9
University of Oslo,25.9,26.9
University of Antwerp,26.5,26.8
McGill University,26.2,26.8
University of Warwick,21.9,26.8
University of Paris Sud (Paris 11),26.5,26.6
The University of Texas at Austin,26,26.6
"University of Maryland, College Park",26,26.5
Erasmus University,26.4,26.4
University of Sussex,25.6,26.4
Tel Aviv University,24.9,26.4
"University of Minnesota, Twin Cities",26.2,26.2
Nanyang Technological University,25,26.2
Washington University in St. Louis,26.1,26
"University of California, Davis",26.1,26
The University of Edinburgh,25.8,25.9
University of Bonn,25.2,25.9
