University,PUB-14,PUB
Harvard University,100,100
University of Toronto,80.5,79.1
University of Michigan-Ann Arbor,77.3,75.9
University of Sao Paulo,72.9,72
University of Washington,71.6,71.9
University College London,71.6,71.7
University of Oxford,72.7,70.9
The University of Tokyo,73,70.8
"University of California, Los Angeles",71.3,70.7
Stanford University,70.9,70.6
Johns Hopkins University,70.2,70.2
Columbia University,69.1,68.8
Zhejiang University,66.5,68.5
Shanghai Jiao Tong University,65.9,68.5
"University of California, Berkeley",68.1,67.9
University of Pennsylvania,66.9,67.7
Seoul National University,67.8,67.1
The University of Melbourne,65.9,66.9
University of Cambridge,66.5,66.4
University of Sydney,64.1,64.7
"University of Minnesota, Twin Cities",65.1,64
Peking University,63.6,64
Tsinghua University,62.7,63.8
The University of Queensland,61.4,63.2
University of Copenhagen,61.1,63.2
University of British Columbia,63.9,63
Yale University,62.9,63
"University of California, San Diego",65,62.9
University of Wisconsin - Madison,63.2,62.5
"The Imperial College of Science, Technology and Medicine",62.5,62
Duke University,61.9,61.7
University of North Carolina at Chapel Hill,61.1,61.2
Massachusetts Institute of Technology (MIT),61.5,61.1
The Ohio State University - Columbus,60.6,60.9
Cornell University,61,59.9
University of Pittsburgh-Pittsburgh Campus,61.9,59.6
National University of Singapore,60.2,59.5
"University of California, San Francisco",59.9,59.5
McGill University,59.4,59.3
Pierre and Marie  Curie University - Paris 6,60,59.2
Kyoto University,61.2,59
University of Florida,60.4,58.7
Monash University,58.6,58.6
The University of New South Wales,57.8,58.6
Northwestern University,58.2,58.1
"University of California, Davis",59.3,58
Ghent University,57.1,57.5
KU Leuven,54.9,56.6
The University of Manchester,57.8,56.2
New York University,56.6,56.2
Fudan University,56.3,56.1
The University of Texas at Austin,55.7,56
Swiss Federal Institute of Technology Zurich,55.6,55.7
National Taiwan University,57.9,55.5
VU University Amsterdam,55.3,55.5
University of Illinois at Urbana-Champaign,54.4,55.5
Sun Yat-sen University,53.2,54.9
King's College London,53.7,54.3
University of Alberta,55.5,54.2
Sichuan University,50.8,54.2
Nanjing University,51.5,53.7
Pennsylvania State University - University Park,54.7,53.4
University of Amsterdam,53.7,53.3
University of Southern California,52.3,53.2
Shandong University,50.6,53.1
Huazhong University of Science and Technology,50.4,53.1
"University of Maryland, College Park",52.5,52.7
University of Groningen,52.6,52.6
Tohoku University,53.2,52.2
Yonsei University,51.1,52.1
The University of Edinburgh,51.8,51.9
