University,Citation,Citations-16
"St George’s, University of LondonUnited Kingdom",86.4,100
"University of California, Santa CruzUnited States of America",100,99.9
Stanford UniversityUnited States of America,99.1,99.9
California Institute of TechnologyUnited States of America,99.7,99.8
Harvard UniversityUnited States of America,98.9,99.8
Massachusetts Institute of TechnologyUnited States of America,100,99.7
Rice UniversityUnited States of America,99.9,99.7
"University of California, BerkeleyUnited States of America",99.1,99.7
Princeton UniversityUnited States of America,99.6,99.3
"University of California, Santa BarbaraUnited States of America",99.2,99.2
University of ChicagoUnited States of America,97.3,99.2
Washington University in St LouisUnited States of America,97.1,99.2
Carnegie Mellon UniversityUnited States of America,92,99.1
Duke UniversityUnited States of America,96.6,99
University of OxfordUnited Kingdom,95.5,80.4
"University of California, San DiegoUnited States of America",96.4,98.7
University of WashingtonUnited States of America,95,98.6
University of PennsylvaniaUnited States of America,94.4,98.6
"University of California, Los AngelesUnited States of America",95.3,98.5
Johns Hopkins UniversityUnited States of America,93.6,98.2
Columbia UniversityUnited States of America,95.3,98.1
Boston UniversityUnited States of America,94.4,97.7
Brandeis UniversityUnited States of America,95.3,97.3
Yale UniversityUnited States of America,94,97.2
Cornell UniversityUnited States of America,91.5,97.2
University of CambridgeUnited Kingdom,95.2,97
Emory UniversityUnited States of America,89.5,96.7
Imperial College LondonUnited Kingdom,89.4,96.7
Northwestern UniversityUnited States of America,96.9,96.5
University of Colorado BoulderUnited States of America,97.4,96.4
Brown UniversityUnited States of America,92,96.4
University of EdinburghUnited Kingdom,88.3,96.3
University of North Carolina at Chapel HillUnited States of America,91,95.9
Vanderbilt UniversityUnited States of America,87.7,95.7
Erasmus University RotterdamNetherlands,82.3,95.6
New York UniversityUnited States of America,89.5,95.3
Wake Forest UniversityUnited States of America,81.3,94.8
École Polytechnique Fédérale de LausanneSwitzerland,95,94.6
University of MichiganUnited States of America,88.9,94.4
University of ExeterUnited Kingdom,78,94.3
London School of Economics and Political ScienceUnited Kingdom,71.3,94.3
University College LondonUnited Kingdom,85.1,94.2
King’s College LondonUnited Kingdom,88.3,93.8
Queen Mary University of LondonUnited Kingdom,88.9,93.3
Dartmouth CollegeUnited States of America,80.4,93.3
University of Southern CaliforniaUnited States of America,81.3,93
Yeshiva UniversityUnited States of America,77.8,92.8
University of East AngliaUnited Kingdom,83.7,92.7
University of PittsburghUnited States of America,84.4,92.3
University of GlasgowUnited Kingdom,83.7,92.3
University of Texas at AustinUnited States of America,91.5,92.2
Karolinska InstituteSweden,76.8,92.2
Case Western Reserve UniversityUnited States of America,82.9,92
"University of California, IrvineUnited States of America",89.5,91.6
University of British ColumbiaCanada,85.3,91.5
University of IcelandIceland,74.8,91.4
"Royal Holloway, University of LondonUnited Kingdom",98.9,91.2
"University of California, RiversideUnited States of America",91.5,91.2
University of BristolUnited Kingdom,85.1,91.2
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,83.5,91.1
Paris Diderot University – Paris 7France,92.2,91
University of TorontoCanada,83,90.9
Pompeu Fabra UniversitySpain,88.3,90.7
VU University AmsterdamNetherlands,74.9,90.7
University of DundeeUnited Kingdom,84.4,90.2
Tufts UniversityUnited States of America,92.9,90.1
University of MiamiUnited States of America,73.1,90.1
University of KielGermany,70.8,89.5
Medical University of ViennaAustria,71.1,89.1
University of RochesterUnited States of America,87.7,89
University of BaselSwitzerland,81.4,88.3
"University of Maryland, College ParkUnited States of America",83.6,88.2
Heidelberg UniversityGermany,81.4,88.2
Utrecht UniversityNetherlands,80,88.1
University of MassachusettsUnited States of America,78.7,88.1
University of MinnesotaUnited States of America,82.9,88
Wageningen University and Research CenterNetherlands,77.5,87.8
Durham UniversityUnited Kingdom,88.9,87.7
University of TrentoItaly,70.3,87.7
University of AmsterdamNetherlands,76.6,87.4
University of VirginiaUnited States of America,76.9,87.3
KU LeuvenBelgium,71.8,87.3
École Normale SupérieureFrance,84.8,87.1
University of Illinois at Urbana-ChampaignUnited States of America,77.8,86.8
University of Texas at DallasUnited States of America,77.8,86.8
University of Wisconsin-MadisonUnited States of America,87.7,86.6
University of MelbourneAustralia,80.6,86.6
Ulm UniversityGermany,73,86.4
University of CopenhagenDenmark,73.5,86.2
University of SussexUnited Kingdom,92.8,86.1
Georgia Institute of TechnologyUnited States of America,85.8,86
University of LeicesterUnited Kingdom,67.1,86
University of LiverpoolUnited Kingdom,76.2,85.9
Charles Darwin UniversityAustralia,64.5,85.9
LMU MunichGermany,83,85.7
University of Cape TownSouth Africa,86.6,85.6
Nanyang Technological UniversitySingapore,75.9,85.6
University of MünsterGermany,73,85.6
University of ZurichSwitzerland,81.4,85.4
University of BonnGermany,83.8,85.3
Lancaster UniversityUnited Kingdom,78,85.3
Leiden UniversityNetherlands,82.3,85.2
William & MaryUnited States of America,78.7,85
McMaster UniversityCanada,78.8,84.9
Radboud University NijmegenNetherlands,73.9,84.9
Arizona State UniversityUnited States of America,73.1,84.6
"University of California, DavisUnited States of America",80.4,84.3
Northeastern UniversityUnited States of America,81.3,84
University of GroningenNetherlands,68.1,84
Autonomous University of BarcelonaSpain,67,83.8
University of UtahUnited States of America,75,83.7
University of Western AustraliaAustralia,62.2,83.6
Boston CollegeUnited States of America,95.9,83.3
Ohio State UniversityUnited States of America,80.4,83.2
Joseph Fourier UniversityFrance,73,83.2
Stony Brook UniversityUnited States of America,80.4,83
Pierre and Marie Curie UniversityFrance,83.3,82.9
Maastricht UniversityNetherlands,70.1,82.7
University of BirminghamUnited Kingdom,62.7,82.7
University of AberdeenUnited Kingdom,74.3,82.6
Hong Kong University of Science and TechnologyHong Kong,72.9,82.6
Stockholm UniversitySweden,90.9,82.5
Georgetown UniversityUnited States of America,62.2,82.5
The University of QueenslandAustralia,74.2,82.4
University of BergenNorway,68.5,82.4
University of HelsinkiFinland,79,82.1
University of New South WalesAustralia,61.1,82.1
University of SouthamptonUnited Kingdom,79.7,82
Cardiff UniversityUnited Kingdom,69.3,82
University of GothenburgSweden,64.4,81.8
University of Notre DameUnited States of America,90,81.7
Newcastle UniversityUnited Kingdom,70.3,81.5
Lund UniversitySweden,74.9,81.3
University of Duisburg-EssenGermany,64.1,81.3
Uppsala UniversitySweden,70.9,80.9
Pennsylvania State UniversityUnited States of America,76,80.5
University of FreiburgGermany,74,80.5
Technical University of MunichGermany,78.8,80.1
University of SheffieldUnited Kingdom,74.3,80.1
Paris-Sud UniversityFrance,87.7,79.8
Aarhus UniversityDenmark,66.5,79.8
University of Southern DenmarkDenmark,61.2,79.7
University of ArizonaUnited States of America,74,79.5
National University of SingaporeSingapore,66,79.4
Goethe University FrankfurtGermany,78.8,79.3
University of TübingenGermany,74,79.3
University of LeedsUnited Kingdom,69.3,79.2
University of WürzburgGermany,81.4,79.1
University of VictoriaCanada,86.7,79
University of BarcelonaSpain,79.7,78.9
McGill UniversityCanada,76,78.9
University of St AndrewsUnited Kingdom,81.4,78.8
University of GenevaSwitzerland,78.2,78.5
University of WarwickUnited Kingdom,68.2,78.2
Technical University of DenmarkDenmark,79.6,77.8
University of SydneyAustralia,69,77.5
University of NottinghamUnited Kingdom,62.7,77.5
University of ManchesterUnited Kingdom,74.3,77.3
Syracuse UniversityUnited States of America,87.1,77.1
Michigan State UniversityUnited States of America,74,76.8
City University of Hong KongHong Kong,68.6,76.8
Linköping UniversitySweden,51.5,76.8
Pohang University of Science and TechnologySouth Korea,84.4,76.7
University of BernSwitzerland,70.1,76.6
