University,Teaching,Teaching-16
California Institute of TechnologyUnited States of America,92.2,95.6
Stanford UniversityUnited States of America,91.5,92.5
Massachusetts Institute of TechnologyUnited States of America,89.1,89.4
University of CambridgeUnited Kingdom,89.7,88.2
University of OxfordUnited Kingdom,88.6,86.5
Yale UniversityUnited States of America,88.5,86.5
Columbia UniversityUnited States of America,83.9,85.9
University of ChicagoUnited States of America,83.9,85.7
Princeton UniversityUnited States of America,86.6,85.1
Harvard UniversityUnited States of America,92.9,83.6
Imperial College LondonUnited Kingdom,84.6,83.3
University of PennsylvaniaUnited States of America,79,82
University of TokyoJapan,81.4,81.4
"University of California, Los AngelesUnited States of America",82.4,80.8
"University of California, BerkeleyUnited States of America",84.2,80.4
University College LondonUnited Kingdom,70.4,78.1
Cornell UniversityUnited States of America,71.6,77.9
Peking UniversityChina,70,77.8
Johns Hopkins UniversityUnited States of America,75.6,77.6
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,78.2,77
University of MichiganUnited States of America,77,76.8
Duke UniversityUnited States of America,73.5,76
University of TorontoCanada,74.4,75.9
Lomonosov Moscow State UniversityRussian Federation,55.9,75.4
New York UniversityUnited States of America,68.3,74.7
Tsinghua UniversityChina,64.1,73.3
National University of SingaporeSingapore,72,71.7
Kyoto UniversityJapan,70.4,70.6
École Normale SupérieureFrance,48.7,70.6
LMU MunichGermany,65.1,70.5
Northwestern UniversityUnited States of America,72.7,69.8
London School of Economics and Political ScienceUnited Kingdom,65.4,69.8
Heidelberg UniversityGermany,52.6,68.8
University of EdinburghUnited Kingdom,58.9,68.6
Carnegie Mellon UniversityUnited States of America,61.6,67.4
University of WashingtonUnited States of America,64.5,67.1
Seoul National UniversitySouth Korea,75.5,66.5
McGill UniversityCanada,63.3,66.1
University of Wisconsin-MadisonUnited States of America,67.7,65.1
University of Hong KongHong Kong,62.1,64.6
University of Illinois at Urbana-ChampaignUnited States of America,67.7,64.5
King’s College LondonUnited Kingdom,55.6,64.5
Humboldt University of BerlinGermany,51.9,63.7
Brown UniversityUnited States of America,55.5,62.8
University of MelbourneAustralia,60.4,62
École Polytechnique Fédérale de LausanneSwitzerland,54.7,61.3
Technical University of MunichGermany,45.6,61
Karolinska InstituteSweden,57.1,60.6
University of British ColumbiaCanada,60.5,60.2
"University of California, DavisUnited States of America",54.4,60.1
KU LeuvenBelgium,53,59.9
University of Texas at AustinUnited States of America,64.3,59.3
University of São PauloBrazil,51.6,59.1
University of ManchesterUnited Kingdom,58.1,58.4
University of North Carolina at Chapel HillUnited States of America,57.9,58
Free University of BerlinGermany,49.4,57.9
Georgia Institute of TechnologyUnited States of America,62.5,57.8
Boston UniversityUnited States of America,56.4,57.8
"University of California, San DiegoUnited States of America",52,56.9
Delft University of TechnologyNetherlands,55.5,55
Australian National UniversityAustralia,53.7,54.7
Georgetown UniversityUnited States of America,51.1,54.4
Washington University in St LouisUnited States of America,57.6,54.3
University of SydneyAustralia,52.8,54.3
Scuola Normale Superiore di PisaItaly,48.2,54.2
National Taiwan UniversityTaiwan,48.8,54.1
University of MinnesotaUnited States of America,59.9,53.5
École PolytechniqueFrance,50.5,53.5
Pierre and Marie Curie UniversityFrance,47.3,52.8
"University of California, Santa BarbaraUnited States of America",49.4,52.6
Wageningen University and Research CenterNetherlands,44.3,52.6
University of AmsterdamNetherlands,42,52.2
University of FloridaUnited States of America,49.8,51.8
University of Erlangen-NurembergGermany,28.4,51.7
Ohio State UniversityUnited States of America,54,51.6
Sungkyunkwan University (SKKU)South Korea,48.1,51.4
Dartmouth CollegeUnited States of America,38.3,50.7
University of PittsburghUnited States of America,45.2,50.6
Leiden UniversityNetherlands,45,50.5
Pennsylvania State UniversityUnited States of America,54.6,50.4
Purdue UniversityUnited States of America,47.8,50.2
University of CopenhagenDenmark,34,49.8
University of St AndrewsUnited Kingdom,35.7,49.7
University of ZurichSwitzerland,40.2,49.5
Hong Kong University of Science and TechnologyHong Kong,51.8,49.4
Texas A&M UniversityUnited States of America,46.2,49.4
RWTH Aachen UniversityGermany,39,49.4
University of Southern CaliforniaUnited States of America,55.2,49.3
University of GöttingenGermany,46.9,49.3
The University of QueenslandAustralia,45.8,49.2
Pohang University of Science and TechnologySouth Korea,52.7,49.1
Nanyang Technological UniversitySingapore,43.9,48.4
University of HelsinkiFinland,37.5,48.4
Emory UniversityUnited States of America,49,48.3
Monash UniversityAustralia,43.7,48.1
