University,Award-14,Award
Harvard University,100,100
University of Cambridge,96.6,96.6
Princeton University,88.5,93.4
Stanford University,82.8,89.6
University of Chicago,86.3,86.3
Massachusetts Institute of Technology (MIT),80.7,80.7
"University of California, Berkeley",79.4,79.4
California Institute of Technology,66.7,66.7
Columbia University,65.9,65.9
Rockefeller University,59.8,59.8
University of Oxford,54.9,54.9
University of Paris Sud (Paris 11),54.3,54.3
Yale University,50.4,50.4
Cornell University,49.8,49.8
"University of California, Los Angeles",47.1,47.1
"University of California, San Francisco",39.9,39.9
"University of California, Santa Barbara",35.1,39.1
Technion-Israel Institute of Technology,37.6,37.6
Kyoto University,37.2,37.2
University of Illinois at Urbana-Champaign,36.2,36.2
University College London,29.5,36.2
"The Imperial College of Science, Technology and Medicine",35.8,35.8
"University of California, San Diego",35.5,35.5
Swiss Federal Institute of Technology Zurich,35.5,35.5
University of Wisconsin - Madison,34.8,34.8
The University of Texas Southwestern Medical Center at Dallas,34.5,34.5
University of Colorado at Boulder,34.1,34.1
University of Pennsylvania,33.8,33.8
Johns Hopkins University,33.6,33.6
Moscow State University,33,33
The University of Manchester,32.6,32.6
University of Oslo,32.6,32.6
New York University,31.9,31.9
George Mason University,31.9,31.9
University of Southern California,31.7,31.7
University of Washington,31.6,31.6
Carnegie Mellon University,31.6,31.6
University of Warwick,0,29.8
"University of California, Irvine",29.3,29.3
Vanderbilt University,29,29
University of Strasbourg,28.8,28.8
University of Geneva,28.2,28.2
The Hebrew University of Jerusalem,28.2,28.2
Ecole Normale Superieure - Paris,28,28
Pierre and Marie  Curie University - Paris 6,27.4,27.4
Uppsala University,27.4,27.4
Stockholm University,27.4,27.4
Karolinska Institute,26.6,26.6
Heidelberg University,25.3,25.3
Nagoya University,14.1,25.3
Washington University in St. Louis,24.9,24.9
The University of Edinburgh,24.9,24.9
MINES ParisTech,24.9,24.9
University of Zurich,24,24
University of Buenos Aires,24,24
Purdue University - West Lafayette,23.1,23.1
University of Pisa,23.1,23.1
University of Sussex,22.4,22.4
Northwestern University,22.1,22.1
Aarhus University,22.1,22.1
Rice University,21.7,21.7
Technical University Munich,21.6,21.6
Indiana University Bloomington,21.6,21.6
King's College London,21,21
Norwegian University of Science and Technology - NTNU,0,21
"University of Maryland, College Park",20,20
Utrecht University,20,20
Arizona State University,20,20
University of Massachusetts Medical School - Worcester,20,20
University of Nottingham,20,20
Ecole Normale Superieure - Lyon,20,20
University of Bonn,19.8,19.8
University of Tsukuba,19.6,19.6
The Australian National University,19.2,19.2
University of Munich,19.1,19.1
University of British Columbia,18.8,18.8
University of Copenhagen,18.8,18.8
"Rutgers, The State University of New Jersey - New Brunswick",18.8,18.8
University of Groningen,18.8,18.8
McMaster University,18.8,18.8
University of Freiburg,18.8,18.8
ESPCI ParisTech,18.8,18.8
University of Toronto,17.2,17.2
"University of Minnesota, Twin Cities",16.3,16.3
University of North Carolina at Chapel Hill,16.3,16.3
The University of Texas at Austin,16.3,16.3
University of Bristol,16.3,16.3
University of Helsinki,16.3,16.3
University of Basel,16.3,16.3
Cardiff University,16.3,16.3
Hokkaido University,16.3,16.3
London School of Economics and Political Science,16.3,16.3
Tufts University,16.3,16.3
Weizmann Institute of Science,16.3,16.3
University of Delaware,16.3,16.3
University of Lorraine,16.3,16.3
Stockholm School of Economics,16.3,16.3
University of Gothenburg,15.4,15.4
The University of Texas Health Science Center at Houston,15.4,15.4
State University of New York Health Science Center at Brooklyn,15.4,15.4
Duke University,14.9,14.9
Joseph Fourier University (Grenoble 1),14.9,14.9
University of Goettingen,14.9,14.9
Erasmus University,14.9,14.9
Polytechnic Institute of Milan,14.9,14.9
The University of Tokyo,14.1,14.1
The University of Western Australia,14.1,14.1
The Chinese University of Hong Kong,14.1,14.1
Virginia Commonwealth University,14.1,14.1
The University of Melbourne,13.3,13.3
Ghent University,13.3,13.3
Brown University,13.3,13.3
Catholic University of Louvain,13.3,13.3
The University of Sheffield,13.3,13.3
University of Liverpool,13.3,13.3
Trinity College Dublin,13.3,13.3
University of Kiel,13.3,13.3
University of Muenster,13.3,13.3
University of Aberdeen,13.3,13.3
University of Leipzig,13.3,13.3
University of Szeged,13.3,13.3
Boston University,11.5,11.5
University of Utah,11.5,11.5
Technical University of Denmark,11.5,11.5
University of Koeln,11.5,11.5
Saint Louis University,11.5,11.5
Case Western Reserve University,10.9,10.9
Leiden University,9.4,9.4
University of Birmingham,9.4,9.4
University Paris Diderot - Paris 7,9.4,9.4
University of Paris Descartes (Paris 5),9.4,9.4
Medical University of Vienna,9.4,9.4
University of Innsbruck,9.4,9.4
Medical University of Graz,9.4,9.4
University of Graz,9.4,9.4
University of Lisbon,8.1,8.1
University of Rochester,7.7,7.7
University of Mainz,7.7,7.7
University of Halle-Wittenberg,6.7,6.7
University of Michigan-Ann Arbor,0,0
"University of California, Davis",0,0
Pennsylvania State University - University Park,0,0
The Ohio State University - Columbus,0,0
University of Pittsburgh-Pittsburgh Campus,0,0
McGill University,0,0
Osaka University,0,0
University of Florida,0,0
The University of Queensland,0,0
University of Arizona,0,0
"University of California, Santa Cruz",0,0
KU Leuven,0,0
Swiss Federal Institute of Technology Lausanne,0,0
Georgia Institute of Technology,0,0
VU University Amsterdam,0,0
Texas A&M University,0,0
Aix Marseille University,0,0
Baylor College of Medicine,0,0
Emory University,0,0
Lund University,0,0
Mayo Medical School,0,0
Michigan State University,0,0
Monash University,0,0
National Taiwan University,0,0
National University of Singapore,0,0
Peking University,0,0
Radboud University Nijmegen,0,0
Seoul National University,0,0
Shanghai Jiao Tong University,0,0
The University of Glasgow,0,0
The University of New South Wales,0,0
The University of Texas M. D. Anderson Cancer Center,0,0
Tohoku University,0,0
Tsinghua University,0,0
University of Alberta,0,0
University of Amsterdam,0,0
"University of California, Riverside",0,0
University of Frankfurt,0,0
University of Leeds,0,0
University of Massachusetts Amherst,0,0
University of Montreal,0,0
University of Sao Paulo,0,0
University of Southampton,0,0
University of Sydney,0,0
University of Virginia,0,0
University of Wageningen,0,0
Fudan University,0,0
Icahn School of Medicine at Mount Sinai,0,0
Iowa State University,0,0
King Abdulaziz University,0,0
King Saud University,0,0
Kyushu University,0,0
Nanyang Technological University,0,0
North Carolina State University - Raleigh,0,0
Oregon Health and Science University,0,0
Oregon State University,0,0
