University,N&S-14,N&S
Harvard University,100,100
Massachusetts Institute of Technology (MIT),73.6,73.1
Stanford University,71.1,70.1
"University of California, Berkeley",67.5,65.6
Yale University,61.5,58.8
California Institute of Technology,60,56.4
University of Cambridge,56.2,55.6
"University of California, San Diego",55.7,55.1
"University of California, San Francisco",56.5,53.5
Columbia University,55,51.9
University of Oxford,52.7,51.9
University of Washington,53.1,51.7
The University of Tokyo,52.6,48.6
"University of California, Los Angeles",50.9,47.2
Swiss Federal Institute of Technology Zurich,46.7,45.9
Cornell University,46.9,45.3
Johns Hopkins University,47.8,44.9
Princeton University,46.2,43
University of Chicago,43,42.9
Washington University in St. Louis,44.2,41.8
University of Michigan-Ann Arbor,42.4,41.3
Rockefeller University,44.2,40.9
University College London,40.7,40.6
New York University,42.4,40.3
University of Pennsylvania,44.6,39.6
Duke University,40.6,39
University of Toronto,42.2,38.6
The University of Texas at Austin,36.3,37.5
Northwestern University,39.5,37
University of Colorado at Boulder,40.1,36
University of Wisconsin - Madison,37.4,35.7
The University of Texas Southwestern Medical Center at Dallas,37.2,35.6
Weizmann Institute of Science,34.4,34.7
"The Imperial College of Science, Technology and Medicine",38,34.5
University of Copenhagen,32,34
"University of California, Santa Cruz",34.3,33.9
University of North Carolina at Chapel Hill,36.3,33.5
"University of California, Davis",35.1,33
Kyoto University,35,32.6
"University of Minnesota, Twin Cities",34.5,32.5
University of Illinois at Urbana-Champaign,36,32.4
University of Bristol,34.2,32.4
University of British Columbia,34,32
Pennsylvania State University - University Park,33,31.6
"University of Maryland, College Park",32.5,31.6
The University of Edinburgh,32.5,30.5
University Paris Diderot - Paris 7,32.2,30.2
Pierre and Marie  Curie University - Paris 6,30.2,29.8
Heidelberg University,27.5,29.4
Baylor College of Medicine,29.8,29.2
Swiss Federal Institute of Technology Lausanne,29.5,29.2
University of Zurich,29.3,29
University of Munich,31.7,28.9
"University of California, Irvine",31.5,28.9
University of Virginia,27.9,27.7
University of Geneva,29,27.6
University of Arizona,30.7,27.5
"University of California, Santa Barbara",28.8,27.5
McGill University,27.1,27.3
Tsinghua University,26.2,26.8
Osaka University,29.9,26.7
Boston University,27,26.3
The University of Manchester,28.2,26.1
Aarhus University,26.7,25.8
Arizona State University,27.3,25.5
University of Utah,27.2,25.5
Utrecht University,24.6,25.4
The University of Melbourne,26.7,25.3
Brown University,26.7,25.1
Purdue University - West Lafayette,25.8,25.1
Icahn School of Medicine at Mount Sinai,25.2,25
University of Massachusetts Medical School - Worcester,28.4,24.9
"Rutgers, The State University of New Jersey - New Brunswick",30.1,24.8
Uppsala University,25.8,24.6
University of Freiburg,25,24.4
