University,Overall-14,Overall
Harvard University,100,100
Stanford University,72.1,73.3
Massachusetts Institute of Technology (MIT),70.5,70.4
"University of California, Berkeley",70.1,69.6
University of Cambridge,69.2,68.8
Princeton University,60.7,61
California Institute of Technology,60.5,59.6
Columbia University,59.6,58.8
University of Chicago,57.4,57.1
University of Oxford,57.4,56.6
Yale University,55.2,54.5
"University of California, Los Angeles",51.9,50.7
Cornell University,50.6,50.5
"University of California, San Diego",49.3,48.7
University of Washington,48.1,47.8
Johns Hopkins University,47,46.3
University of Pennsylvania,47.1,46.1
"University of California, San Francisco",45.2,44.5
University College London,43.3,44.5
Swiss Federal Institute of Technology Zurich,43.9,43.7
The University of Tokyo,43.2,42
University of Michigan-Ann Arbor,42.3,41.7
"The Imperial College of Science, Technology and Medicine",42.3,41.5
University of Wisconsin - Madison,41.8,41.1
University of Toronto,41.8,40.6
Kyoto University,39.9,38.9
New York University,39.6,38.8
Northwestern University,39.4,38.8
University of Illinois at Urbana-Champaign,39.4,38.6
"University of Minnesota, Twin Cities",39.3,38.5
Duke University,38.4,38
Washington University in St. Louis,37.8,37.4
Rockefeller University,37.6,36.5
University of Colorado at Boulder,37.2,36
University of Copenhagen,34.5,35.7
Pierre and Marie  Curie University - Paris 6,35.4,35
The University of Texas at Austin,34.5,34.8
"University of California, Santa Barbara",34.3,34.6
University of North Carolina at Chapel Hill,35.2,34.4
University of British Columbia,35.1,34.1
The University of Manchester,34.7,33.6
University of Paris Sud (Paris 11),34.2,33.6
"University of Maryland, College Park",32.7,32.8
The University of Melbourne,32.6,32.3
The University of Texas Southwestern Medical Center at Dallas,32.5,32.3
Heidelberg University,31.1,32.2
The University of Edinburgh,32.5,32
Karolinska Institute,31.9,31.9
University of Southern California,31,31.3
"University of California, Irvine",31.9,31
Technical University Munich,30.7,30.5
University of Munich,31.1,30.3
Vanderbilt University,30.6,30.2
University of Zurich,30.3,30.1
King's College London,29.7,30
Utrecht University,30.2,29.8
"University of California, Davis",30.4,29.7
University of Geneva,28.5,29.4
University of Oslo,28.1,29.4
Pennsylvania State University - University Park,30,29.3
Purdue University - West Lafayette,29.5,29.2
Uppsala University,29.5,29.2
Carnegie Mellon University,29.4,29.2
"Rutgers, The State University of New Jersey - New Brunswick",30.9,28.5
McGill University,28.3,28.5
University of Bristol,28.9,28.3
The Ohio State University - Columbus,28.7,28.2
The Hebrew University of Jerusalem,28,28.2
University of Helsinki,27.5,28.2
University of Pittsburgh-Pittsburgh Campus,28.6,28.1
Ghent University,28,27.8
Ecole Normale Superieure - Paris,28.3,27.6
Boston University,27.8,27.3
Aarhus University,27.4,27.3
Brown University,27.4,27
University of Groningen,26.7,27
The Australian National University,27.4,26.7
Stockholm University,26.8,26.7
Technion-Israel Institute of Technology,26.8,26.7
The University of Queensland,25.7,26.7
Leiden University,27.3,26.5
University of Florida,26.8,26.2
Rice University,26.7,26
Osaka University,26.8,25.7
Moscow State University,26.1,25.3
The University of Western Australia,24.9,24.9
University of Basel,24.8,24.9
University of Strasbourg,24.5,24.9
University of Arizona,25.4,24.7
KU Leuven,24.2,24.7
University of Utah,25,24.5
Arizona State University,24.9,24.5
"University of California, Santa Cruz",24.7,24.5
McMaster University,24.8,24.4
University of Bonn,24.6,24.3
VU University Amsterdam,24,24.2
Texas A&M University,24.2,23.9
