University,Industry Income,Industry Income-16
Johns Hopkins UniversityUnited States of America,100,100
Duke UniversityUnited States of America,100,100
LMU MunichGermany,100,100
Peking UniversityChina,100,100
Wageningen University and Research CenterNetherlands,100,100
Delft University of TechnologyNetherlands,100,100
Pohang University of Science and TechnologySouth Korea,100,100
Korea Advanced Institute of Science and Technology (KAIST)South Korea,100,100
National Cheng Kung UniversityTaiwan,100,100
Nanyang Technological UniversitySingapore,100,99.9
KTH Royal Institute of TechnologySweden,100,78.1
University of AntwerpBelgium,100,60.3
KU LeuvenBelgium,99.9,100
Eindhoven University of TechnologyNetherlands,99.9,57.3
Swedish University of Agricultural SciencesSweden,99.8,80.4
University of South FloridaUnited States of America,99.8,99.8
Tsinghua UniversityChina,99.7,100
University of ArizonaUnited States of America,99.6,32.4
TU Dresden Germany,99.5,99.7
University of DelawareUnited States of America,99.3,98.7
Technical University of DenmarkDenmark,98.6,50
Korea UniversitySouth Korea,98.5,99.8
Sungkyunkwan University (SKKU)South Korea,98.5,97.5
National Chiao Tung UniversityTaiwan,98.2,96.9
University of BaselSwitzerland,97.7,99.9
Maastricht UniversityNetherlands,96.1,95.4
Massachusetts Institute of TechnologyUnited States of America,95.7,95.4
University of the WitwatersrandSouth Africa,94.8,99.7
Stellenbosch UniversitySouth Africa,94.7,100
University of MontrealCanada,91.8,92.6
University of NavarraSpain,90.2,63.5
University of TwenteNetherlands,89.2,91.2
California Institute of TechnologyUnited States of America,89.1,97.8
Technical University of DarmstadtGermany,88.9,99.1
University of GroningenNetherlands,88.9,92.4
Hanyang UniversitySouth Korea,88.7,87.9
Zhejiang UniversityChina,88.6,96.2
Shanghai Jiao Tong UniversityChina,88.4,92.9
University of Cape TownSouth Africa,88,92.7
"University of California, Santa BarbaraUnited States of America",87.1,90.4
Nagoya UniversityJapan,86.3,91.4
Seoul National UniversitySouth Korea,86.3,85.4
Sharif University of TechnologyIran,86.2,87.8
Wuhan UniversityChina,85.9,97.8
Ghent UniversityBelgium,85.3,88.3
McMaster UniversityCanada,85,88
Isfahan University of TechnologyIran,84.1,99.5
Utrecht UniversityNetherlands,84.1,89.1
University of South AustraliaAustralia,83.9,85.9
Karlsruhe Institute of TechnologyGermany,82.7,99.5
Princeton UniversityUnited States of America,82.7,52.1
National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,82,92.2
University of FreiburgGermany,81.4,100
Georgetown UniversityUnited States of America,80,80.7
Colorado School of MinesUnited States of America,79.4,83.7
Lomonosov Moscow State UniversityRussian Federation,78.5,95.7
Northwestern UniversityUnited States of America,77,81.2
École PolytechniqueFrance,76.8,82.3
Tohoku UniversityJapan,76.8,74.7
Chalmers University of TechnologySweden,75.8,79.5
University of NewcastleAustralia,75.6,64.4
University of AucklandNew Zealand,74.2,78
Lappeenranta University of TechnologyFinland,73.8,80.3
Osaka UniversityJapan,73.6,76.1
Monash UniversityAustralia,73.4,79.7
Kyoto UniversityJapan,73.3,79
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,73.2,80
University of OxfordUnited Kingdom,72.9,73.1
Imperial College LondonUnited Kingdom,72.7,53.7
University of Southern DenmarkDenmark,72.6,28
Georgia Institute of TechnologyUnited States of America,72.3,73.7
Queensland University of TechnologyAustralia,71.9,73.7
University of Science and Technology of ChinaChina,71.6,80.3
University of LiègeBelgium,70.4,98.9
RWTH Aachen UniversityGermany,69.8,98.1
Yonsei UniversitySouth Korea,69.7,75.9
Tokyo Institute of TechnologyJapan,69.4,70.9
Indian Institute of Technology RoorkeeIndia,69,81.4
Dalhousie UniversityCanada,68.9,50.3
Kyushu UniversityJapan,68.7,83.2
Polytechnic University of MilanItaly,67.8,66.3
University of SydneyAustralia,67.3,72.4
The University of QueenslandAustralia,66.2,76.7
Karolinska InstituteSweden,65.5,75.8
University of AdelaideAustralia,65.3,79.3
University of GenevaSwitzerland,65.1,72.4
Aalto UniversityFinland,64.5,61.6
University of PaviaItaly,64.4,69.4
Vienna University of TechnologyAustria,64.1,86.5
University of IcelandIceland,64,28
University of Western AustraliaAustralia,63.3,64.5
