University,International Outlook,International Outlook-16
University of Hong KongHong Kong,81.9,99.5
École Polytechnique Fédérale de LausanneSwitzerland,98.8,98.6
University of GenevaSwitzerland,96.8,98.5
University of MacauMacau,73.3,98.4
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,96.6,97.9
National University of SingaporeSingapore,94.9,96.2
Imperial College LondonUnited Kingdom,92.7,96
University of InnsbruckAustria,93.4,95.7
Maastricht UniversityNetherlands,89.7,95.5
University of BaselSwitzerland,91.2,94.7
Nanyang Technological UniversitySingapore,92.5,94.6
University of OxfordUnited Kingdom,90.7,94.4
University College LondonUnited Kingdom,90.6,94.4
King’s College LondonUnited Kingdom,87,93.8
University of EssexUnited Kingdom,86.7,80.4
London School of Economics and Political ScienceUnited Kingdom,87.4,93.6
Queen Mary University of LondonUnited Kingdom,88.6,93.5
Queen’s University BelfastUnited Kingdom,88.6,93.4
Australian National UniversityAustralia,91.3,93.3
Curtin UniversityAustralia,91.3,93.1
École PolytechniqueFrance,94.5,92.8
"Royal Holloway, University of LondonUnited Kingdom",94.4,92.7
University of ViennaAustria,91,92.6
University of Western AustraliaAustralia,87.3,92.6
Aston UniversityUnited Kingdom,79.7,92.5
University of St AndrewsUnited Kingdom,90.5,92.3
Brunel University LondonUnited Kingdom,88.8,91.8
University of CambridgeUnited Kingdom,87.8,91.5
University of AberdeenUnited Kingdom,84.1,91.4
University of CanterburyNew Zealand,88.2,91
University of AucklandNew Zealand,87.3,90.5
University of British ColumbiaCanada,84.8,90.5
Trinity College DublinRepublic of Ireland,83.9,90.5
University of ZurichSwitzerland,86.9,90.4
University of WarwickUnited Kingdom,85.7,90.3
Royal College of Surgeons in IrelandRepublic of Ireland,82.6,90.1
Macquarie UniversityAustralia,89.2,90
"Birkbeck, University of LondonUnited Kingdom",84.4,89.9
University of OtagoNew Zealand,81.5,89.9
University of EdinburghUnited Kingdom,84.3,89.8
University of New South WalesAustralia,83.5,89.5
The University of QueenslandAustralia,80.4,89.3
University of LausanneSwitzerland,85.1,89.2
University of South AustraliaAustralia,80.8,89
Victoria University of WellingtonNew Zealand,84.2,88.8
University of SouthamptonUnited Kingdom,82.4,88.4
Murdoch UniversityAustralia,85.3,88.3
University of SussexUnited Kingdom,83.6,88.3
Monash UniversityAustralia,79.6,87.6
University of FribourgSwitzerland,84.4,87.4
University of ExeterUnited Kingdom,79.8,87.3
University of MelbourneAustralia,81.3,87.1
Lancaster UniversityUnited Kingdom,84.7,87
University of ManchesterUnited Kingdom,82,87
University of WaikatoNew Zealand,80.3,87
University of WollongongAustralia,80.4,86.8
University of LeicesterUnited Kingdom,83.9,86.6
Durham UniversityUnited Kingdom,80.4,86.4
University College DublinRepublic of Ireland,79.4,86.3
University of GlasgowUnited Kingdom,78.8,85.8
École Normale SupérieureFrance,81.9,85.5
McGill UniversityCanada,79,85.5
University of LiverpoolUnited Kingdom,79.5,85.4
Technical University of DenmarkDenmark,79.7,85.1
University of AdelaideAustralia,79.3,85.1
University of ReadingUnited Kingdom,75,85.1
Swinburne University of TechnologyAustralia,86.9,84.8
University of BathUnited Kingdom,76.1,84.8
Université Libre de BruxellesBelgium,79.4,84.5
KTH Royal Institute of TechnologySweden,84,84.4
University of SydneyAustralia,83.6,84.4
Newcastle UniversityUnited Kingdom,73.8,84.3
University of MontrealCanada,76.7,84.2
Massachusetts Institute of TechnologyUnited States of America,84.3,84
Delft University of TechnologyNetherlands,77.9,84
University of BernSwitzerland,80.7,83.7
University of East AngliaUnited Kingdom,76.5,83.5
University of YorkUnited Kingdom,75,83.5
University of CopenhagenDenmark,71.8,83.3
University of BristolUnited Kingdom,76.6,82.4
University of BirminghamUnited Kingdom,75.8,82
University of SheffieldUnited Kingdom,74.8,81.9
Medical University of ViennaAustria,73.1,81.7
City University of Hong KongHong Kong,71.3,81.6
Bangor UniversityUnited Kingdom,73.1,81.3
Chinese University of Hong KongHong Kong,64,81.1
University of AlbertaCanada,73.4,80.7
University of NottinghamUnited Kingdom,70.6,80.6
Hong Kong University of Science and TechnologyHong Kong,77.8,80.5
University of Cape TownSouth Africa,76.7,80.2
University of TwenteNetherlands,67.2,80.1
University of PortsmouthUnited Kingdom,73.3,79.3
Hong Kong Polytechnic UniversityHong Kong,69.9,79
University of HertfordshireUnited Kingdom,74.9,78.9
University of DundeeUnited Kingdom,64.5,78.5
Princeton UniversityUnited States of America,61.2,78.5
Dalhousie UniversityCanada,71.6,78.3
Cardiff UniversityUnited Kingdom,69.3,78.1
University of TorontoCanada,71.2,77.8
University of StirlingUnited Kingdom,66.9,77.7
Chalmers University of TechnologySweden,62.5,77.6
University of LeedsUnited Kingdom,67.6,77.4
Vienna University of TechnologyAustria,75.9,77.3
Harvard UniversityUnited States of America,67.6,77.2
Deakin UniversityAustralia,71.8,76.9
Aarhus UniversityDenmark,66.3,76.8
"National University of Ireland, GalwayRepublic of Ireland",71.7,76.5
Stanford UniversityUnited States of America,69,76.3
McMaster UniversityCanada,69.4,76.1
Erasmus University RotterdamNetherlands,66.2,76.1
Queensland University of TechnologyAustralia,69.8,76
University of NewcastleAustralia,70.6,75.9
University College CorkRepublic of Ireland,70.8,75.5
Hong Kong Baptist UniversityHong Kong,62.3,75
University of WaterlooCanada,63.1,74.4
Université Catholique de LouvainBelgium,59.7,74.2
Lund UniversitySweden,70.1,74.1
Pierre and Marie Curie UniversityFrance,64.7,74.1
University of Western OntarioCanada,63.7,73.6
Columbia UniversityUnited States of America,68.3,73.5
Karolinska InstituteSweden,60.6,73.1
Aberystwyth UniversityUnited Kingdom,66.5,72.2
University of Southern DenmarkDenmark,67.1,71.8
University of StrasbourgFrance,69.5,71.6
Tilburg UniversityNetherlands,62.2,71.6
Georgia Institute of TechnologyUnited States of America,68.9,71.5
Eindhoven University of TechnologyNetherlands,69,71.3
Aalborg UniversityDenmark,65.8,71
Wageningen University and Research CenterNetherlands,78.7,70.3
University of VictoriaCanada,70.1,70.2
University of CalgaryCanada,63.1,70.1
University of BergenNorway,65.3,70
Johns Hopkins UniversityUnited States of America,59.7,70
University of OttawaCanada,63.2,69.9
University of LiègeBelgium,69.1,69.7
"St George’s, University of LondonUnited Kingdom",55.8,69.5
Free University of BerlinGermany,56.6,69.2
University of GrazAustria,64.8,68.9
KU LeuvenBelgium,62.3,68.6
University of the WitwatersrandSouth Africa,66.3,68.4
University of OsloNorway,60.3,68.2
Rice UniversityUnited States of America,70.8,66.6
University of AmsterdamNetherlands,60.5,66.5
Purdue UniversityUnited States of America,64.3,66.4
University of TurkuFinland,46.3,66.2
UiT The Arctic University of NorwayNorway,60,66.1
École Normale Supérieure de LyonFrance,64.4,65.6
Aalto UniversityFinland,59.4,65.4
University of ChicagoUnited States of America,65.2,65
Paris Diderot University – Paris 7France,67.4,64.9
