University,Research,Research-16
Harvard UniversityUnited States of America,98.6,99
University of OxfordUnited Kingdom,97.7,98.9
California Institute of TechnologyUnited States of America,98.1,97.6
University of CambridgeUnited Kingdom,95.6,96.7
Stanford UniversityUnited States of America,96.7,96.2
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,90.2,95
Princeton UniversityUnited States of America,94.7,91.9
"University of California, BerkeleyUnited States of America",96.7,91.1
University College LondonUnited Kingdom,80.4,91
Johns Hopkins UniversityUnited States of America,84.2,90.4
University of TorontoCanada,85.1,89.3
University of ChicagoUnited States of America,89.9,88.9
Carnegie Mellon UniversityUnited States of America,74.9,88.8
"University of California, Los AngelesUnited States of America",90.5,88.6
Massachusetts Institute of TechnologyUnited States of America,88.2,80.4
Imperial College LondonUnited Kingdom,88.3,88.5
Yale UniversityUnited States of America,90.8,87.8
University of PennsylvaniaUnited States of America,82,86.9
Cornell UniversityUnited States of America,83.8,86.1
University of MichiganUnited States of America,86.5,85.2
National University of SingaporeSingapore,78.1,84.5
University of TokyoJapan,85.1,83
Tsinghua UniversityChina,68.3,83
Columbia UniversityUnited States of America,79.4,82.2
University of Illinois at Urbana-ChampaignUnited States of America,79,81.2
Karolinska InstituteSweden,68,81.1
London School of Economics and Political ScienceUnited Kingdom,74.2,80.6
Northwestern UniversityUnited States of America,78.9,78.4
Duke UniversityUnited States of America,75.2,78
LMU MunichGermany,69.1,77.4
Australian National UniversityAustralia,70.9,77.3
University of EdinburghUnited Kingdom,62.9,77.2
Humboldt University of BerlinGermany,52.6,77
KU LeuvenBelgium,63.6,76.9
King’s College LondonUnited Kingdom,62.3,75.8
University of MelbourneAustralia,70.9,75.5
Delft University of TechnologyNetherlands,71.4,73.8
University of British ColumbiaCanada,69,73.2
University of Hong KongHong Kong,72.6,72.8
Georgia Institute of TechnologyUnited States of America,71.2,72.7
"University of California, DavisUnited States of America",59.7,72.7
Peking UniversityChina,61.9,72.4
New York UniversityUnited States of America,62.4,72.3
Free University of BerlinGermany,58,72.2
McGill UniversityCanada,69.9,72.1
Seoul National UniversitySouth Korea,77.1,70.5
University of WashingtonUnited States of America,68.9,70
"University of California, San DiegoUnited States of America",66.6,69.8
University of Texas at AustinUnited States of America,72,69.7
Heidelberg UniversityGermany,45.4,69.6
Kyoto UniversityJapan,68.4,69.3
University of Wisconsin-MadisonUnited States of America,71.3,68.2
University of SydneyAustralia,60.8,68.1
École Polytechnique Fédérale de LausanneSwitzerland,56.9,67.5
Wageningen University and Research CenterNetherlands,46.8,66.9
Lomonosov Moscow State UniversityRussian Federation,42.1,66.7
Hong Kong University of Science and TechnologyHong Kong,66.8,66.1
"University of California, Santa BarbaraUnited States of America",61.4,66
University of ManchesterUnited Kingdom,58.7,66
Technical University of MunichGermany,37.4,66
University of AmsterdamNetherlands,55.4,64.7
Utrecht UniversityNetherlands,54.8,64.3
Leiden UniversityNetherlands,58.2,63.1
The University of QueenslandAustralia,58.4,62.8
Pennsylvania State UniversityUnited States of America,64.8,61.9
Nanyang Technological UniversitySingapore,55.9,61.3
University of MinnesotaUnited States of America,64.7,61
Uppsala UniversitySweden,53,61
University of HelsinkiFinland,48.1,60.4
University of TübingenGermany,44.7,59.8
University of Southern CaliforniaUnited States of America,44.6,58.9
Monash UniversityAustralia,54.4,58.5
National Taiwan UniversityTaiwan,57.3,58
Purdue UniversityUnited States of America,50.5,57.7
University of São PauloBrazil,51.6,57.1
University of GroningenNetherlands,50.8,56.9
University of FloridaUnited States of America,52.1,56.8
RWTH Aachen UniversityGermany,29.9,56.3
Brown UniversityUnited States of America,54.2,55.7
"Rutgers, the State University of New JerseyUnited States of America",45.3,55.7
Washington University in St LouisUnited States of America,55.2,55.6
Erasmus University RotterdamNetherlands,53.7,55.2
University of North Carolina at Chapel HillUnited States of America,58.6,54.5
Ghent UniversityBelgium,51.6,54.5
University of GöttingenGermany,48,54.5
University of New South WalesAustralia,51.9,53.9
Lund UniversitySweden,48.5,53.6
Sungkyunkwan University (SKKU)South Korea,50.2,53.5
Scuola Normale Superiore di PisaItaly,46,53.1
University of WarwickUnited Kingdom,45.8,53.1
Michigan State UniversityUnited States of America,49.4,52.6
Texas A&M UniversityUnited States of America,51.9,52.4
Durham UniversityUnited Kingdom,40.7,51.9
University of BristolUnited Kingdom,44.7,51.6
Stockholm UniversitySweden,45,51.2
University of FreiburgGermany,28.1,51.1
Tel Aviv UniversityIsrael,51.1,50.5
University of ViennaAustria,39.7,50.5
University of PittsburghUnited States of America,46.3,50.3
Boston UniversityUnited States of America,46.7,49.5
University of SheffieldUnited Kingdom,39.1,48.8
Chinese University of Hong KongHong Kong,53.5,48.5
Radboud University NijmegenNetherlands,46.7,48.5
University of GlasgowUnited Kingdom,40.5,48.3
University of AlbertaCanada,47.1,48.1
University of Notre DameUnited States of America,38.5,48.1
Maastricht UniversityNetherlands,48.1,47.7
École Normale SupérieureFrance,36.2,47.7
Tokyo Institute of TechnologyJapan,52.9,47.6
Karlsruhe Institute of TechnologyGermany,34.9,47.5
University of BonnGermany,22.2,47.5
University of St AndrewsUnited Kingdom,35.9,47.3
Indian Institute of ScienceIndia,39.5,47.2
Pohang University of Science and TechnologySouth Korea,49.3,47.1
Tilburg UniversityNetherlands,45.1,47.1
University of KonstanzGermany,33.4,46.7
Ohio State UniversityUnited States of America,51.1,46.6
University of YorkUnited Kingdom,33.8,46.3
Bielefeld UniversityGermany,19.1,46.2
University of Western AustraliaAustralia,38.1,46.1
Zhejiang UniversityChina,33.1,46
TU Dresden Germany,42,45.8
University of TwenteNetherlands,45.3,45.6
University of LausanneSwitzerland,39.9,45.6
University of MontrealCanada,44.4,45.5
National Chiao Tung UniversityTaiwan,40.7,45.4
Osaka UniversityJapan,48,45.2
Shanghai Jiao Tong UniversityChina,37.9,45.2
McMaster UniversityCanada,43.2,44.8
University of OsloNorway,35.2,44.7
École PolytechniqueFrance,47.1,44.6
University of StuttgartGermany,17.3,44.5
KTH Royal Institute of TechnologySweden,44.8,44.3
Vanderbilt UniversityUnited States of America,38.2,44.2
University of MünsterGermany,18.1,44.1
University of WaterlooCanada,40.4,43.9
University of SouthamptonUnited Kingdom,34.1,43.6
Korea UniversitySouth Korea,44.3,43.4
University of AdelaideAustralia,40.4,43.2
Technical University of DarmstadtGermany,33.7,43.2
National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,42.6,43.1
Tohoku UniversityJapan,47.3,42.7
University of CopenhagenDenmark,34.4,42.7
University of BernSwitzerland,36.9,42.5
State University of CampinasBrazil,38.8,42.3
"University of Maryland, College ParkUnited States of America",39.1,42.1
University of ArizonaUnited States of America,51.4,41.8
"University of California, IrvineUnited States of America",41.7,41.8
University of BirminghamUnited Kingdom,39.8,41.8
Hebrew University of JerusalemIsrael,36.3,41.4
Lancaster UniversityUnited Kingdom,36.1,41.4
Queen Mary University of LondonUnited Kingdom,32.9,41.3
Eindhoven University of TechnologyNetherlands,47.1,41
University of AntwerpBelgium,33.6,40.8
Université Catholique de LouvainBelgium,34.9,40.6
Korea Advanced Institute of Science and Technology (KAIST)South Korea,63.2,40.5
University of GenevaSwitzerland,37.2,40.5
National Cheng Kung UniversityTaiwan,40.1,40.2
University of ExeterUnited Kingdom,32.7,40
Autonomous University of BarcelonaSpain,29.2,40
University of GothenburgSweden,38.2,39.8
University of Erlangen-NurembergGermany,15.3,39.7
University of AucklandNew Zealand,33.4,39.5
Georgetown UniversityUnited States of America,28.2,39.3
Aarhus UniversityDenmark,47.5,39.2
University of LeedsUnited Kingdom,39.1,39
University of NottinghamUnited Kingdom,35.8,39
Nagoya UniversityJapan,31.8,38.9
University of Cape TownSouth Africa,35.3,38.7
University College DublinRepublic of Ireland,28.1,38.5
Virginia Polytechnic Institute and State UniversityUnited States of America,40,38.2
Arizona State UniversityUnited States of America,37.5,38.1
University of CologneGermany,18.4,38
University at BuffaloUnited States of America,39.8,37.9
University of Colorado BoulderUnited States of America,38.3,37.6
University of VirginiaUnited States of America,35.9,37.5
University of BarcelonaSpain,28.8,37.4
University of ReadingUnited Kingdom,34,37.3
Sapienza University of RomeItaly,28.1,37.3
University of SussexUnited Kingdom,30.4,37.2
VU University AmsterdamNetherlands,43.2,37.1
Emory UniversityUnited States of America,32.4,37.1
University of OttawaCanada,34.7,36.7
University of CalgaryCanada,30.5,36.7
National Tsing Hua UniversityTaiwan,40.3,36.6
University of Science and Technology of ChinaChina,27.3,36.6
University of LiègeBelgium,18.4,36.6
University of MassachusettsUnited States of America,49.1,36.3
Dartmouth CollegeUnited States of America,35.4,35.8
Queen’s UniversityCanada,33.4,35.8
University of WürzburgGermany,17.3,35.8
University of South FloridaUnited States of America,37.9,35.7
Queensland University of TechnologyAustralia,36,35.6
University of Hawai’i at MānoaUnited States of America,30.7,35.5
University of UtahUnited States of America,36.5,35.3
State University of New York AlbanyUnited States of America,35,35.3
Chalmers University of TechnologySweden,32.8,35.3
Hong Kong Polytechnic UniversityHong Kong,36.5,35.2
Rice UniversityUnited States of America,37.1,35.1
"Birkbeck, University of LondonUnited Kingdom",29.3,35.1
Stellenbosch UniversitySouth Africa,31.2,35
"University of California, Santa CruzUnited States of America",31.9,34.2
Yonsei UniversitySouth Korea,45.8,34.1
University of DelawareUnited States of America,36.3,34
Technion Israel Institute of TechnologyIsrael,37.5,33.3
Tufts UniversityUnited States of America,33.9,33.3
University of EssexUnited Kingdom,29,33.3
"University of California, RiversideUnited States of America",27.5,33.3
Queen’s University BelfastUnited Kingdom,25.1,33.3
Case Western Reserve UniversityUnited States of America,37.4,33.2
"Royal Holloway, University of LondonUnited Kingdom",22.4,33.2
University of BaselSwitzerland,41.1,33.1
National Sun Yat-Sen UniversityTaiwan,32.9,33
Colorado State UniversityUnited States of America,31.3,33
University of FribourgSwitzerland,19.7,32.9
Aalto UniversityFinland,31.3,32.8
Hokkaido UniversityJapan,27.5,32.8
Swedish University of Agricultural SciencesSweden,25.2,32.8
Pierre and Marie Curie UniversityFrance,30,32.7
University of BremenGermany,27.6,32.7
Hanyang UniversitySouth Korea,32.3,32.6
University of Western OntarioCanada,35.7,32.4
Sabancı UniversityTurkey,27.1,32.3
Nanjing UniversityChina,23.3,32.2
Vienna University of TechnologyAustria,32.4,32
Laval UniversityCanada,29.9,31.7
Polytechnic University of MilanItaly,26.6,31.7
Cardiff UniversityUnited Kingdom,30.4,31.6
University of ZurichSwitzerland,33.1,31.5
University of BergenNorway,27.9,31.5
Rensselaer Polytechnic InstituteUnited States of America,26.2,31.5
University of the WitwatersrandSouth Africa,21.7,31.5
University of AberdeenUnited Kingdom,30.2,31.4
Bayreuth UniversityGermany,12.9,31.2
University of LiverpoolUnited Kingdom,33.2,30.9
Autonomous University of MadridSpain,19.3,30.9
York UniversityCanada,35.3,30.8
Trinity College DublinRepublic of Ireland,30.3,30.8
Novosibirsk State UniversityRussian Federation,17.2,30.8
University of GeorgiaUnited States of America,28.9,30.5
University of OtagoNew Zealand,27.7,30.5
Fudan UniversityChina,34,30.4
Colorado School of MinesUnited States of America,26.7,30.3
University of Nebraska-LincolnUnited States of America,24.4,30.2
Sharif University of TechnologyIran,34.7,30.1
École Normale Supérieure de LyonFrance,33.8,30
University of VictoriaCanada,30.6,30
Ruhr University BochumGermany,22.5,30
University of TsukubaJapan,21.6,30
Technical University of DenmarkDenmark,28.2,29.9
University of BolognaItaly,23.2,29.5
Iowa State UniversityUnited States of America,30.9,29.4
Dalhousie UniversityCanada,30,29.4
Boston CollegeUnited States of America,29.1,29.3
University of Illinois at ChicagoUnited States of America,34.1,29.2
Simon Fraser UniversityCanada,29.3,29.2
Paris-Sud UniversityFrance,33.1,29
Victoria University of WellingtonNew Zealand,28.5,28.7
University of East AngliaUnited Kingdom,22.6,28.7
Indian Institute of Technology BombayIndia,24.6,28.6
Goethe University FrankfurtGermany,22.4,28.6
Oregon State UniversityUnited States of America,21.1,28.5
Aalborg UniversityDenmark,28.5,28.4
University of WollongongAustralia,27.8,28.4
Université Libre de BruxellesBelgium,36.2,28.3
Washington State UniversityUnited States of America,27.5,28.2
Pompeu Fabra UniversitySpain,28.3,28
University of RochesterUnited States of America,29.2,27.9
University of BathUnited Kingdom,25.1,27.9
University of LeicesterUnited Kingdom,31.6,27.8
Newcastle UniversityUnited Kingdom,29.6,27.5
Kyushu UniversityJapan,28.5,27.5
Lappeenranta University of TechnologyFinland,25.5,27.5
University of TrentoItaly,20.3,27.4
Indiana UniversityUnited States of America,35.1,27.3
Macquarie UniversityAustralia,24.8,27.2
Koç UniversityTurkey,24.4,27.1
San Diego State UniversityUnited States of America,24.8,27
University of Duisburg-EssenGermany,13.7,27
University of ManitobaCanada,29.4,26.9
University of DundeeUnited Kingdom,22.5,26.9
Wuhan UniversityChina,17.4,26.8
University of IowaUnited States of America,33.5,26.7
City University of Hong KongHong Kong,32.9,26.7
University of Texas at DallasUnited States of America,28.2,26.7
University of South AustraliaAustralia,24,26.7
University of NewcastleAustralia,29.9,26.5
University of HoustonUnited States of America,25.8,26.5
Istanbul Technical UniversityTurkey,36.9,25.8
Norwegian University of Science and TechnologyNorway,29.6,25.8
Brandeis UniversityUnited States of America,29.1,25.7
University of ConnecticutUnited States of America,27.1,25.6
University of JyväskyläFinland,24,25.5
