University,Overall,Rank,Citation,Acad_Rep,Emp_Rep,Int_Stud,Fac_Stud,Int_Fac
Indian Institute of Science (IISc) Bangalore,62,147,99.3,52.5,39.7,,84.4,
Indian Institute of Technology Delhi (IITD),56.4,179,96.2,55.3,81.6,,,
Indian Institute of Technology Bombay (IITB),52.8,202,65.6,62.3,87.5,,,
Indian Institute of Technology Madras (IITM),46.6,254,82.3,41.4,66.9,,,
Indian Institute of Technology Kanpur (IITK),45,271,66.5,45.4,59.7,,,
"Indian Institute of Technology, Kharagpur",43.7,286,91.3,37.2,61.7,,,
Indian Institute of Technology Roorkee (IITR),35.7,391,91.6,,,,,
University of Delhi,,224,,50.5,72.1,,,
Jawaharlal Nehru University,,279,,43.3,,,69.3,
University of Mumbai,,,,,55.7,,,
Indian Institute of Technology Guwahati (IITG),,,74.9,,,,,
