Harvard University,1,1
Stanford University,2,2
"University of California, Berkeley",4,3
Massachusetts Institute of Technology (MIT),3,4
University of Cambridge,5,5
California Institute of Technology,6,6
Princeton University,7,7
Columbia University,8,8
University of Chicago,9,9
University of Oxford,10,10
Yale University,11,11
"University of California, Los Angeles",12,12
Cornell University,13,13
"University of California, San Diego",15,14
University of Pennsylvania,14,15
University of Washington,16,16
The Johns Hopkins University,17,17
"University of California, San Francisco",18,18
University of Wisconsin - Madison,19,19
Swiss Federal Institute of Technology Zurich,23,20
The University of Tokyo,20,21
University College London,21,21
University of Michigan - Ann Arbor,22,23
"The Imperial College of Science, Technology and Medicine",24,24
University of Illinois at Urbana-Champaign,25,25
Kyoto University,26,26
New York University,27,27
University of Toronto,27,28
"University of Minnesota, Twin Cities",29,29
Northwestern University,30,30
Duke University,36,31
Washington University in St. Louis,31,32
University of Colorado at Boulder,33,33
Rockefeller University,32,34
"University of California, Santa Barbara",34,35
The University of Texas at Austin,35,36
Pierre and Marie  Curie University - Paris 6,42,37
"University of Maryland, College Park",38,38
University of Paris Sud (Paris 11),37,39
University of British Columbia,39,40
The University of Manchester,40,41
University of Copenhagen,44,42
University of North Carolina at Chapel Hill,41,43
Karolinska Institute,42,44
"University of California, Irvine",45,45
The University of Texas Southwestern Medical Center at Dallas,48,46
University of Southern California,46,47
"University of California, Davis",47,47
Vanderbilt University,50,49
Technical University Munich,53,50
The University of Edinburgh,51,51
Carnegie Mellon University,51,52
Utrecht University,53,52
Pennsylvania State University - University Park,49,54
University of Melbourne,57,54
University of Heidelberg,62,54
Purdue University - West Lafayette,56,57
McGill University,63,58
The Hebrew University of Jerusalem,53,59
University of Zurich,59,60
University of Pittsburgh,58,61
University of Munich,60,61
"Rutgers, The State University of New Jersey - New Brunswick",61,61
University of Bristol,70,64
The Ohio State University - Columbus,65,65
The Australian National University,64,66
Brown University,65,67
King's College London,68,67
University of Oslo,67,69
University of Geneva,69,69
University of Florida,72,71
Ecole Normale Superieure - Paris,73,71
Uppsala University,73,73
Leiden University,73,74
Boston University,71,75
University of Helsinki,73,76
Technion-Israel Institute of Technology,78,77
University of Arizona,77,78
Arizona State University - Tempe,79,79
Moscow State University,80,79
Aarhus University,86,81
Stockholm University,81,82
University of Basel,85,83
University of Nottingham,86,83
University of Utah,82,85
Osaka University,83,85
Indiana University Bloomington,84,85
Ghent University,89,85
The University of Queensland,90,85
University of Rochester,86,90
The University of Western Australia,96,91
Rice University,91,92
McMaster University,92,92
Weizmann Institute of Science,93,92
Michigan State University,96,92
University of Sydney,93,97
Case Western Reserve University,99,99
University of Freiburg,99,100
