University,Citations(QS),Citation(THE)
Massachusetts Institute of Technology,100,99.7
Harvard University,100,99.8
University of Cambridge,93.7,97
Stanford University,99.9,99.9
California Institute of Technology,100,99.8
University of Oxford,88.9,98.8
University College London,88,94.2
Imperial College London,79.6,96.7
ETH Zurich - Swiss Federal Institute of Technology,98.8,91.1
University of Chicago,91.5,99.2
Princeton University,100,99.3
National University of Singapore,78.9,79.4
Nanyang Technological University,86.5,85.6
Yale University,71.3,97.2
Johns Hopkins University,84.9,98.2
Cornell University,97.1,97.2
University of Pennsylvania,80.5,98.6
Australian National University,89.4,72.3
King's College London,77.5,93.8
University of Edinburgh,71.5,96.3
Columbia University,67,98.1
Ecole Normale Superieure,100,87.1
McGill University,70.4,78.9
Tsinghua University,84.2,58.8
University of California Berkeley,99.9,99.7
University of California Los Angeles,89.6,98.5
Hong Kong University of Science and Technology,89.4,82.6
Duke University,85.4,99
University of Hong Kong,56.3,70.1
University of Michigan,84.5,94.4
Northwestern University,96.4,96.5
University of Manchester,61.9,77.3
University of Toronto,57.3,90.9
London School of Economics and Political Science,77.6,94.3
Seoul National University,79,50
University of Bristol,69,91.2
Kyoto University,71.5,46.6
University of Tokyo,64.9,60.9
Peking University,70.8,69.1
University of Melbourne,80.9,86.6
Korea Advanced Institute of Science & Technology,100,75.9
University of California San Diego,94.5,98.7
University of Sydney,72.7,77.5
University of New South Wales,80,82.1
University of Queensland,84,82.4
University of Warwick,66.3,78.2
Brown University,96.6,96.4
University of British Columbia,73.7,91.5
Chinese University of Hong Kong,61.2,68.4
New York University,,95.3
Ecole Polytechnique,99.3,94.6
University of Wisconsin Madison,66.9,86.6
University of Amsterdam,84.4,87.4
University of Illinois at Urbana Champaign,98.2,86.8
Technical University of Munich,,80.1
Durham University,90.6,87.7
University of Glasgow,64.4,92.3
Carnegie Mellon University,99.9,99.1
Delft University of Technology,96.1,61.5
University of Washington,94.5,98.6
Heidelberg University,43.3,88.2
Monash University,67.1,73.3
University of St Andrews,84.5,78.8
University of Copenhagen,,86.2
National Taiwan University,85.9,47.3
University of Nottingham,61.9,77.5
Lund University,58.1,81.3
Ludwig Maximilians University Munich,56.8,85.7
University of Birmingham,57.6,82.7
University of Texas at Austin,97.5,92.2
Trinity College Dublin,63,75.8
University of North Carolina Chapel Hill,79.9,95.9
University of Sheffield,59,80.1
University of Southampton,63.5,82
University of Auckland,58.5,69.8
KU Leuven,92.6,87.3
Georgia Institute of Technology,89.9,86
University of Zurich,,85.4
University of California Davis,93.9,84.3
University of Leeds,55.2,79.2
Pohang University of Science And Technology,100,76.7
University of Geneva,86.5,78.5
Purdue University,73.3,63.2
Boston University,71.2,97.7
KTH Royal Institute of Technology,80.9,63.9
Karlsruhe Institute of Technology,65.8,73.8
Utrecht University,84.5,88.1
Leiden University,83.2,85.2
University of Alberta,56.5,63.6
University of Helsinki,36.8,82.1
University of Western Australia,76.1,83.6
Ohio State University,47,83.2
University of Groningen,48,84
Pennsylvania State University,86.1,80.5
Uppsala University,64.2,80.9
University of York,76.6,73.1
Rice University,99.7,99.7
Aarhus University,81.7,79.8
Lomonosov Moscow State University,,8.6
Queen Mary University of London,57.5,93.3
Washington University in St Louis,76.7,99.2
Technical University of Denmark,80.2,77.8
University of Adelaide,53.9,72.4
University of Montreal,62,69.6
Eindhoven University of Technology,69.6,70.7
Sungkyunkwan University,43.5,53.8
Free University of Berlin,61.3,60.2
Lancaster University,82.3,85.3
Cardiff University,53.8,82
University of Minnesota,97.4,88
Ghent University,40.9,71.2
University of Maryland College Park,82.3,88.2
Erasmus University Rotterdam,67.1,95.6
Humboldt University of Berlin,41.7,73.6
University of California Santa Barbara,100,99.2
University of Southern California,76.7,93
University of Freiburg,64.7,80.5
University of Pittsburgh,67.6,92.3
University of Oslo,61.1,75.5
Wageningen University,52.9,87.8
University of Aberdeen,64.1,82.6
Pierre and Marie Curie University,89.4,82.9
University of Basel,96.6,88.3
University of Lausanne,38.5,76.2
RWTH Aachen University,53,63.2
Hebrew University of Jerusalem,59.4,64.6
Universite catholique de Louvain,,68.4
McMaster University,53.3,84.9
University of Liverpool,50.1,85.9
University of Waterloo,88.6,66.5
University of Vienna,,63.6
University College Dublin,63.1,70.8
University of Reading,67.7,69.9
Dartmouth College,83.8,93.3
Texas A&M University,89.8,47.1
University of Exeter,66.9,94.3
Newcastle University,55.8,81.5
University of California Irvine,95.7,91.6
Michigan State University,70.8,76.8
Emory University,89.6,96.7
University of Barcelona,38.8,78.9
University of Bern,99.9,76.6
Georg-August-University Gottingen,,72.7
Maastricht University,60.6,82.7
University of Cape Town,53.3,85.6
University of Virginia,62.6,87.3
Eberhard Karls University of Tubingen,,79.3
University of Colorado Boulder,61.5,96.4
Vrije University Amsterdam,66.1,90.7
Radboud University,85.1,84.9
University of Florida,48.3,67.7
University of Bergen,59,82.4
Queen's University Belfast,50.1,68.9
Stockholm University,53.3,82.5
University of Sussex,77,86.1
University of Twente,97.5,68.8
University of Rochester,59.3,89
Autonomous University of Barcelona,50.3,83.8
University of Notre Dame,84.1,81.7
