University,Overall(QS),Overall(THE)
Massachusetts Institute of Technology,100,92
Harvard University,98.7,91.6
University of Cambridge,98.6,92.8
Stanford University,98.6,93.9
California Institute of Technology,97.9,95.2
University of Oxford,97.7,94.2
University College London,97.2,87.1
Imperial College London,96.1,89.1
ETH Zurich - Swiss Federal Institute of Technology,95.5,88.3
University of Chicago,94.6,87.9
Princeton University,94.4,90.1
National University of Singapore,94.2,79.2
Nanyang Technological University,93.9,68.2
Yale University,92.2,87.4
Johns Hopkins University,91.9,87.6
Cornell University,91.8,84
University of Pennsylvania,91.5,85.2
Australian National University,91,69.5
King's College London,91,78.2
University of Edinburgh,90.8,80.3
Columbia University,89.7,86.1
Ecole Normale Superieure,89.2,69
McGill University,88.6,72.6
Tsinghua University,88.5,70
University of California Berkeley,88.4,87.2
University of California Los Angeles,88.2,85.8
Hong Kong University of Science and Technology,88,67.2
Duke University,87.9,82.7
University of Hong Kong,87.8,71
University of Michigan,87.8,82.4
Northwestern University,87.7,79.5
University of Manchester,87.2,68.1
University of Toronto,87.1,83.9
London School of Economics and Political Science,86.2,81.3
Seoul National University,85.3,60.5
University of Bristol,85,64.3
Kyoto University,84.9,59.9
University of Tokyo,84.8,71.1
Peking University,83.7,72
University of Melbourne,83.1,75.4
Korea Advanced Institute of Science & Technology,82.6,53
University of California San Diego,82.5,72.2
University of Sydney,81.9,68.1
University of New South Wales,81.8,61
University of Queensland,81.8,67
University of Warwick,81.6,61.3
Brown University,81.5,69.6
University of British Columbia,81.2,75.3
Chinese University of Hong Kong,81.1,54.5
New York University,80.5,77.2
Ecole Polytechnique,93.8,76.1
University of Wisconsin Madison,80.3,69.7
University of Amsterdam,80.2,67.8
University of Illinois at Urbana Champaign,77.5,74.5
Technical University of Munich,77.3,69.4
Durham University,77,63.6
University of Glasgow,76.8,61.9
Carnegie Mellon University,76.8,82.3
Delft University of Technology,76.5,65.9
University of Washington,76.3,75.6
Heidelberg University,76.1,74.4
Monash University,76,62.5
University of St Andrews,75.9,60.4
University of Copenhagen,75.7,61
National Taiwan University,75.4,51.1
University of Nottingham,75.4,54.1
Lund University,75.4,59.7
Ludwig Maximilians University Munich,74.7,77.3
University of Birmingham,74.6,56.2
University of Texas at Austin,74.5,70.3
Trinity College Dublin,74.3,52
University of North Carolina Chapel Hill,73.7,66.4
University of Sheffield,73.6,58.6
University of Southampton,72.8,57.2
University of Auckland,72.4,51
KU Leuven,72.4,74.8
Georgia Institute of Technology,72.3,72.1
University of Zurich,72.2,57.8
University of California Davis,72.2,71
University of Leeds,72,55.3
Pohang University of Science And Technology,72,56.9
University of Geneva,71.2,55.4
Purdue University,71.2,57
Boston University,71.1,66.1
KTH Royal Institute of Technology,70.9,52.4
Karlsruhe Institute of Technology,70.8,54.5
Utrecht University,70.7,66.6
Leiden University,70.3,65.7
University of Alberta,70.1,54.7
University of Helsinki,70.1,61.9
University of Western Australia,69.4,57.5
Ohio State University,69.3,59.7
University of Groningen,68.8,62.4
Pennsylvania State University,68.7,62.3
Uppsala University,68.4,61.2
University of York,68.3,55.4
Rice University,67.8,57.9
Aarhus University,67.4,52.9
Lomonosov Moscow State University,67.2,51.9
Queen Mary University of London,67,58.5
Washington University in St Louis,66.9,67
Technical University of Denmark,66.8,51.1
University of Adelaide,66.7,52.9
University of Montreal,66.6,57
Eindhoven University of Technology,66.2,50.6
Sungkyunkwan University,66.1,52.8
Free University of Berlin,65.7,63.2
Lancaster University,65.5,55.6
Cardiff University,65,50.1
University of Minnesota,64.9,65.9
Ghent University,64.6,56.6
University of Maryland College Park,64.5,56.7
Erasmus University Rotterdam,64.5,63.5
Humboldt University of Berlin,64.5,69.9
University of California Santa Barbara,64.3,72.2
University of Southern California,64.2,65.5
University of Freiburg,63.5,60.7
University of Pittsburgh,63.5,61.5
University of Oslo,63.4,55.1
Wageningen University,63.4,70
University of Aberdeen,63.2,51
Pierre and Marie Curie University,63.2,57
University of Basel,63.1,57.9
University of Lausanne,62.4,53.9
RWTH Aachen University,62.2,57.2
Hebrew University of Jerusalem,61.8,50.5
Universite catholique de Louvain,61.5,51.1
McMaster University,61.5,58.8
University of Liverpool,61.1,52.2
University of Waterloo,60.9,50.3
University of Vienna,60.8,54.2
University College Dublin,60.5,50.6
University of Reading,60.1,51.2
Dartmouth College,60,57.8
Texas A&M University,59.7,49.4
University of Exeter,59.5,59.5
Newcastle University,59.4,49.2
University of California Irvine,59.2,57.7
Michigan State University,58.9,58
Emory University,58.8,59.7
University of Barcelona,58.6,50.9
University of Bern,58.6,56.1
Georg-August-University Gottingen,58.5,58
Maastricht University,58.2,59.9
University of Cape Town,57.8,56.1
University of Virginia,57.7,53.3
Eberhard Karls University of Tubingen,57,61.7
University of Colorado Boulder,56.9,55.8
Vrije University Amsterdam,56.8,52.5
Radboud University,56.7,55.9
University of Florida,56.1,56.1
University of Bergen,55.9,50.1
Queen's University Belfast,55.8,48.8
Stockholm University,55.8,54.8
University of Sussex,55.6,54.4
University of Twente,55.1,52.9
University of Rochester,54.8,52.1
Autonomous University of Barcelona,54.8,53.8
University of Notre Dame,54.1,57.6
