University,ERep+StFac,Teaching(THE)
Massachusetts Institute of Technology,100.00,89.4
Harvard University,99.07,83.6
University of Cambridge,100.00,88.2
Stanford University,99.67,92.5
California Institute of Technology,96.53,95.6
University of Oxford,100.00,86.5
University College London,99.00,78.1
Imperial College London,99.93,83.3
ETH Zurich - Swiss Federal Institute of Technology,85.40,77
University of Chicago,94.63,85.7
Princeton University,94.77,85.1
National University of Singapore,95.27,71.7
Nanyang Technological University,95.30,48.4
Yale University,100.00,86.5
Johns Hopkins University,91.33,77.6
Cornell University,81.50,77.9
University of Pennsylvania,99.13,82
Australian National University,77.40,54.7
King's College London,91.90,64.5
University of Edinburgh,89.53,68.6
Columbia University,99.80,85.9
Ecole Normale Superieure,87.57,70.6
McGill University,85.43,66.1
Tsinghua University,91.50,73.3
University of California Berkeley,64.70,80.4
University of California Los Angeles,64.57,80.8
Hong Kong University of Science and Technology,83.33,49.4
Duke University,82.70,76
University of Hong Kong,74.47,64.6
University of Michigan,94.73,76.8
Northwestern University,88.80,69.8
University of Manchester,84.67,58.4
University of Toronto,88.57,75.9
London School of Economics and Political Science,86.23,69.8
Seoul National University,86.93,66.5
University of Bristol,76.67,47.6
Kyoto University,88.33,70.6
University of Tokyo,85.87,81.4
Peking University,97.50,77.8
University of Melbourne,99.33,62
Korea Advanced Institute of Science & Technology,82.07,43.3
University of California San Diego,81.93,56.9
University of Sydney,,54.3
University of New South Wales,,40.7
University of Queensland,81.20,49.2
University of Warwick,68.30,47.4
Brown University,,62.8
University of British Columbia,,60.2
Chinese University of Hong Kong,,41.5
New York University,74.83,74.7
Ecole Polytechnique,93.60,61.3
University of Wisconsin Madison,78.20,65.1
University of Amsterdam,63.27,52.2
University of Illinois at Urbana Champaign,77.83,64.5
Technical University of Munich,65.57,61
Durham University,86.30,47.9
University of Glasgow,85.07,41.6
Carnegie Mellon University,,67.4
Delft University of Technology,84.83,55
University of Washington,,67.1
Heidelberg University,,68.8
Monash University,92.97,48.1
University of St Andrews,65.27,49.7
University of Copenhagen,,49.8
National Taiwan University,,54.1
University of Nottingham,,40.3
Lund University,65.70,39.7
Ludwig Maximilians University Munich,,70.5
University of Birmingham,75.40,39.4
University of Texas at Austin,92.50,59.3
Trinity College Dublin,72.97,41.9
University of North Carolina Chapel Hill,66.80,58
University of Sheffield,,42.4
University of Southampton,63.50,39.8
University of Auckland,88.77,31.4
KU Leuven,63.73,59.9
Georgia Institute of Technology,72.23,57.8
University of Zurich,71.90,49.5
University of California Davis,,60.1
University of Leeds,65.07,43.7
Pohang University of Science And Technology,,49.1
University of Geneva,70.77,34.9
Purdue University,72.40,50.2
Boston University,,57.8
KTH Royal Institute of Technology,,39
Karlsruhe Institute of Technology,,37.7
Utrecht University,,48.1
Leiden University,84.77,50.5
University of Alberta,,46.4
University of Helsinki,68.83,48.4
University of Western Australia,88.03,33.4
Ohio State University,,51.6
University of Groningen,,43.3
Pennsylvania State University,70.20,50.4
Uppsala University,74.47,44.1
University of York,88.53,41.9
Rice University,,37.9
Aarhus University,,35.7
Lomonosov Moscow State University,,75.4
Queen Mary University of London,,34.1
Washington University in St Louis,84.63,54.3
Technical University of Denmark,,37.3
University of Adelaide,,32.8
University of Montreal,,46.3
Eindhoven University of Technology,,34.3
Sungkyunkwan University,83.67,51.4
Free University of Berlin,84.73,57.9
Lancaster University,,34
Cardiff University,93.77,30.9
University of Minnesota,,53.5
Ghent University,,42.1
University of Maryland College Park,,45
Erasmus University Rotterdam,,37.2
Humboldt University of Berlin,81.23,63.7
University of California Santa Barbara,,52.6
University of Southern California,,49.3
University of Freiburg,,47.4
University of Pittsburgh,85.37,50.6
University of Oslo,,43.3
Wageningen University,91.07,52.6
University of Aberdeen,81.80,29.7
Pierre and Marie Curie University,,52.8
University of Basel,69.20,39.5
University of Lausanne,73.90,30.9
RWTH Aachen University,73.93,49.4
Hebrew University of Jerusalem,,45.8
Universite catholique de Louvain,,38.7
McMaster University,,39.8
University of Liverpool,,32.8
University of Waterloo,76.77,35.4
University of Vienna,,40.8
University College Dublin,,35
University of Reading,,39.3
Dartmouth College,,50.7
Texas A&M University,,49.4
University of Exeter,,39.4
Newcastle University,,30.9
University of California Irvine,,39.9
Michigan State University,,47.3
Emory University,,48.3
University of Barcelona,,38.5
University of Bern,,40
Georg-August-University Gottingen,81.23,49.3
Maastricht University,78.77,37.5
University of Cape Town,81.80,34.9
University of Virginia,,38.8
Eberhard Karls University of Tubingen,81.67,47
University of Colorado Boulder,,39.7
Vrije University Amsterdam,,28.4
Radboud University,,34.3
University of Florida,,51.8
University of Bergen,68.27,32.5
Queen's University Belfast,67.70,34.1
Stockholm University,,34.1
University of Sussex,,33.4
University of Twente,,34.1
University of Rochester,,39.7
Autonomous University of Barcelona,79.37,40.3
University of Notre Dame,,47.6
