University,Teaching(QS),Teaching(THE)
Massachusetts Institute of Technology,100,89.4
Harvard University,100,83.6
University of Cambridge,100,88.2
Stanford University,100,92.5
California Institute of Technology,89.6,95.6
University of Oxford,100,86.5
University College London,99.8,78.1
Imperial College London,100,83.3
ETH Zurich - Swiss Federal Institute of Technology,99,77
University of Chicago,96.3,85.7
Princeton University,98.5,85.1
National University of Singapore,100,71.7
Nanyang Technological University,97.5,48.4
Yale University,100,86.5
Johns Hopkins University,74,77.6
Cornell University,96.7,77.9
University of Pennsylvania,97.4,82
Australian National University,94.4,54.7
King's College London,95.9,64.5
University of Edinburgh,98,68.6
Columbia University,99.4,85.9
Ecole Normale Superieure,78.9,70.6
McGill University,94.7,66.1
Tsinghua University,99.5,73.3
University of California Berkeley,99.9,80.4
University of California Los Angeles,99.7,80.8
Hong Kong University of Science and Technology,91.8,49.4
Duke University,84.6,76
University of Hong Kong,97.4,64.6
University of Michigan,91.4,76.8
Northwestern University,81.1,69.8
University of Manchester,99.9,58.4
University of Toronto,95.6,75.9
London School of Economics and Political Science,100,69.8
Seoul National University,96.6,66.5
University of Bristol,98.2,47.6
Kyoto University,96.6,70.6
University of Tokyo,99.9,81.4
Peking University,99.8,77.8
University of Melbourne,99.8,62
Korea Advanced Institute of Science & Technology,86.6,43.3
University of California San Diego,71.3,56.9
University of Sydney,99.4,54.3
University of New South Wales,99.6,40.7
University of Queensland,91.3,49.2
University of Warwick,99.7,47.4
Brown University,71.2,62.8
University of British Columbia,95.8,60.2
Chinese University of Hong Kong,85.6,41.5
New York University,97.8,74.7
Ecole Polytechnique,93.6,61.3
University of Wisconsin Madison,62.1,65.1
University of Amsterdam,88.1,52.2
University of Illinois at Urbana Champaign,75.8,64.5
Technical University of Munich,98.3,61
Durham University,98.4,47.9
University of Glasgow,68.3,41.6
Carnegie Mellon University,83.9,67.4
Delft University of Technology,89.4,55
University of Washington,55.8,67.1
Heidelberg University,80.5,68.8
Monash University,96.9,48.1
University of St Andrews,68.2,49.7
University of Copenhagen,77.7,49.8
National Taiwan University,75,54.1
University of Nottingham,96.7,40.3
Lund University,84.2,39.7
Ludwig Maximilians University Munich,91.6,70.5
University of Birmingham,94.9,39.4
University of Texas at Austin,85.8,59.3
Trinity College Dublin,73.8,41.9
University of North Carolina Chapel Hill,45.7,58
University of Sheffield,79.7,42.4
University of Southampton,64,39.8
University of Auckland,93.6,31.4
KU Leuven,76.4,59.9
Georgia Institute of Technology,78.2,57.8
University of Zurich,72.7,49.5
University of California Davis,62,60.1
University of Leeds,90.7,43.7
Pohang University of Science And Technology,64.9,49.1
University of Geneva,,34.9
Purdue University,77.2,50.2
Boston University,85.6,57.8
KTH Royal Institute of Technology,88,39
Karlsruhe Institute of Technology,96.2,37.7
Utrecht University,69,48.1
Leiden University,55.2,50.5
University of Alberta,68.7,46.4
University of Helsinki,64.7,48.4
University of Western Australia,70.3,33.4
Ohio State University,57.4,51.6
University of Groningen,58.5,43.3
Pennsylvania State University,73.3,50.4
Uppsala University,65.6,44.1
University of York,70.1,41.9
Rice University,,37.9
Aarhus University,63.8,35.7
Lomonosov Moscow State University,82.1,75.4
Queen Mary University of London,57.4,34.1
Washington University in St Louis,,54.3
Technical University of Denmark,52.9,37.3
University of Adelaide,76.5,32.8
University of Montreal,75.6,46.3
Eindhoven University of Technology,57.3,34.3
Sungkyunkwan University,99.4,51.4
Free University of Berlin,62.7,57.9
Lancaster University,69.2,34
Cardiff University,73.3,30.9
University of Minnesota,46.3,53.5
Ghent University,54.9,42.1
University of Maryland College Park,,45
Erasmus University Rotterdam,90.4,37.2
Humboldt University of Berlin,76.6,63.7
University of California Santa Barbara,,52.6
University of Southern California,65.1,49.3
University of Freiburg,,47.4
University of Pittsburgh,,50.6
University of Oslo,45.4,43.3
Wageningen University,40,52.6
University of Aberdeen,63.3,29.7
Pierre and Marie Curie University,52.3,52.8
University of Basel,48.3,39.5
University of Lausanne,55,30.9
RWTH Aachen University,97.6,49.4
Hebrew University of Jerusalem,,45.8
Universite catholique de Louvain,72.4,38.7
McMaster University,60.2,39.8
University of Liverpool,69.5,32.8
University of Waterloo,79.4,35.4
University of Vienna,57.9,40.8
University College Dublin,72.4,35
University of Reading,68.2,39.3
Dartmouth College,65.3,50.7
Texas A&M University,68.3,49.4
University of Exeter,76.7,39.4
Newcastle University,73.2,30.9
University of California Irvine,40.9,39.9
Michigan State University,59.5,47.3
Emory University,,48.3
University of Barcelona,74.1,38.5
University of Bern,45.4,40
Georg-August-University Gottingen,,49.3
Maastricht University,68.8,37.5
University of Cape Town,60.6,34.9
University of Virginia,49.7,38.8
Eberhard Karls University of Tubingen,51.4,47
University of Colorado Boulder,51.6,39.7
Vrije University Amsterdam,66.8,28.4
Radboud University,42.2,34.3
University of Florida,44.6,51.8
University of Bergen,,32.5
Queen's University Belfast,56.6,34.1
Stockholm University,50.8,34.1
University of Sussex,,33.4
University of Twente,39.6,34.1
University of Rochester,,39.7
Autonomous University of Barcelona,47.5,40.3
University of Notre Dame,48.2,47.6
