Institution,Rank 2016,Rank 2015,Rank 2014,Rank 2013,Rank 2012,Rank 2011
California Institute of TechnologyUnited States of America,1,1,1,1,1,2
University of OxfordUnited Kingdom,2,3,2,2,4,6
Stanford UniversityUnited States of America,3,4,4,2,2,4
University of CambridgeUnited Kingdom,4,5,7,7,6,6
Massachusetts Institute of TechnologyUnited States of America,5,6,5,5,7,3
Harvard UniversityUnited States of America,6,2,2,4,2,1
Princeton UniversityUnited States of America,7,7,6,6,5,5
Imperial College LondonUnited Kingdom,8,9,10,8,8,9
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,9,13,14,12,15,15
University of ChicagoUnited States of America,10,11,9,10,9,12
Johns Hopkins UniversityUnited States of America,11,15,15,16,14,13
Yale UniversityUnited States of America,12,9,11,11,11,10
"University of California, BerkeleyUnited States of America",13,8,8,9,10,8
University College LondonUnited Kingdom,14,22,21,17,17,22
Columbia UniversityUnited States of America,15,14,13,14,12,18
"University of California, Los AngelesUnited States of America",16,12,12,13,13,11
University of PennsylvaniaUnited States of America,17,16,16,15,16,19
Cornell UniversityUnited States of America,18,19,19,18,20,14
University of TorontoCanada,19,20,20,21,19,17
Duke UniversityUnited States of America,20,18,17,23,22,24
University of MichiganUnited States of America,21,17,18,20,18,15
Carnegie Mellon UniversityUnited States of America,22,24,24,22,21,20
London School of Economics and Political ScienceUnited Kingdom,23,34,32,39,47,86
University of EdinburghUnited Kingdom,24,36,39,32,36,40
Northwestern UniversityUnited States of America,25,21,22,19,26,25
National University of SingaporeSingapore,26,25,26,29,40,34
King’s College LondonUnited Kingdom,27,40,38,57,56,77
Karolinska InstituteSweden,28,44,36,42,32,43
LMU MunichGermany,29,29,55,48,45,61
New York UniversityUnited States of America,30,38,40,41,44,60
École Polytechnique Fédérale de LausanneSwitzerland,31,34,37,40,46,48
University of WashingtonUnited States of America,32,26,25,24,25,23
University of MelbourneAustralia,33,33,34,28,37,36
University of British ColumbiaCanada,34,32,31,30,22,30
KU LeuvenBelgium,35,55,61,58,67,119
University of Illinois at Urbana-ChampaignUnited States of America,36,29,29,33,31,33
Heidelberg UniversityGermany,37,70,68,78,73,83
McGill UniversityCanada,38,39,35,34,28,35
"University of California, San DiegoUnited States of America",39,41,40,38,33,32
"University of California, Santa BarbaraUnited States of America",39,37,33,35,35,29
Georgia Institute of TechnologyUnited States of America,41,27,28,25,24,27
Peking UniversityChina,42,48,45,46,49,37
University of TokyoJapan,43,23,23,27,30,26
"University of California, DavisUnited States of America",44,55,52,44,38,54
University of Hong KongHong Kong,44,43,43,35,34,21
University of Texas at AustinUnited States of America,46,28,27,25,29,
Tsinghua UniversityChina,47,49,50,52,71,58
Wageningen University and Research CenterNetherlands,47,73,77,70,75,144
Humboldt University of BerlinGermany,49,80,94,99,109,178
University of Wisconsin-MadisonUnited States of America,50,29,30,31,27,
