Massachusetts Institute of Technology (MIT),100,100
Harvard University,100,100
University of Cambridge,100,100
Stanford University,100,100
University of Oxford,100,100
Princeton University,100,100
National University of Singapore (NUS),100,100
Yale University,100,100
Columbia University,100,100
"University of California, Berkeley (UCB)",100,100
"University of California, Los Angeles (UCLA)",100,100
The University of Tokyo,100,100
University of Toronto,99.9,100
UCL (University College London),99.9,99.9
Imperial College London,99.9,99.9
ETH Zurich - Swiss Federal Institute of Technology,99.9,99.9
University of Chicago,99.9,99.9
Kyoto University,99.9,99.9
Peking University,99.9,99.9
University of Michigan,99.9,99.8
The University of Melbourne,99.8,99.8
The University of Edinburgh,99.7,99.8
Cornell University,99.9,99.7
University of British Columbia,99.6,99.7
California Institute of Technology (Caltech),99.8,99.6
The Australian National University,99.6,99.6
Tsinghua University,99.6,99.6
The University of Sydney,99.5,99.6
The University of Manchester,99.3,99.4
The University of Hong Kong,99.5,99.3
McGill University,99.1,99.3
Seoul National University,99.2,99
University of Pennsylvania,98.8,98.5
University of Texas at Austin,98.5,98.4
New York University (NYU),98.8,98.3
Ludwig-Maximilians-Universität München,98.1,98.2
National Taiwan University (NTU),98,97.9
"University of California, San Diego (UCSD)",98,97.8
University of Illinois at Urbana-Champaign,97.7,97.5
The University of New South Wales (UNSW Australia),96.9,97.5
University of Wisconsin-Madison,97.4,97.1
Humboldt-Universität zu Berlin,96.6,96.8
Ruprecht-Karls-Universitaet Heidelberg,95.5,96.5
The University of Queensland,95.6,96.3
Johns Hopkins University,97.2,96.1
Duke University,96.4,95.5
University of Amsterdam,95.1,95.5
Fudan University,94.1,94.7
The Hong Kong University of Science and Technology,94.3,94.3
Universidad de Buenos Aires (UBA),95.7,94.2
Osaka University,92.5,94.1
Universidade de São Paulo,95.3,94
University of Washington,95.5,93.9
University of Bristol,92.1,93.7
Monash University,94.5,93.1
Northwestern University,94,93.1
London School of Economics and Political Science (LSE),93.8,93.1
KU Leuven,92.4,93.1
"Nanyang Technological University, Singapore (NTU)",95.3,93
Freie Universitaet Berlin,93.3,92.7
The University of Auckland,92.7,91.6
Lund University,89.3,91.4
The University of Warwick,90.4,91.2
Technische Universität München,90.4,90.8
"Ecole normale supérieure, Paris",89.6,90.3
Alma Mater Studiorum - University of Bologna,87.5,90
Leiden University,87.1,89.6
University of Copenhagen,89.1,89.2
Sapienza University of Rome,85.7,88.5
KAIST - Korea Advanced Institute of Science & Technology,89.4,88.1
Uppsala University,85.7,88
University of Glasgow,87.5,87.9
Shanghai Jiao Tong University,88.8,87.6
Pontificia Universidad Católica de Chile (UC),90.7,87.2
