,Citation,Citation-14
Massachusetts Institute of Technology (MIT),100,100
Harvard University,100,100
Gwangju Institute of Science and Technology (GIST),100,100
California Institute of Technology (Caltech),100,100
"University of California, Santa Barbara (UCSB)",100,100
Stanford University,99.9,100
Weizmann Institute of Science,97.2,100
Karolinska Institutet,91.8,100
"University of California, Los Angeles (UCLA)",89.6,100
King Abdullah University of Science & Technology,100,99.9
University of Bern,99.9,99.9
Northwestern University,96.4,99.9
Johns Hopkins University,84.9,99.9
London School of Hygiene and Tropical Medicine,78.1,99.9
Tel Aviv University,98.9,99.8
University of Minnesota,97.4,99.8
University of Washington,94.5,99.8
Emory University,89.6,99.8
"University of California, San Francisco",77.4,99.8
Cornell University,97.1,99.7
University of Basel,96.6,99.7
University of Geneva,86.5,99.7
"University of California, Berkeley (UCB)",99.9,99.6
Princeton University,100,99.5
"University of California, San Diego (UCSD)",94.5,99.5
Duke University,85.4,99.5
Brown University,96.6,99.4
University of Chicago,91.5,99.2
Washington University in St. Louis,76.7,99.2
"University of California, Irvine",95.7,99
"University of California, Davis",93.9,98.7
University of Lausanne,38.5,98.7
Columbia University,67,98.6
Dartmouth College,83.8,98.5
"Ecole normale supérieure, Paris",100,98.4
Tufts University,80.4,98.2
Leiden University,83.2,98.1
University of Cambridge,93.7,97.9
UCL (University College London),88,97.4
University of Michigan,84.5,97.2
Utrecht University,84.5,97.2
Carnegie Mellon University,99.9,97.1
ETH Zurich - Swiss Federal Institute of Technology,98.8,97.1
University of Oxford,88.9,96.6
Yeshiva University,64.3,96.5
Radboud University,85.1,96.3
Imperial College London,79.6,96.2
Erasmus University Rotterdam,67.1,96
"University of California, Santa Cruz",93,95.9
University of Pennsylvania,80.5,95.9
Rice University,99.7,95.2
Université Pierre et Marie Curie (UPMC),89.4,95.2
Uppsala University,64.2,95.2
University of Bergen,59,95.1
"University of North Carolina, Chapel Hill",79.9,95
Pohang University of Science And Technology (POSTECH),100,94.9
Université Paris Descartes,45.1,94.9
University of Amsterdam,84.4,93.8
Boston University,71.2,93.7
Case Western Reserve University,65.6,93.7
University of Illinois at Urbana-Champaign,98.2,93.1
University at Buffalo SUNY,78.5,93.1
Yale University,71.3,92.2
University of Utah,68.5,90.8
University of Ottawa,63.2,90.6
University of Texas Dallas,92.6,90.5
KU Leuven,92.6,90.2
University of Texas at Austin,97.5,90.1
Rensselaer Polytechnic Institute,98.1,89.4
Université de Montréal,62,89.2
The University of Melbourne,80.9,89.1
Baylor College of Medicine,42.1,89
Technion - Israel Institute of Technology,87.5,88.4
Georgia Institute of Technology,89.9,88.1
